"variant","disease","LOOIC","LOOIC_SE","MAE","MRE","RMSE","Cov_80","Cov_95","max_rhat","min_n_eff"
"nb5","Glaucoma",14080.6,198,29.618,2.7796,75.876,91.1,98.7,1.0028,2313
"nb5","Retinopathy",24941.4,222.1,148.222,3.2811,324.752,86.6,98.2,1.0025,2257
"nb5","Eye & Appendage Diseases",32485.5,207.2,558.798,3.2931,1179.922,84.2,97,1.0031,2544
"nb5_expo","Glaucoma",14079.6,197.9,29.588,2.7702,75.407,91.2,98.8,1.0031,2057
"nb5_expo","Retinopathy",24942.1,222.1,148.337,3.2754,325.434,86.7,98.2,1.002,2686
"nb5_expo","Eye & Appendage Diseases",32483.4,207.2,558.46,3.303,1181.495,84.1,97,1.0023,2995
"nb5_llt","Glaucoma",14088,198.1,29.634,2.8126,75.759,91.5,98.6,1.2968,20
"nb5_llt","Retinopathy",24935.6,222.1,147.66,3.2616,324.742,86.8,97.9,1.7274,4
"nb5_llt","Eye & Appendage Diseases",32484.3,207.1,561.151,3.272,1192.994,83.7,97.1,1.2013,21
"nb5_llt_expo","Glaucoma",14089,198.1,29.622,2.8107,75.953,91.2,98.9,1.4324,9
"nb5_llt_expo","Retinopathy",24937.8,222.1,147.935,3.2532,324.13,86.7,97.9,1.3159,12
"nb5_llt_expo","Eye & Appendage Diseases",32483.7,207.2,559.404,3.3053,1186.599,83.8,97.3,1.3173,18
"nb5_drift","Glaucoma",14077.6,197.9,29.669,2.7966,75.72,90.7,98.8,1.0029,2418
"nb5_drift","Retinopathy",24940.8,221.9,148.323,3.2747,325.693,86.5,97.8,1.0023,2100
"nb5_drift","Eye & Appendage Diseases",32483.4,207.2,558.245,3.2959,1181.843,83.7,97.2,1.0025,3123
"nb5_drift_expo","Glaucoma",14078.8,198,29.657,2.7937,75.996,91.6,98.6,1.0049,2171
"nb5_drift_expo","Retinopathy",24940.2,222,148.215,3.2522,325.124,86.4,98.1,1.0028,1691
"nb5_drift_expo","Eye & Appendage Diseases",32481.5,207.2,560.736,3.3042,1189.378,83.7,97.1,1.0026,3010
"nb5_llt_drift","Glaucoma",14089,198.1,29.843,2.8397,76.439,91,98.7,1.2197,16
"nb5_llt_drift","Retinopathy",24939.6,222.1,147.956,3.2599,325.495,86.5,98,1.3684,8
"nb5_llt_drift","Eye & Appendage Diseases",32486.2,207.1,560.824,3.2826,1192.042,83.3,97.3,1.1517,37
"nb5_llt_drift_expo","Glaucoma",14091.6,198.1,29.667,2.808,75.931,91.3,98.8,1.1225,21
"nb5_llt_drift_expo","Retinopathy",24941.3,222.1,147.911,3.2835,325.266,86.6,97.9,1.187,18
"nb5_llt_drift_expo","Eye & Appendage Diseases",32486.4,207.1,560.985,3.3121,1193.275,83.5,97.1,1.6578,4
"nb5_tight_sigma","Glaucoma",14081.2,198,29.618,2.7774,75.977,91.2,98.9,1.0027,2431
