"variant","disease","group","subgroup","N","MAE","MRE","RMSE","Bias","Cov_80","Cov_95"
"nb5","Glaucoma","Age","25-34",345,2.385,1.0748,3.64,1.561,91.3,98
"nb5","Glaucoma","Age","35-44",390,3.171,0.9206,4.865,2.42,97.4,99.7
"nb5","Glaucoma","Age","45-54",390,3.647,0.8387,5.519,1.348,98.2,100
"nb5","Glaucoma","Age","55-64",375,9.066,1.0085,14.676,-6.505,94.9,99.2
"nb5","Glaucoma","Age","65-74",405,28.121,1.5552,47.538,-24.824,84.9,99
"nb5","Glaucoma","Age","75-89",375,32.874,2.8226,57.847,-21.474,94.9,99.2
"nb5","Glaucoma","Age","90+",345,136.662,12.0954,192.888,134.843,74.8,95.7
"nb5","Glaucoma","Region","North",570,12.365,5.5006,30.534,3.271,95.4,98.9
"nb5","Glaucoma","Region","Northeast",900,28.95,2.3489,79.358,10.642,90.2,98.8
"nb5","Glaucoma","Region","Center-West",420,41.551,2.861,93.231,13.365,91,99
"nb5","Glaucoma","Region","Southeast",420,31.132,1.2733,66.873,7.694,89,99
"nb5","Glaucoma","Region","South",315,44.817,0.986,103.652,24.431,88.9,97.5
"nb5","Retinopathy","Age","25-34",405,14.69,1.284,19.993,13.87,93.1,99.5
"nb5","Retinopathy","Age","35-44",405,20.855,1.079,28.411,20.274,98.5,100
"nb5","Retinopathy","Age","45-54",405,14.311,0.7925,20.362,6.469,99.8,100
"nb5","Retinopathy","Age","55-64",405,87.379,1.3148,119.655,-84.652,89.9,98.3
"nb5","Retinopathy","Age","65-74",405,173.961,1.7082,238.682,-170.079,84,99.8
"nb5","Retinopathy","Age","75-89",405,86.684,3.8052,140.352,-34.498,98.3,99.8
"nb5","Retinopathy","Age","90+",390,658.579,13.3568,816.345,654.99,41,90
"nb5","Retinopathy","Region","North",720,60.842,8.712,167.727,10.632,88.1,98.3
"nb5","Retinopathy","Region","Northeast",945,155.919,1.4833,317.189,62.409,84.6,97.4
"nb5","Retinopathy","Region","Center-West",420,197.369,2.4414,423.013,72.892,87.6,99
"nb5","Retinopathy","Region","Southeast",420,175.192,0.7672,340.637,71.524,85.7,98.8
"nb5","Retinopathy","Region","South",315,223.371,0.7323,429.799,87.206,89.2,98.7
"nb5","Eye & Appendage Diseases","Age","25-34",405,35.987,0.6188,53.274,17.353,90.9,98.8
"nb5","Eye & Appendage Diseases","Age","35-44",405,70.112,0.7932,102.579,64.058,92.1,99.3
"nb5","Eye & Appendage Diseases","Age","45-54",405,96.646,0.6688,144.87,85.829,98.3,100
"nb5","Eye & Appendage Diseases","Age","55-64",405,103.225,0.8469,144.226,-51.06,97.8,100
"nb5","Eye & Appendage Diseases","Age","65-74",405,619.483,1.7264,944.908,-597.244,74.3,97
"nb5","Eye & Appendage Diseases","Age","75-89",405,930.127,3.1327,1609.943,-800.731,79.5,96.3
"nb5","Eye & Appendage Diseases","Age","90+",405,2056.008,15.265,2491.102,2049.904,56.5,87.7
"nb5","Eye & Appendage Diseases","Region","North",735,324.425,10.9208,792.041,-8.142,82,95.5
"nb5","Eye & Appendage Diseases","Region","Northeast",945,520.826,0.6763,1028.751,128.942,83.1,96.9
"nb5","Eye & Appendage Diseases","Region","Center-West",420,900.747,0.646,1830.354,144.203,85.5,97.6
"nb5","Eye & Appendage Diseases","Region","Southeast",420,725.049,0.541,1291.998,103.536,85,99
"nb5","Eye & Appendage Diseases","Region","South",315,541.986,0.5449,1094.796,289.421,89.8,97.1
"nb5_expo","Glaucoma","Age","25-34",345,2.378,1.0809,3.64,1.554,90.7,98
"nb5_expo","Glaucoma","Age","35-44",390,3.153,0.9224,4.832,2.42,97.7,99.7
"nb5_expo","Glaucoma","Age","45-54",390,3.677,0.8479,5.488,1.335,97.9,100
"nb5_expo","Glaucoma","Age","55-64",375,8.961,1.0247,14.454,-6.358,95.2,98.7
"nb5_expo","Glaucoma","Age","65-74",405,28.228,1.5663,48.135,-24.971,84.2,98.8
"nb5_expo","Glaucoma","Age","75-89",375,33.356,2.7892,58.888,-22.076,95.5,99.5
"nb5_expo","Glaucoma","Age","90+",345,135.889,12.011,190.984,133.994,75.7,96.8
"nb5_expo","Glaucoma","Region","North",570,12.498,5.4795,31.054,3.223,95.3,99.1
"nb5_expo","Glaucoma","Region","Northeast",900,29.071,2.3325,79.516,10.571,90,98.9
"nb5_expo","Glaucoma","Region","Center-West",420,41.541,2.867,92.392,12.779,90.5,98.6
"nb5_expo","Glaucoma","Region","Southeast",420,30.708,1.2727,65,7.557,90.5,99
"nb5_expo","Glaucoma","Region","South",315,44.557,0.9855,102.763,24.001,88.9,98.1
"nb5_expo","Retinopathy","Age","25-34",405,14.641,1.2769,19.854,13.785,93.1,99.8
"nb5_expo","Retinopathy","Age","35-44",405,20.869,1.0815,28.657,20.329,98.8,100
"nb5_expo","Retinopathy","Age","45-54",405,14.185,0.7877,20.367,6.49,99.8,100
"nb5_expo","Retinopathy","Age","55-64",405,86.867,1.338,118.453,-84.034,89.9,98.3
"nb5_expo","Retinopathy","Age","65-74",405,175.228,1.7191,240.753,-171.281,83.2,99
"nb5_expo","Retinopathy","Age","75-89",405,85.442,3.6591,139.815,-35.267,98.5,99.5
"nb5_expo","Retinopathy","Age","90+",390,660.083,13.4423,817.945,656.43,41.8,90.3
"nb5_expo","Retinopathy","Region","North",720,61.036,8.6692,169.817,9.771,88.2,97.8
"nb5_expo","Retinopathy","Region","Northeast",945,155.968,1.4916,318.242,62.618,84.2,98.1
"nb5_expo","Retinopathy","Region","Center-West",420,197.318,2.4586,422.643,73.644,88.3,98.8
"nb5_expo","Retinopathy","Region","Southeast",420,175.775,0.7724,342.472,72.536,86.9,98.3
"nb5_expo","Retinopathy","Region","South",315,223.101,0.7252,428.741,86.229,87.9,98.1
"nb5_expo","Eye & Appendage Diseases","Age","25-34",405,35.931,0.6173,53.616,17.09,90.9,98.8
"nb5_expo","Eye & Appendage Diseases","Age","35-44",405,69.833,0.7934,102.893,63.396,91.4,99.5
"nb5_expo","Eye & Appendage Diseases","Age","45-54",405,95.576,0.6651,143.286,85.145,98.3,100
"nb5_expo","Eye & Appendage Diseases","Age","55-64",405,102.842,0.8463,143.489,-52.057,98,100
"nb5_expo","Eye & Appendage Diseases","Age","65-74",405,622.129,1.7029,947.863,-599.237,74.1,95.6
"nb5_expo","Eye & Appendage Diseases","Age","75-89",405,929.554,3.2507,1603.309,-800.378,81.5,96.5
"nb5_expo","Eye & Appendage Diseases","Age","90+",405,2053.353,15.2452,2499.578,2046.848,54.3,88.6
"nb5_expo","Eye & Appendage Diseases","Region","North",735,323.992,10.9595,793.322,-8.526,81.9,95.6
"nb5_expo","Eye & Appendage Diseases","Region","Northeast",945,519.829,0.6787,1022.732,128.345,82.9,96.5
"nb5_expo","Eye & Appendage Diseases","Region","Center-West",420,907.352,0.6488,1852.456,149.782,85,97.9
"nb5_expo","Eye & Appendage Diseases","Region","Southeast",420,721.067,0.5345,1282.21,96.283,84.5,99.3
"nb5_expo","Eye & Appendage Diseases","Region","South",315,539.446,0.5409,1090.592,284.956,90.8,97.5
"nb5_llt","Glaucoma","Age","25-34",345,2.409,1.0892,3.666,1.594,90.7,98
"nb5_llt","Glaucoma","Age","35-44",390,3.194,0.9264,4.932,2.465,97.7,100
"nb5_llt","Glaucoma","Age","45-54",390,3.678,0.8591,5.569,1.383,99,100
"nb5_llt","Glaucoma","Age","55-64",375,8.889,1.0144,14.304,-6.358,95.2,98.7
"nb5_llt","Glaucoma","Age","65-74",405,28.079,1.5999,47.542,-24.772,85.9,98.5
"nb5_llt","Glaucoma","Age","75-89",375,33.139,2.8475,58.266,-21.708,95.2,99.2
"nb5_llt","Glaucoma","Age","90+",345,136.651,12.2167,192.426,134.854,75.4,95.1
