"state","year","age","population"
"AC",2010,25,128136
"AC",2010,35,88824
"AC",2010,45,58135
"AC",2010,55,36133
"AC",2010,65,19957
"AC",2010,75,11015
"AC",2010,90,1142
"AC",2011,25,130786
"AC",2011,35,92175
"AC",2011,45,60341
"AC",2011,55,37614
"AC",2011,65,20761
"AC",2011,75,11351
"AC",2011,90,1132
"AC",2012,25,132987
"AC",2012,35,95620
"AC",2012,45,62712
"AC",2012,55,39206
"AC",2012,65,21585
"AC",2012,75,11686
"AC",2012,90,1163
"AC",2013,25,134827
"AC",2013,35,99162
"AC",2013,45,65224
"AC",2013,55,40873
"AC",2013,65,22444
"AC",2013,75,12041
"AC",2013,90,1216
"AC",2014,25,136468
"AC",2014,35,102810
"AC",2014,45,67835
"AC",2014,55,42557
"AC",2014,65,23351
"AC",2014,75,12444
"AC",2014,90,1276
"AC",2015,25,138039
"AC",2015,35,106549
"AC",2015,45,70517
"AC",2015,55,44230
"AC",2015,65,24322
"AC",2015,75,12905
"AC",2015,90,1334
"AC",2016,25,139517
"AC",2016,35,110371
"AC",2016,45,73278
"AC",2016,55,45893
"AC",2016,65,25353
"AC",2016,75,13423
"AC",2016,90,1396
"AC",2017,25,140889
"AC",2017,35,114300
"AC",2017,45,76092
"AC",2017,55,47547
"AC",2017,65,26434
"AC",2017,75,14012
"AC",2017,90,1463
"AC",2018,25,142330
"AC",2018,35,118161
"AC",2018,45,78996
"AC",2018,55,49239
"AC",2018,65,27571
"AC",2018,75,14660
"AC",2018,90,1531
"AC",2019,25,144086
"AC",2019,35,121724
"AC",2019,45,82026
"AC",2019,55,51043
"AC",2019,65,28772
"AC",2019,75,15341
"AC",2019,90,1599
"AC",2020,25,146313
"AC",2020,35,124825
"AC",2020,45,85204
"AC",2020,55,53020
"AC",2020,65,30040
"AC",2020,75,16049
"AC",2020,90,1666
"AC",2021,25,148978
"AC",2021,35,127495
"AC",2021,45,88506
"AC",2021,55,55148
"AC",2021,65,31384
"AC",2021,75,16783
"AC",2021,90,1734
"AC",2022,25,152106
"AC",2022,35,129719
"AC",2022,45,91901
"AC",2022,55,57436
"AC",2022,65,32822
"AC",2022,75,17536
"AC",2022,90,1809
"AC",2023,25,155562
"AC",2023,35,131593
"AC",2023,45,95393
"AC",2023,55,59848
"AC",2023,65,34324
"AC",2023,75,18332
"AC",2023,90,1886
"AC",2024,25,159124
"AC",2024,35,133271
"AC",2024,45,98985
"AC",2024,55,62356
"AC",2024,65,35846
"AC",2024,75,19177
"AC",2024,90,1970
"AC",2025,25,162630
"AC",2025,35,134878
"AC",2025,45,102665
"AC",2025,55,64921
"AC",2025,65,37356
"AC",2025,75,20096
"AC",2025,90,2058
"AC",2026,25,166245
"AC",2026,35,136396
"AC",2026,45,106418
"AC",2026,55,67562
"AC",2026,65,38860
"AC",2026,75,21081
"AC",2026,90,2153
"AC",2027,25,169737
"AC",2027,35,137806
"AC",2027,45,110277
"AC",2027,55,70246
"AC",2027,65,40351
"AC",2027,75,22140
"AC",2027,90,2256
"AC",2028,25,172892
"AC",2028,35,139287
"AC",2028,45,114065
"AC",2028,55,73013
"AC",2028,65,41879
"AC",2028,75,23255
"AC",2028,90,2369
"AC",2029,25,175221
"AC",2029,35,141063
"AC",2029,45,117566
"AC",2029,55,75899
"AC",2029,65,43505
"AC",2029,75,24410
"AC",2029,90,2498
"AC",2030,25,177301
"AC",2030,35,143310
"AC",2030,45,120617
"AC",2030,55,78923
"AC",2030,65,45285
"AC",2030,75,25606
"AC",2030,90,2637
"AC",2031,25,178965
"AC",2031,35,145982
"AC",2031,45,123246
"AC",2031,55,82074
"AC",2031,65,47195
"AC",2031,75,26844
"AC",2031,90,2792
"AC",2032,25,179769
"AC",2032,35,149108
"AC",2032,45,125443
"AC",2032,55,85316
"AC",2032,65,49250
"AC",2032,75,28127
"AC",2032,90,2968
"AC",2033,25,180257
"AC",2033,35,152549
"AC",2033,45,127305
"AC",2033,55,88646
"AC",2033,65,51417
"AC",2033,75,29460
"AC",2033,90,3156
"AC",2034,25,180020
"AC",2034,35,156088
"AC",2034,45,128975
"AC",2034,55,92076
"AC",2034,65,53657
"AC",2034,75,30835
"AC",2034,90,3341
"AC",2035,25,178322
"AC",2035,35,159582
"AC",2035,45,130575
"AC",2035,55,95570
"AC",2035,65,55954
"AC",2035,75,32227
"AC",2035,90,3529
"AC",2036,25,176498
"AC",2036,35,163168
"AC",2036,45,132096
"AC",2036,55,99139
"AC",2036,65,58302
"AC",2036,75,33648
"AC",2036,90,3718
"AC",2037,25,174967
"AC",2037,35,166635
"AC",2037,45,133513
"AC",2037,55,102797
"AC",2037,65,60682
"AC",2037,75,35102
"AC",2037,90,3907
"AC",2038,25,172928
"AC",2038,35,169770
"AC",2038,45,134996
"AC",2038,55,106382
"AC",2038,65,63136
"AC",2038,75,36598
"AC",2038,90,4108
"AC",2039,25,171615
"AC",2039,35,172088
"AC",2039,45,136768
"AC",2039,55,109693
"AC",2039,65,65693
"AC",2039,75,38188
"AC",2039,90,4318
"AC",2040,25,170246
"AC",2040,35,174159
"AC",2040,45,138994
"AC",2040,55,112581
"AC",2040,65,68376
"AC",2040,75,39887
"AC",2040,90,4558
"AC",2041,25,167970
"AC",2041,35,175824
"AC",2041,45,141631
"AC",2041,55,115070
"AC",2041,65,71178
"AC",2041,75,41695
"AC",2041,90,4811
"AC",2042,25,165977
"AC",2042,35,176642
"AC",2042,45,144703
"AC",2042,55,117155
"AC",2042,65,74062
"AC",2042,75,43630
"AC",2042,90,5083
"AC",2043,25,164451
"AC",2043,35,177147
"AC",2043,45,148083
"AC",2043,55,118924
"AC",2043,65,77033
"AC",2043,75,45648
"AC",2043,90,5373
"AC",2044,25,163291
"AC",2044,35,176935
"AC",2044,45,151552
"AC",2044,55,120521
