age,year,state,population,glaucoma,retina,eye
25,2010,RO,301494,0,0,2
25,2010,AC,139508,0,0,13
25,2010,AM,671416,-1,1,39
25,2010,RR,87860,-1,0,2
25,2010,PA,1475525,0,2,60
25,2010,AP,133931,-1,0,0
25,2010,TO,260391,0,0,17
25,2010,MA,1268950,0,28,77
25,2010,PI,584842,4,13,82
25,2010,CE,1587035,2,20,147
25,2010,RN,605664,-1,18,75
25,2010,PB,683287,0,0,106
25,2010,PE,1618976,0,33,166
25,2010,AL,569755,0,5,21
25,2010,SE,395454,0,4,23
25,2010,BA,2649169,17,82,359
25,2010,MG,3484925,10,106,428
25,2010,ES,654273,0,31,98
25,2010,RJ,2703565,9,16,115
25,2010,SP,7526671,46,305,1428
25,2010,PR,1805594,2,65,292
25,2010,SC,1146846,3,25,114
25,2010,RS,1789291,1,66,259
25,2010,MS,442929,1,5,64
25,2010,MT,577661,0,0,18
25,2010,GO,1124966,6,45,150
25,2010,DF,520911,5,19,177
25,2011,RO,304131,1,1,7
25,2011,AC,140962,0,2,10
25,2011,AM,679983,-1,0,51
25,2011,RR,89398,-1,0,1
25,2011,PA,1487996,0,30,102
25,2011,AP,137240,-1,0,3
25,2011,TO,262615,0,0,14
25,2011,MA,1271452,0,31,57
25,2011,PI,582132,3,5,59
25,2011,CE,1601758,8,21,146
25,2011,RN,610042,-1,14,72
25,2011,PB,683206,2,2,42
25,2011,PE,1617891,2,49,180
25,2011,AL,568859,0,11,23
25,2011,SE,397878,0,21,29
25,2011,BA,2625866,10,82,372
25,2011,MG,3486083,4,84,396
25,2011,ES,655111,0,42,88
25,2011,RJ,2689105,3,7,108
25,2011,SP,7496236,53,280,1378
25,2011,PR,1811981,11,76,349
25,2011,SC,1157841,8,33,113
25,2011,RS,1783792,4,53,194
25,2011,MS,445555,0,3,68
25,2011,MT,580462,1,2,21
25,2011,GO,1134764,1,40,112
25,2011,DF,518377,2,18,150
25,2012,RO,306221,0,0,2
25,2012,AC,142305,0,0,7
25,2012,AM,687744,-1,0,5
25,2012,RR,90721,-1,0,2
25,2012,PA,1497600,2,12,71
25,2012,AP,140300,-1,0,1
25,2012,TO,264730,0,0,34
25,2012,MA,1270930,0,37,106
25,2012,PI,578741,5,6,62
25,2012,CE,1613583,1,13,133
25,2012,RN,612056,-1,11,63
25,2012,PB,682449,0,7,23
25,2012,PE,1614092,6,67,261
25,2012,AL,568028,0,23,50
25,2012,SE,399417,0,23,34
25,2012,BA,2598203,3,77,369
25,2012,MG,3482167,7,81,431
25,2012,ES,653636,0,39,80
25,2012,RJ,2670434,3,14,95
25,2012,SP,7434101,27,238,1348
25,2012,PR,1817966,6,69,318
25,2012,SC,1164329,7,32,138
25,2012,RS,1774361,2,27,161
25,2012,MS,447625,0,14,77
25,2012,MT,582125,3,11,39
25,2012,GO,1141914,4,65,151
25,2012,DF,514387,3,18,123
25,2013,RO,307876,0,6,10
25,2013,AC,143720,0,0,5
25,2013,AM,695437,-1,9,16
25,2013,RR,91983,-1,0,1
25,2013,PA,1505622,1,2,72
25,2013,AP,143214,-1,0,3
25,2013,TO,266808,0,0,24
25,2013,MA,1268536,0,20,49
25,2013,PI,574887,8,10,50
25,2013,CE,1622756,12,22,154
25,2013,RN,612146,-1,11,59
25,2013,PB,681063,2,5,15
25,2013,PE,1608667,6,50,197
25,2013,AL,567623,0,26,45
25,2013,SE,400408,0,24,33
25,2013,BA,2568822,6,54,362
25,2013,MG,3474781,3,96,472
25,2013,ES,650591,0,28,56
25,2013,RJ,2651096,3,13,116
25,2013,SP,7352841,37,263,1230
25,2013,PR,1823570,9,84,325
25,2013,SC,1167418,5,28,140
25,2013,RS,1762971,2,40,174
25,2013,MS,449268,2,10,94
25,2013,MT,582934,0,13,48
25,2013,GO,1147209,3,35,143
25,2013,DF,509849,1,2,66
25,2014,RO,309240,1,3,12
25,2014,AC,145454,0,0,5
25,2014,AM,704144,-1,6,15
25,2014,RR,93412,-1,0,0
25,2014,PA,1513993,0,8,86
25,2014,AP,146140,-1,0,1
25,2014,TO,268930,0,0,22
25,2014,MA,1266137,0,23,42
25,2014,PI,570928,6,7,48
25,2014,CE,1629887,5,22,165
25,2014,RN,611092,-1,20,46
25,2014,PB,679116,0,0,11
25,2014,PE,1603335,11,52,201
25,2014,AL,568180,0,30,50
25,2014,SE,401378,0,14,23
25,2014,BA,2541523,10,55,295
25,2014,MG,3466325,8,96,459
25,2014,ES,647092,0,25,62
25,2014,RJ,2636194,1,21,119
25,2014,SP,7271419,27,250,1226
25,2014,PR,1828871,6,84,301
25,2014,SC,1168899,13,43,184
25,2014,RS,1752634,0,51,157
25,2014,MS,450687,0,7,68
25,2014,MT,583277,0,2,33
25,2014,GO,1151797,4,44,183
25,2014,DF,506047,1,4,75
25,2015,RO,310394,0,0,24
25,2015,AC,147663,0,0,3
25,2015,AM,714445,-1,5,19
25,2015,RR,95323,-1,0,0
25,2015,PA,1523851,0,15,61
25,2015,AP,149170,-1,0,3
25,2015,TO,271129,0,0,8
25,2015,MA,1264834,1,28,66
25,2015,PI,567083,0,3,37
25,2015,CE,1635191,1,8,130
25,2015,RN,609409,-1,11,29
25,2015,PB,676663,0,9,15
25,2015,PE,1599136,8,46,178
25,2015,AL,569953,0,21,43
25,2015,SE,402631,0,10,18
25,2015,BA,2518529,10,60,251
25,2015,MG,3458128,2,86,436
25,2015,ES,643885,1,17,69
25,2015,RJ,2628656,5,24,117
25,2015,SP,7202248,30,273,1266
25,2015,PR,1833709,7,78,322
25,2015,SC,1169872,5,28,146
25,2015,RS,1745122,4,49,151
25,2015,MS,451969,1,5,69
25,2015,MT,583398,0,1,30
25,2015,GO,1156396,7,47,180
25,2015,DF,503833,1,15,73
25,2016,RO,311415,0,1,23
25,2016,AC,150318,0,0,7
25,2016,AM,726198,-1,8,37
25,2016,RR,97928,-1,1,3
25,2016,PA,1535269,1,6,64
25,2016,AP,152242,-1,0,2
25,2016,TO,273447,0,0,6
25,2016,MA,1265035,2,41,62
25,2016,PI,563531,2,2,39
25,2016,CE,1638982,5,17,179
25,2016,RN,607055,-1,9,27
25,2016,PB,673997,0,3,14
25,2016,PE,1596196,3,30,167
25,2016,AL,573097,1,20,68
25,2016,SE,404127,0,10,14
25,2016,BA,2500932,7,34,207
25,2016,MG,3450145,4,94,444
25,2016,ES,640910,1,16,54
25,2016,RJ,2627683,4,15,91
25,2016,SP,7142573,29,267,1208
25,2016,PR,1837996,17,67,361
25,2016,SC,1170054,10,46,171
25,2016,RS,1740053,3,66,168
25,2016,MS,453153,1,5,79
25,2016,MT,583338,0,2,19
25,2016,GO,1160714,8,59,183
25,2016,DF,502815,5,18,104
25,2017,RO,312405,0,0,32
25,2017,AC,153437,0,0,12
25,2017,AM,739547,-1,7,30
25,2017,RR,103768,-1,2,2
25,2017,PA,1548676,0,16,93
25,2017,AP,155306,-1,0,1
25,2017,TO,275990,0,0,9
25,2017,MA,1267476,2,29,60
25,2017,PI,560451,3,3,45
25,2017,CE,1641961,3,6,96
25,2017,RN,604089,-1,8,28
25,2017,PB,671421,0,5,19
25,2017,PE,1594961,6,48,175
25,2017,AL,577940,2,17,75
25,2017,SE,405970,0,8,14
25,2017,BA,2490620,10,52,215
25,2017,MG,3443061,5,87,424
25,2017,ES,638231,1,18,68
25,2017,RJ,2633676,0,24,136
25,2017,SP,7091964,32,238,1268
25,2017,PR,1842007,19,77,347
25,2017,SC,1169583,13,31,154
25,2017,RS,1737714,4,74,197
25,2017,MS,454369,0,12,82
25,2017,MT,583229,0,0,17
25,2017,GO,1164630,9,66,198
25,2017,DF,502717,1,20,93
25,2018,RO,313223,1,2,30
25,2018,AC,156891,2,2,13
25,2018,AM,753323,-1,7,22
25,2018,RR,112213,-1,0,1
25,2018,PA,1562834,0,18,104
25,2018,AP,158319,-1,0,1
25,2018,TO,278475,0,0,8
