"mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","parameter"
-7.57532280410936,0.00143810298325195,0.185633320258254,-7.92759740195047,-7.70555428199164,-7.57822051635438,-7.45265323684096,-7.20653328965674,16662.1826457533,0.999755741727559,"alpha_st[1,1]"
-7.67237029311145,0.00128547439246782,0.159761201135588,-7.98192897793865,-7.78263986453668,-7.67162829489187,-7.5669624139904,-7.35696522451215,15445.9909070601,0.99974632691278,"alpha_st[1,2]"
-8.29047188397701,0.00148699661643188,0.176371386839249,-8.63331528976892,-8.41117827895236,-8.29222329282706,-8.17008046323081,-7.94308494351497,14068.1276099797,0.999780107187002,"alpha_st[1,3]"
-8.91168482473391,0.00178029013286392,0.202278885465415,-9.31068900366604,-9.04784450260254,-8.91329788212913,-8.7732527824283,-8.52503902747635,12909.8006040902,0.999894397108624,"alpha_st[1,4]"
-8.84917348437434,0.00161694143358285,0.186309869494528,-9.209420456693,-8.97512654265389,-8.85030372892131,-8.72185432856778,-8.4911583692681,13276.4860533495,0.999898796647229,"alpha_st[1,5]"
-8.91517872464961,0.0018072585716943,0.20269401687189,-9.31208945435033,-9.05194809242908,-8.91820224216096,-8.77649377527323,-8.5142448833342,12578.8596721785,0.999609368894466,"alpha_st[1,6]"
-8.26500936801072,0.00154474807215479,0.166252191238216,-8.58628226927761,-8.37965714303792,-8.26535007069273,-8.15075844163146,-7.9423897021786,11582.9566890016,0.99979256202688,"alpha_st[1,7]"
-8.06211736238265,0.00142081954066076,0.169419001327243,-8.39422618080957,-8.17616283575409,-8.06101431297535,-7.94805288175432,-7.72865851146061,14218.2580488883,1.0000264159299,"alpha_st[1,8]"
-7.82683810541809,0.0013558186310731,0.158754073179773,-8.13075053858263,-7.93545515418617,-7.82925461017678,-7.71950084997146,-7.50864410582865,13710.2874006493,0.999947260279005,"alpha_st[1,9]"
-8.08375721219272,0.00136651217095985,0.16765788191175,-8.40512039935767,-8.19849578934717,-8.08618299082392,-7.96997123303509,-7.75300821920217,15052.926540075,0.99994121236167,"alpha_st[1,10]"
-8.44553674452593,0.00142932652855154,0.170630469472025,-8.77837454783346,-8.56110775426494,-8.44704050100036,-8.33217584221632,-8.10227473227711,14251.1615309171,0.999943321387772,"alpha_st[1,11]"
-8.97433839330393,0.00180076205426767,0.20042384830384,-9.362901857707,-9.10928153962325,-8.97512770077525,-8.84223229577782,-8.5748536447899,12387.5703000619,0.9998853060971,"alpha_st[1,12]"
-8.83889848942813,0.00169165449260552,0.184337021008587,-9.20294131200228,-8.96386726853788,-8.83852044000984,-8.71582913311153,-8.47399384991829,11874.1299252077,0.999752556972778,"alpha_st[1,13]"
-8.79930145620372,0.00164933542526875,0.18717605632185,-9.16765056475963,-8.92681957287237,-8.7988164891912,-8.67512944980571,-8.43294328195288,12879.013882015,0.99986952791121,"alpha_st[1,14]"
-8.28185120523999,0.00140552417627834,0.176001459800748,-8.6229575908319,-8.40214098622873,-8.28342217856083,-8.16343510483263,-7.93005575169634,15680.3553116763,0.999727430750796,"alpha_st[1,15]"
-6.92256723669854,0.0013788393402162,0.169605396620689,-7.24103542741673,-7.04112094381769,-6.92566378633414,-6.80953857010241,-6.58112482856707,15130.4554710138,0.999768227295,"alpha_st[2,1]"
-7.04440918607699,0.00129237979073995,0.157868965512955,-7.3440267761376,-7.15225362847636,-7.04642097382808,-6.93851962063087,-6.73074776523853,14921.5249622166,0.999888156531989,"alpha_st[2,2]"
-6.94212639316932,0.00125133431561959,0.151352521369675,-7.22637080910718,-7.04693452037776,-6.94663731676956,-6.83975732981592,-6.63502386912877,14629.6053766587,0.999658506744474,"alpha_st[2,3]"
-6.92402844545931,0.00132078214585069,0.154776887234738,-7.22223303800409,-7.03165569463828,-6.92753791867563,-6.81959462506885,-6.61362011729829,13732.5072583535,0.999861256767363,"alpha_st[2,4]"
-6.91363465808752,0.00121480012675705,0.15046746637411,-7.20138096196452,-7.01623652644708,-6.91401523732197,-6.81503372225894,-6.60905295008977,15341.7732394303,0.999926389692802,"alpha_st[2,5]"
-7.06372918170064,0.00127604285741723,0.161531066704378,-7.37426143026678,-7.17101548028851,-7.0687050416159,-6.95505987855827,-6.73357155442907,16024.3934680252,0.999589351903885,"alpha_st[2,6]"
-6.83047259884335,0.00131056649726452,0.15238358505914,-7.12218938496162,-6.93458133923422,-6.83359546771842,-6.73091994144553,-6.52622227032345,13519.4259170199,0.999893871882967,"alpha_st[2,7]"
-6.75309373531618,0.00133447668932075,0.154239929928372,-7.04153737851215,-6.86188009113317,-6.75603591702902,-6.64790818628842,-6.44529162393773,13358.9294000079,0.999822056057138,"alpha_st[2,8]"
-6.77347836502984,0.0012806372907345,0.150294938130769,-7.05538616325163,-6.87520053841053,-6.77784109880152,-6.67408963113006,-6.46617120101785,13773.2496759038,0.999821238470531,"alpha_st[2,9]"
-6.98758518354068,0.00126689127828667,0.150884732854662,-7.27411613739005,-7.09143695347765,-6.99063863037932,-6.88496259022661,-6.689110134115,14184.4305064167,1.00006048664447,"alpha_st[2,10]"
-7.55211212332185,0.00137269978632888,0.161141441780313,-7.85674300146818,-7.66277499719685,-7.55420528118696,-7.44469485689679,-7.2307331137182,13780.4486781564,0.999698328539862,"alpha_st[2,11]"
-7.77058234305588,0.00138111307091292,0.157574465440742,-8.07594102291168,-7.87585870959008,-7.77201468680448,-7.66584848274714,-7.45880841632472,13017.0692131214,0.999835532124981,"alpha_st[2,12]"
-7.80382783294573,0.00140492752956701,0.162921151947416,-8.11220883891435,-7.91381335956562,-7.80894492445859,-7.69729459373588,-7.47870545271665,13447.6717320668,0.999849315149635,"alpha_st[2,13]"
-7.58517840793281,0.00133776415039916,0.154746666797758,-7.87778786012256,-7.69106244699086,-7.58946488605899,-7.48172794100498,-7.2752888429519,13380.8437508417,0.999604340090345,"alpha_st[2,14]"
-7.40338573525905,0.00140688871023041,0.169463195918694,-7.72776658718244,-7.51846719586839,-7.40476761512988,-7.29404576049293,-7.05932543322669,14508.7933777987,0.999734886612441,"alpha_st[2,15]"
-8.70223049973101,0.00161193806823707,0.182392573260448,-9.04562709044471,-8.82666172165322,-8.7046516339546,-8.57872859360653,-8.33606997792821,12803.1725132833,0.999730343437469,"alpha_st[3,1]"
-8.97260664886737,0.00165997967063448,0.169849342592757,-9.31178967381604,-9.08537991418175,-8.97364798402796,-8.85939820119576,-8.63823203584459,10469.4098533573,1.00024165673899,"alpha_st[3,2]"
-9.32890245277286,0.00161920570373968,0.1840416919605,-9.68635850853591,-9.45384802298168,-9.32848285576167,-9.20604911022333,-8.96783125394387,12918.9847176712,0.999971140157594,"alpha_st[3,3]"
-8.85949708476273,0.00132109855687681,0.160029938264261,-9.16384833481155,-8.97033126761363,-8.85980573162403,-8.74981170957052,-8.54551138547273,14673.443329128,0.99971936225984,"alpha_st[3,4]"
-8.62416981741953,0.00144056647068218,0.164732436074585,-8.93977273619157,-8.73719158675855,-8.62492293344272,-8.51484271056168,-8.29870979994906,13076.5035811905,0.999898735030117,"alpha_st[3,5]"
-8.09520240605997,0.00123138341070348,0.151978435328882,-8.38782758335634,-8.19522797972943,-8.1001571178775,-7.9950838686063,-7.78696135064115,15232.7158575883,1.00010125214095,"alpha_st[3,6]"
-7.77673247232207,0.00122629242315995,0.149486961063511,-8.06195585241516,-7.87925818260604,-7.78091934574655,-7.67394361420158,-7.48000109797848,14859.9906612852,0.999969542095354,"alpha_st[3,7]"
-7.68928312464221,0.00127394282028725,0.151769147170081,-7.98047386126322,-7.79379692477483,-7.69042164377197,-7.58866046797278,-7.38345233072656,14192.7684139419,0.999765840243586,"alpha_st[3,8]"
-7.72371828974769,0.00126114348955766,0.156930247233237,-8.02615686883056,-7.83331861577386,-7.72573219229919,-7.62062277542263,-7.40730822935487,15484.0410275854,1.00018525015047,"alpha_st[3,9]"
-7.7085113868666,0.00128944637876038,0.150427709378867,-7.99652425570696,-7.8111522166742,-7.71051263202314,-7.60685677909471,-7.41221292450446,13609.7175167618,0.999782915000695,"alpha_st[3,10]"
-7.90148125308344,0.00139579960805973,0.157265640182718,-8.20183208949447,-8.00947857168118,-7.90224182876365,-7.79554668920833,-7.58738367177467,12694.673930207,0.999734486144055,"alpha_st[3,11]"
-7.87841537161759,0.00141979848502738,0.157971588842525,-8.18163797297145,-7.98593303724826,-7.8806296699979,-7.77373580314274,-7.56189760024994,12379.5413714893,0.999644417867258,"alpha_st[3,12]"
-7.85983843889478,0.00141200181933483,0.160987170458328,-8.16498943308629,-7.97135834429355,-7.86185132561984,-7.75255128913304,-7.53145233155206,12999.0621993263,0.999934711785847,"alpha_st[3,13]"
-7.72221191376963,0.00139714680026979,0.162017556331403,-8.03454169704964,-7.83109940792197,-7.72515186571953,-7.61463645801653,-7.39554607564915,13447.4542096318,0.999776593170243,"alpha_st[3,14]"
-7.31300764087323,0.00130794238962686,0.161507364185264,-7.62200505324463,-7.42407259772801,-7.31713682639788,-7.20657747168798,-6.98586981266543,15247.8084835557,0.999828415724126,"alpha_st[3,15]"
-10.0995689776631,0.00285776395516083,0.31179528617951,-10.7329765470593,-10.2999059276706,-10.0922198581344,-9.88831699712507,-9.49998950676275,11903.8208390642,0.999609469096909,"alpha_st[4,1]"
-10.0487274395563,0.00267420497360232,0.267272736760512,-10.5938559609568,-10.2255351069496,-10.0433421258226,-9.86816010660013,-9.53205797184295,9988.95224716608,0.999612899607494,"alpha_st[4,2]"
-10.1513162966121,0.00247442835341597,0.252005285671741,-10.6543041473109,-10.3188772475668,-10.1503788958118,-9.98234961527501,-9.66781446318752,10372.1677751667,1.00015096707601,"alpha_st[4,3]"
-9.99677598831572,0.00230650495974012,0.242692792727578,-10.4682160669699,-10.1606951260662,-9.99591399143892,-9.83303151826891,-9.521674674534,11071.4619758414,1.00002866443413,"alpha_st[4,4]"
-10.167951646214,0.00236248013427647,0.246312961817615,-10.6623073944797,-10.3307296256969,-10.1673623647367,-10.0037713665145,-9.68347179824113,10870.216711761,1.0001907673958,"alpha_st[4,5]"
-10.0448892352229,0.00231778802607457,0.239216146404034,-10.5194197865402,-10.2033068031788,-10.0403551842274,-9.88453019784471,-9.58341768513013,10652.0586754113,1.00040223580296,"alpha_st[4,6]"
