"series","region","year","cases","pop","rate"
"North","North",2010,1421,9388896,151.348997794842
"North","North",2011,2102,9640090,218.047756815548
"North","North",2012,2489,9891990,251.617723026408
"North","North",2013,2626,10145578,258.831975861799
"North","North",2014,2524,10402501,242.633958891232
"North","North",2015,2416,10663940,226.557913866732
"North","North",2016,2377,10930250,217.469865739576
"North","North",2017,3459,11207786,308.62473641092
"North","North",2018,3016,11494140,262.394576714743
"North","North",2019,3554,11776731,301.781538527118
"North","North",2020,2517,12049813,208.882909635195
"North","North",2021,2744,12316683,222.787255302422
"North","North",2022,4991,12570007,397.056262578056
"North","North",2023,4728,12814080,368.969133952652
"North","North",2024,8008,13050444,613.618969592146
"Northeast","Northeast",2010,17202,34302068,501.485799631672
"Northeast","Northeast",2011,19090,34865419,547.533933264935
"Northeast","Northeast",2012,21867,35422372,617.321731023546
"Northeast","Northeast",2013,21597,35975809,600.32006507484
"Northeast","Northeast",2014,24099,36531840,659.671125243076
"Northeast","Northeast",2015,20426,37093278,550.665810662514
"Northeast","Northeast",2016,20406,37659876,541.849898815386
"Northeast","Northeast",2017,21796,38233638,570.073922863422
"Northeast","Northeast",2018,24197,38804471,623.56216632872
"Northeast","Northeast",2019,25149,39357307,638.99189037502
"Northeast","Northeast",2020,15080,39882347,378.112150721722
"Northeast","Northeast",2021,21478,40375279,531.959172344047
"Northeast","Northeast",2022,22112,40831246,541.546050296873
"Northeast","Northeast",2023,26807,41276017,649.457044268588
"Northeast","Northeast",2024,27626,41703404,662.439929364039
"Center-West","Center-West",2010,4097,9473205,432.482987542231
"Center-West","Center-West",2011,4736,9703837,488.054364474589
"Center-West","Center-West",2012,6024,9931090,606.579942382961
"Center-West","Center-West",2013,6592,10155711,649.092909398466
"Center-West","Center-West",2014,7596,10379039,731.859664464119
"Center-West","Center-West",2015,8305,10601788,783.358429729023
"Center-West","Center-West",2016,7564,10823336,698.860314416923
"Center-West","Center-West",2017,8288,11043439,750.490857060015
"Center-West","Center-West",2018,9223,11260672,819.045257689772
"Center-West","Center-West",2019,9899,11472853,862.819387644904
"Center-West","Center-West",2020,6672,11678574,571.302626502174
"Center-West","Center-West",2021,8280,11874438,697.296158352926
"Center-West","Center-West",2022,10941,12064509,906.874867431406
"Center-West","Center-West",2023,15020,12251530,1225.96932791251
"Center-West","Center-West",2024,13715,12435034,1102.93224771239
"Southeast","Southeast",2010,37335,57075288,654.135989642312
"Southeast","Southeast",2011,43534,58005328,750.517262827994
"Southeast","Southeast",2012,46750,58903981,793.664523285786
"Southeast","Southeast",2013,48770,59781489,815.804370479966
"Southeast","Southeast",2014,50338,60654970,829.907260691086
"Southeast","Southeast",2015,50360,61534199,818.40668796225
"Southeast","Southeast",2016,54290,62415553,869.815252618206
"Southeast","Southeast",2017,57416,63299581,907.051817609978
"Southeast","Southeast",2018,69081,64172334,1076.49193498245
"Southeast","Southeast",2019,70835,65011649,1089.5739623525
"Southeast","Southeast",2020,42677,65803414,648.552976293905
"Southeast","Southeast",2021,47373,66562237,711.709854342786
"Southeast","Southeast",2022,75933,67249959,1129.11593001863
"Southeast","Southeast",2023,83976,67898463,1236.78793730574
"Southeast","Southeast",2024,115195,68524671,1681.07337574813
"South","South",2010,7407,19311360,383.55662159475
"South","South",2011,7520,19635877,382.972453942342
"South","South",2012,7365,19957918,369.026468592566
"South","South",2013,9243,20277152,455.833245221025
"South","South",2014,9793,20593407,475.540545573639
"South","South",2015,10667,20906092,510.234050438504
"South","South",2016,12453,21214713,586.998278034683
"South","South",2017,13820,21519355,642.212557021342
"South","South",2018,14456,21816027,662.632109870418
"South","South",2019,16888,22098981,764.198132031518
"South","South",2020,11241,22364581,502.625110660468
"South","South",2021,14751,22619776,652.128473774453
"South","South",2022,18922,22846416,828.226186549348
"South","South",2023,20922,23054558,907.499506171404
"South","South",2024,22833,23253855,981.901710490583
"National",NA,2010,67462,129550817,520.737742626509
"National",NA,2011,76982,131850551,583.858007540674
"National",NA,2012,84495,134107351,630.054947547208
"National",NA,2013,88828,136335739,651.538625539705
"National",NA,2014,94350,138561757,680.923813632069
"National",NA,2015,92174,140799297,654.648154954921
"National",NA,2016,97090,143043728,678.743495835064
"National",NA,2017,104779,145303799,721.102963040904
"National",NA,2018,119973,147547644,813.113627215898
"National",NA,2019,126325,149717521,843.75562162828
"National",NA,2020,78187,151778729,515.138059958323
"National",NA,2021,94626,153748413,615.460011284799
"National",NA,2022,132899,155562137,854.314568846531
"National",NA,2023,151453,157294648,962.861749752604
"National",NA,2024,187377,158967408,1178.71331210231
