"series","region","year","cases","pop","rate"
"North","North",2010,9,8196709,1.09800164919848
"North","North",2011,20,8421231,2.37494969559676
"North","North",2012,50,8647391,5.78209080634841
"North","North",2013,17,8875246,1.91543986499078
"North","North",2014,7,9105060,0.768803280813086
"North","North",2015,8,9337047,0.856801941770241
"North","North",2016,30,9571478,3.13431217205953
"North","North",2017,39,9811602,3.97488605836233
"North","North",2018,38,10056705,3.77857359841021
"North","North",2019,98,10300473,9.51412619595236
"North","North",2020,196,10539893,18.5960142100114
"North","North",2021,216,10774943,20.0465097587987
"North","North",2022,115,11002788,10.4518963739009
"North","North",2023,356,11226002,31.7120912681113
"North","North",2024,314,11445669,27.4339577704021
"Northeast","Northeast",2010,821,33606595,24.4297287481817
"Northeast","Northeast",2011,756,34165370,22.1276690403177
"Northeast","Northeast",2012,801,34720055,23.0702399520968
"Northeast","Northeast",2013,857,35272911,24.2962651990929
"Northeast","Northeast",2014,951,35828959,26.5427750775567
"Northeast","Northeast",2015,843,36390365,23.1654725090007
"Northeast","Northeast",2016,908,36956932,24.5691390183579
"Northeast","Northeast",2017,1053,37530520,28.0571652084757
"Northeast","Northeast",2018,1535,38101232,40.2874111787251
"Northeast","Northeast",2019,1459,38654348,37.7447835881231
"Northeast","Northeast",2020,1110,39180226,28.3306175926601
"Northeast","Northeast",2021,1264,39674631,31.8591494902624
"Northeast","Northeast",2022,1492,40132734,37.1766349135347
"Northeast","Northeast",2023,1605,40579263,39.5522215373897
"Northeast","Northeast",2024,1917,41008474,46.746435870791
"Center-West","Center-West",2010,212,9473205,22.3789097776307
"Center-West","Center-West",2011,298,9703837,30.7095018187136
"Center-West","Center-West",2012,271,9931090,27.2880418967102
"Center-West","Center-West",2013,205,10155711,20.1856866545336
"Center-West","Center-West",2014,188,10379039,18.1134303474532
"Center-West","Center-West",2015,325,10601788,30.6552064614007
"Center-West","Center-West",2016,329,10823336,30.3972823166536
"Center-West","Center-West",2017,382,11043439,34.5906741550345
"Center-West","Center-West",2018,503,11260672,44.6687373542183
"Center-West","Center-West",2019,644,11472853,56.1325068838588
"Center-West","Center-West",2020,432,11678574,36.9908175433062
"Center-West","Center-West",2021,667,11874438,56.1710794228746
"Center-West","Center-West",2022,655,12064509,54.2914759315941
"Center-West","Center-West",2023,847,12251530,69.1342224195672
"Center-West","Center-West",2024,657,12435034,52.8345961900868
"Southeast","Southeast",2010,1929,57075288,33.7974641494582
"Southeast","Southeast",2011,1801,58005328,31.048871924317
"Southeast","Southeast",2012,1578,58903981,26.789360807379
"Southeast","Southeast",2013,1494,59781489,24.9910135225973
"Southeast","Southeast",2014,1337,60654970,22.0427114216692
"Southeast","Southeast",2015,1536,61534199,24.9617290053617
"Southeast","Southeast",2016,1523,62415553,24.4009694186319
"Southeast","Southeast",2017,2070,63299581,32.7016382620289
"Southeast","Southeast",2018,2482,64172334,38.6771034383758
"Southeast","Southeast",2019,2782,65011649,42.7923309559491
"Southeast","Southeast",2020,1831,65803414,27.8253040184207
"Southeast","Southeast",2021,2651,66562237,39.8273874118744
"Southeast","Southeast",2022,3964,67249959,58.9442738545015
"Southeast","Southeast",2023,4495,67898463,66.2017931098087
"Southeast","Southeast",2024,4924,68524671,71.8573315003585
"South","South",2010,324,19311360,16.7776894014715
"South","South",2011,320,19635877,16.2967001677592
"South","South",2012,306,19957918,15.3322606095486
"South","South",2013,365,20277152,18.0005555020745
"South","South",2014,497,20593407,24.133937623823
"South","South",2015,521,20906092,24.92096562093
"South","South",2016,691,21214713,32.5717345315961
"South","South",2017,886,21519355,41.1722377366794
"South","South",2018,1253,21816027,57.4348390749608
"South","South",2019,1248,22098981,56.4731921349677
"South","South",2020,909,22364581,40.6446246410787
"South","South",2021,1181,22619776,52.2109502764307
"South","South",2022,1078,22846416,47.1846437533134
"South","South",2023,1367,23054558,59.2941317721207
"South","South",2024,1196,23253855,51.4323324025199
"National",NA,2010,3295,127663157,25.8101090199422
"National",NA,2011,3195,129931643,24.5898529890829
"National",NA,2012,3006,132160435,22.7450825203473
"National",NA,2013,2938,134362509,21.8662186488346
"National",NA,2014,2980,136561435,21.8216804766294
"National",NA,2015,3233,138769491,23.2976281508448
"National",NA,2016,3481,140982012,24.6910932154948
"National",NA,2017,4430,143204497,30.9347827254335
"National",NA,2018,5811,145406970,39.9636963757652
"National",NA,2019,6231,147538304,42.233100361517
"National",NA,2020,4478,149566688,29.9398218940303
"National",NA,2021,5979,151506025,39.4637771006137
"National",NA,2022,7304,153296406,47.6462572775516
"National",NA,2023,8670,155009816,55.9319417552241
"National",NA,2024,9008,156667703,57.4974920006327
