"series","region","year","cases","pop","rate"
"North","North",2010,96,9386007,10.2279915197165
"North","North",2011,397,9637177,41.1946361470792
"North","North",2012,315,9889040,31.853445834985
"North","North",2013,420,10142572,41.409614839313
"North","North",2014,306,10399421,29.4247150875034
"North","North",2015,586,10660764,54.9679178715522
"North","North",2016,587,10926956,53.720359082621
"North","North",2017,677,11204340,60.4230146532504
"North","North",2018,679,11490515,59.0922164933425
"North","North",2019,919,11772912,78.060551204324
"North","North",2020,1094,12045796,90.8200670175719
"North","North",2021,1485,12312459,120.609538679479
"North","North",2022,1992,12565556,158.528599928248
"North","North",2023,2484,12809375,193.920468406929
"North","North",2024,2807,13045451,215.17079018579
"Northeast","Northeast",2010,3826,34302068,111.53846467799
"Northeast","Northeast",2011,4153,34865419,119.115161071204
"Northeast","Northeast",2012,4804,35422372,135.6205055946
"Northeast","Northeast",2013,4442,35975809,123.471858548059
"Northeast","Northeast",2014,4621,36531840,126.492396769503
"Northeast","Northeast",2015,3977,37093278,107.216191569804
"Northeast","Northeast",2016,4236,37659876,112.480455325981
"Northeast","Northeast",2017,4542,38233638,118.795914738744
"Northeast","Northeast",2018,5509,38804471,141.968176811378
"Northeast","Northeast",2019,6011,39357307,152.728945605958
"Northeast","Northeast",2020,4592,39882347,115.138660219771
"Northeast","Northeast",2021,6735,40375279,166.809992817635
"Northeast","Northeast",2022,7509,40831246,183.903278386361
"Northeast","Northeast",2023,9035,41276017,218.892244375226
"Northeast","Northeast",2024,10539,41703404,252.713183796699
"Center-West","Center-West",2010,1165,9473205,122.978442881791
"Center-West","Center-West",2011,1444,9703837,148.807116195377
"Center-West","Center-West",2012,1816,9931090,182.86008887242
"Center-West","Center-West",2013,1493,10155711,147.010878903506
"Center-West","Center-West",2014,1113,10379039,107.235361578273
"Center-West","Center-West",2015,1422,10601788,134.128318732652
"Center-West","Center-West",2016,1839,10823336,169.910644925003
"Center-West","Center-West",2017,2399,11043439,217.233055753738
"Center-West","Center-West",2018,2868,11260672,254.691727101189
"Center-West","Center-West",2019,3128,11472853,272.643604864457
"Center-West","Center-West",2020,2260,11678574,193.516776962667
"Center-West","Center-West",2021,2659,11874438,223.926387084593
"Center-West","Center-West",2022,3306,12064509,274.026899892901
"Center-West","Center-West",2023,3965,12251530,323.6330482805
"Center-West","Center-West",2024,3811,12435034,306.472825084354
"Southeast","Southeast",2010,7205,57075288,126.236769930973
"Southeast","Southeast",2011,7460,58005328,128.608875377793
"Southeast","Southeast",2012,7960,58903981,135.135178724168
"Southeast","Southeast",2013,8687,59781489,145.312539806427
"Southeast","Southeast",2014,9399,60654970,154.958447757867
"Southeast","Southeast",2015,9622,61534199,156.36833104791
"Southeast","Southeast",2016,9723,62415553,155.778480405357
"Southeast","Southeast",2017,10746,63299581,169.764156890707
"Southeast","Southeast",2018,11712,64172334,182.508555789789
"Southeast","Southeast",2019,12657,65011649,194.688185804978
"Southeast","Southeast",2020,10568,65803414,160.599570107411
"Southeast","Southeast",2021,12721,66562237,191.114370149549
"Southeast","Southeast",2022,16205,67249959,240.966689659989
"Southeast","Southeast",2023,17651,67898463,259.961701931309
"Southeast","Southeast",2024,20159,68524671,294.186016595395
"South","South",2010,2883,19311360,149.290365877908
"South","South",2011,2940,19635877,149.725932791288
"South","South",2012,2631,19957918,131.82737798602
"South","South",2013,3265,20277152,161.018667710337
"South","South",2014,3399,20593407,165.052824916246
"South","South",2015,3960,20906092,189.418471898048
"South","South",2016,4588,21214713,216.265004386343
"South","South",2017,4970,21519355,230.9548775974
"South","South",2018,6150,21816027,281.902841429377
"South","South",2019,7126,22098981,322.458307014246
"South","South",2020,5796,22364581,259.159784840145
"South","South",2021,6695,22619776,295.979942506946
"South","South",2022,7787,22846416,340.841206778341
"South","South",2023,9282,23054558,402.61019100865
"South","South",2024,11246,23253855,483.618737624364
"National",NA,2010,15175,129547928,117.13811432013
"National",NA,2011,16394,131847638,124.340490650276
"National",NA,2012,17526,134104401,130.689223241823
"National",NA,2013,18307,136332733,134.281764893542
"National",NA,2014,18838,138558677,135.956840869663
"National",NA,2015,19567,140796121,138.973999148741
"National",NA,2016,20973,143040434,146.622877276785
"National",NA,2017,23334,145300353,160.591488721297
"National",NA,2018,26918,147544019,182.440468833915
"National",NA,2019,29841,149713702,199.320433610011
"National",NA,2020,24310,151774712,160.171610142802
"National",NA,2021,30295,153744189,197.048097863393
"National",NA,2022,36799,155557686,236.561760117722
"National",NA,2023,42417,157289943,269.673948575339
"National",NA,2024,48562,158962415,305.493597338717
