"series","region","year","age_label","cases","pop","rate"
"North","North",2010,"25-34",133,3070125,43.3207116974065
"North","North",2010,"35-44",159,2415901,65.8139551248168
"North","North",2010,"45-54",176,1696750,103.727714748784
"North","North",2010,"55-64",209,1110670,188.174705358027
"North","North",2010,"65-74",319,632709,504.181227072793
"North","North",2010,"75-89",323,323461,998.574789541861
"North","North",2010,"90+",102,139280,732.337736932797
"North","North",2011,"25-34",188,3102325,60.5997115066926
"North","North",2011,"35-44",157,2493093,62.9739845244441
"North","North",2011,"45-54",226,1753542,128.881999974908
"North","North",2011,"55-64",363,1154878,314.318915071549
"North","North",2011,"65-74",554,658274,841.594837408131
"North","North",2011,"75-89",446,334986,1331.39892413414
"North","North",2011,"90+",168,142992,1174.89090298758
"North","North",2012,"25-34",122,3129621,38.9823560105201
"North","North",2012,"35-44",176,2571829,68.4337877829358
"North","North",2012,"45-54",209,1810880,115.413500618484
"North","North",2012,"55-64",399,1199109,332.747064695536
"North","North",2012,"65-74",698,685807,1017.77905445701
"North","North",2012,"75-89",664,347398,1911.35239696256
"North","North",2012,"90+",221,147346,1499.87105181003
"North","North",2013,"25-34",131,3154660,41.5258696658277
"North","North",2013,"35-44",159,2649527,60.0107113458364
"North","North",2013,"45-54",172,1869456,92.0053748256177
"North","North",2013,"55-64",414,1243793,332.852813932865
"North","North",2013,"65-74",766,715396,1070.73564850796
"North","North",2013,"75-89",741,360519,2055.37017466486
"North","North",2013,"90+",243,152227,1596.30026210856
"North","North",2014,"25-34",141,3181313,44.3213226740028
"North","North",2014,"35-44",134,2722447,49.2204255950621
"North","North",2014,"45-54",209,1930374,108.269174781674
"North","North",2014,"55-64",422,1289657,327.21878763113
"North","North",2014,"65-74",732,747072,979.82523772809
"North","North",2014,"75-89",678,374111,1812.29635054837
"North","North",2014,"90+",208,157527,1320.40856488094
"North","North",2015,"25-34",118,3211975,36.737521306984
"North","North",2015,"35-44",133,2788386,47.6978438422801
"North","North",2015,"45-54",228,1994342,114.32342095789
"North","North",2015,"55-64",423,1337188,316.335474144249
"North","North",2015,"65-74",764,780788,978.498644958683
"North","North",2015,"75-89",599,388095,1543.43652971566
"North","North",2015,"90+",151,163166,925.437897601216
"North","North",2016,"25-34",142,3246817,43.7351412167671
"North","North",2016,"35-44",182,2847652,63.9123038910653
"North","North",2016,"45-54",233,2061045,113.049448216803
"North","North",2016,"55-64",446,1386348,321.708546483278
"North","North",2016,"65-74",687,816539,841.356016062919
"North","North",2016,"75-89",516,402579,1281.73600709426
"North","North",2016,"90+",171,169270,1010.22035800792
"North","North",2017,"25-34",179,3289129,54.4217025236772
"North","North",2017,"35-44",200,2901924,68.9197925238566
"North","North",2017,"45-54",320,2131051,150.16064843122
"North","North",2017,"55-64",636,1437633,442.393851560169
