"series","region","year","age_label","cases","pop","rate"
"North","North",2010,"25-34",3,3070125,0.977158910467815
"North","North",2010,"35-44",13,2415901,5.38101519888439
"North","North",2010,"45-54",27,1696750,15.9127744216885
"North","North",2010,"55-64",25,1110670,22.5089360476109
"North","North",2010,"65-74",18,632709,28.4490974523833
"North","North",2010,"75-89",7,323461,21.6409397114335
"North","North",2010,"90+",3,136391,21.995586219032
"North","North",2011,"25-34",33,3102325,10.6371834027705
"North","North",2011,"35-44",29,2493093,11.6321372688464
"North","North",2011,"45-54",67,1753542,38.2083805235347
"North","North",2011,"55-64",94,1154878,81.3938788339548
"North","North",2011,"65-74",91,658274,138.240307227689
"North","North",2011,"75-89",68,334986,202.993557939735
"North","North",2011,"90+",15,140079,107.082432056197
"North","North",2012,"25-34",12,3129621,3.83433009939542
"North","North",2012,"35-44",19,2571829,7.38773845383966
"North","North",2012,"45-54",39,1810880,21.5364905460329
"North","North",2012,"55-64",86,1199109,71.7199187063061
"North","North",2012,"65-74",82,685807,119.567166855981
"North","North",2012,"75-89",62,347398,178.469651523613
"North","North",2012,"90+",15,144396,103.88099393335
"North","North",2013,"25-34",17,3154660,5.38885331541275
"North","North",2013,"35-44",30,2649527,11.3227757256295
"North","North",2013,"45-54",53,1869456,28.3504934055683
"North","North",2013,"55-64",128,1243793,102.911014935765
"North","North",2013,"65-74",119,715396,166.341438867424
"North","North",2013,"75-89",59,360519,163.652955877499
"North","North",2013,"90+",14,149221,93.8205748520651
"North","North",2014,"25-34",17,3181313,5.34370557062446
"North","North",2014,"35-44",22,2722447,8.08096539620422
"North","North",2014,"45-54",42,1930374,21.7574418221547
"North","North",2014,"55-64",102,1289657,79.0907970103679
"North","North",2014,"65-74",82,747072,109.761843570633
"North","North",2014,"75-89",32,374111,85.5361109403359
"North","North",2014,"90+",9,154447,58.2724170751131
"North","North",2015,"25-34",20,3211975,6.22669852660746
"North","North",2015,"35-44",42,2788386,15.0624770028253
"North","North",2015,"45-54",85,1994342,42.6205736027221
"North","North",2015,"55-64",163,1337188,121.897594055585
"North","North",2015,"65-74",167,780788,213.886483911126
"North","North",2015,"75-89",86,388095,221.595227972533
"North","North",2015,"90+",23,159990,143.758984936559
"North","North",2016,"25-34",16,3246817,4.92790323569206
"North","North",2016,"35-44",40,2847652,14.0466601958385
"North","North",2016,"45-54",95,2061045,46.0931226635032
"North","North",2016,"55-64",171,1386348,123.345653472288
"North","North",2016,"65-74",173,816539,211.869855573341
"North","North",2016,"75-89",65,402579,161.458993141719
"North","North",2016,"90+",27,165976,162.674121559744
"North","North",2017,"25-34",25,3289129,7.60079644185436
"North","North",2017,"35-44",33,2901924,11.3717657664363
"North","North",2017,"45-54",111,2131051,52.0869749245795
"North","North",2017,"55-64",200,1437633,139.117563383701
"North","North",2017,"65-74",220,854478,257.467131979992
"North","North",2017,"75-89",77,417591,184.390947122903
"North","North",2017,"90+",11,172534,63.7555496307974
"North","North",2018,"25-34",29,3335278,8.69492737936688
"North","North",2018,"35-44",29,2952530,9.8220847883002
"North","North",2018,"45-54",110,2204568,49.8963969358169
"North","North",2018,"55-64",214,1490904,143.537075492453
"North","North",2018,"65-74",192,894092,214.743001838737
"North","North",2018,"75-89",88,433557,202.972158216797
"North","North",2018,"90+",17,179586,94.6621674295324
"North","North",2019,"25-34",34,3376531,10.0695062476844
"North","North",2019,"35-44",64,2998469,21.344226003337
"North","North",2019,"45-54",116,2280197,50.8727973942602
"North","North",2019,"55-64",289,1545270,187.022332666783
"North","North",2019,"65-74",273,934382,292.171724198454
"North","North",2019,"75-89",112,451011,248.330971971859
"North","North",2019,"90+",31,187052,165.729315912153
"North","North",2020,"25-34",36,3408466,10.5619360732951
"North","North",2020,"35-44",76,3039981,25.0001562509766
"North","North",2020,"45-54",182,2357103,77.2134268209747
"North","North",2020,"55-64",285,1600270,178.094946477782
"North","North",2020,"65-74",336,974828,344.67618903027
"North","North",2020,"75-89",147,470277,312.581733744155
"North","North",2020,"90+",32,194871,164.211196124616
"North","North",2021,"25-34",37,3435178,10.7709120167863
"North","North",2021,"35-44",85,3076517,27.6286462905942
"North","North",2021,"45-54",217,2434930,89.1196050810496
"North","North",2021,"55-64",419,1655930,253.030019384877
"North","North",2021,"65-74",473,1015420,465.817100313171
