"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"AL",2010,"eye",575.330967360515,453.26565661251,721.737436101999,488.434871496442,664.630070118891,FALSE,"Northeast","Eye & Appendage Diseases","AL","model",NA
"AL",2011,"eye",494.47344058222,391.333160007107,615.217360335885,421.453888295701,573.13845884611,FALSE,"Northeast","Eye & Appendage Diseases","AL","model",NA
"AL",2012,"eye",552.036495540265,439.016232590074,693.93531916657,475.313335790664,632.066914096547,FALSE,"Northeast","Eye & Appendage Diseases","AL","model",NA
"AL",2013,"eye",580.954793729955,460.918418489212,737.325921741776,500.282953003295,677.247565128995,FALSE,"Northeast","Eye & Appendage Diseases","AL","model",NA
"AL",2014,"eye",608.583252903933,477.896075094307,756.671322777515,521.624782591681,703.095354990608,FALSE,"Northeast","Eye & Appendage Diseases","AL","model",NA
"AL",2015,"eye",497.783531432516,391.852884007882,618.913324055191,425.046894497173,569.993277648642,FALSE,"Northeast","Eye & Appendage Diseases","AL","model",NA
"AL",2016,"eye",693.432865772961,558.551911454721,869.468787577465,595.460510330618,799.870993849523,FALSE,"Northeast","Eye & Appendage Diseases","AL","model",NA
"AL",2017,"eye",754.406640082368,585.215437678042,961.297269788971,643.886754966337,878.077828496357,FALSE,"Northeast","Eye & Appendage Diseases","AL","model",NA
"AL",2018,"eye",760.045278738918,600.561878295133,944.953391326343,654.859083406837,875.710944896616,FALSE,"Northeast","Eye & Appendage Diseases","AL","model",NA
"AL",2019,"eye",622.6765458548,510.601060137109,765.782516251993,544.687298508112,707.761401253974,FALSE,"Northeast","Eye & Appendage Diseases","AL","model",NA
"AL",2020,"eye",332.289121383163,258.715247719547,425.468884256474,280.17507435138,384.876340941658,FALSE,"Northeast","Eye & Appendage Diseases","AL","model",NA
"AL",2021,"eye",270.06544692011,213.933287934108,339.853202301048,233.35872648115,311.33428268816,FALSE,"Northeast","Eye & Appendage Diseases","AL","model",NA
"AL",2022,"eye",270.039448416283,211.257354646294,347.178496746623,227.518583599086,309.810060169209,FALSE,"Northeast","Eye & Appendage Diseases","AL","model",NA
"AL",2023,"eye",340.301432251345,271.923668411993,420.550727761039,290.669755347797,392.732775737454,FALSE,"Northeast","Eye & Appendage Diseases","AL","model",NA
"AL",2024,"eye",419.853769027954,331.383215226386,536.372537078181,359.724611811263,488.730501265249,FALSE,"Northeast","Eye & Appendage Diseases","AL","model",NA
"AL",2025,"eye",410.876380538255,173.642186199893,805.076932114976,239.038690995941,602.058062764163,TRUE,"Northeast","Eye & Appendage Diseases","AL","model",NA
"AL",2026,"eye",437.964152819235,134.31959061487,960.231788762557,199.750424792555,724.965958440763,TRUE,"Northeast","Eye & Appendage Diseases","AL","model",NA
"AL",2027,"eye",469.407891103764,106.188384404489,1220.23409777188,187.738370075585,839.296582738956,TRUE,"Northeast","Eye & Appendage Diseases","AL","model",NA
"AL",2028,"eye",500.14273795374,109.379895026719,1520.29183227591,162.016400606806,987.659142048636,TRUE,"Northeast","Eye & Appendage Diseases","AL","model",NA
"AL",2029,"eye",531.559990951827,95.0691594617703,1780.71293994507,149.325176907698,1090.83374457665,TRUE,"Northeast","Eye & Appendage Diseases","AL","model",NA
"AL",2030,"eye",619.986626481071,73.6443018575247,2482.57713405134,131.046936324728,1253.3313902433,TRUE,"Northeast","Eye & Appendage Diseases","AL","model",NA
"AL",2031,"eye",664.949744721141,56.692758107787,2935.51634382695,122.619640396157,1304.98376860381,TRUE,"Northeast","Eye & Appendage Diseases","AL","model",NA
"AL",2032,"eye",727.572741355987,59.2403167470127,2962.53322036302,122.338533734621,1547.25835590906,TRUE,"Northeast","Eye & Appendage Diseases","AL","model",NA
"AL",2033,"eye",793.927448012948,61.0090138970824,3498.78784315847,121.068011066466,1696.7180185736,TRUE,"Northeast","Eye & Appendage Diseases","AL","model",NA
"AL",2034,"eye",897.353213444201,51.7534485061394,4498.93734202868,114.30295541615,2106.10000984484,TRUE,"Northeast","Eye & Appendage Diseases","AL","model",NA
"AL",2035,"eye",975.264499074376,56.9370984420359,4568.98787313956,108.38749414895,2102.35762711495,TRUE,"Northeast","Eye & Appendage Diseases","AL","model",NA
"AL",2036,"eye",1049.8500275597,49.3511143743693,5096.06561784889,111.829726490573,2194.59093756926,TRUE,"Northeast","Eye & Appendage Diseases","AL","model",NA
"AL",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",665.066140021642
"AL",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",541.670207831384
"AL",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",616.040442903839
"AL",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",625.935055639223
"AL",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",680.692283109351
"AL",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",479.473300743256
"AL",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",728.704325853862
"AL",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",791.709991184605
"AL",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",798.49238776695
"AL",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",701.661726042781
"AL",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",323.647871116226
"AL",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",282.355536838861
"AL",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",257.434612256393
"AL",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",371.119244452407
"AL",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",469.007147297768
