"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"AP",2010,"eye",20.2018888980055,11.1240390947741,34.2017997205628,13.1015306366443,27.8578408123401,FALSE,"North","Eye & Appendage Diseases","AP","model",NA
"AP",2011,"eye",21.7733590725637,12.5322251912075,33.4006298461456,14.8442015722643,28.648430528801,FALSE,"North","Eye & Appendage Diseases","AP","model",NA
"AP",2012,"eye",19.4589486355844,12.0255155150182,29.2921125421627,13.3857625725419,25.2427914499029,FALSE,"North","Eye & Appendage Diseases","AP","model",NA
"AP",2013,"eye",23.4267559121861,14.3075195689271,34.4145828873702,16.7750395469731,30.6510649502476,FALSE,"North","Eye & Appendage Diseases","AP","model",NA
"AP",2014,"eye",19.2049921953482,11.0679356008737,28.8678857817586,13.5705770815644,25.7034580318521,FALSE,"North","Eye & Appendage Diseases","AP","model",NA
"AP",2015,"eye",22.197070769821,13.8480223576654,33.6597349954922,16.1274647742163,29.0567481135391,FALSE,"North","Eye & Appendage Diseases","AP","model",NA
"AP",2016,"eye",19.7919218297997,12.5746803903226,30.8075096785185,14.2121729835098,25.8980556689259,FALSE,"North","Eye & Appendage Diseases","AP","model",NA
"AP",2017,"eye",16.8167270169759,10.091917547045,25.3667310842737,12.0497432875661,22.2443525649405,FALSE,"North","Eye & Appendage Diseases","AP","model",NA
"AP",2018,"eye",15.3559197226613,9.22508412695692,24.2969406061068,10.7465982309349,20.3199618112791,FALSE,"North","Eye & Appendage Diseases","AP","model",NA
"AP",2019,"eye",21.0452406077479,12.6960955531353,32.6473185769704,14.8534552263192,27.4915623608904,FALSE,"North","Eye & Appendage Diseases","AP","model",NA
"AP",2020,"eye",37.4815502737586,23.6788845878094,55.0154975379406,27.0685468068598,48.3984055353507,FALSE,"North","Eye & Appendage Diseases","AP","model",NA
"AP",2021,"eye",244.811664220921,190.548269329567,315.710990907093,203.551087325538,287.361904145935,FALSE,"North","Eye & Appendage Diseases","AP","model",NA
"AP",2022,"eye",290.462291436995,227.391406063073,371.086427347988,246.036323214013,341.617877409084,FALSE,"North","Eye & Appendage Diseases","AP","model",NA
"AP",2023,"eye",183.35412475651,137.465309263944,235.854858470801,152.951730921076,216.978238283414,FALSE,"North","Eye & Appendage Diseases","AP","model",NA
"AP",2024,"eye",82.3735086605492,55.262409721346,114.350224209818,63.8042721174906,102.69165438892,FALSE,"North","Eye & Appendage Diseases","AP","model",NA
"AP",2025,"eye",78.7485645355985,34.8787178859979,152.734479378863,43.1785048565922,121.010295174768,TRUE,"North","Eye & Appendage Diseases","AP","model",NA
"AP",2026,"eye",87.8969375830074,24.1876021515298,232.178723736245,37.5493607815934,151.068478279664,TRUE,"North","Eye & Appendage Diseases","AP","model",NA
"AP",2027,"eye",97.0849106606806,21.9768625962312,303.591970652708,33.1482782099944,188.470733156426,TRUE,"North","Eye & Appendage Diseases","AP","model",NA
"AP",2028,"eye",102.410353089664,17.7021960677531,330.694641424368,30.0090821084376,213.778808134587,TRUE,"North","Eye & Appendage Diseases","AP","model",NA
"AP",2029,"eye",109.194567518889,15.6959153530904,389.014563359136,27.1293621761883,231.131617611517,TRUE,"North","Eye & Appendage Diseases","AP","model",NA
"AP",2030,"eye",116.850334126819,13.3723109541297,466.544388312905,24.3479961607958,235.158995036888,TRUE,"North","Eye & Appendage Diseases","AP","model",NA
"AP",2031,"eye",128.644222585891,11.9345320492529,535.182290240722,22.8991323341055,285.055705237127,TRUE,"North","Eye & Appendage Diseases","AP","model",NA
"AP",2032,"eye",137.810461551012,9.92213576259903,567.635323124573,22.1420818171937,316.712233933649,TRUE,"North","Eye & Appendage Diseases","AP","model",NA
"AP",2033,"eye",148.920449346761,9.14678008621826,688.002774942764,23.5822832567803,375.257179118551,TRUE,"North","Eye & Appendage Diseases","AP","model",NA
"AP",2034,"eye",161.484063358578,7.88898246510683,816.639557981382,21.1619956670851,367.814440230922,TRUE,"North","Eye & Appendage Diseases","AP","model",NA
"AP",2035,"eye",165.730194922121,5.62781863879492,890.385505237648,18.6328948090059,357.744070855581,TRUE,"North","Eye & Appendage Diseases","AP","model",NA
"AP",2036,"eye",178.581954456801,6.47732893469042,974.90934199514,18.2125313820747,443.821365032263,TRUE,"North","Eye & Appendage Diseases","AP","model",NA
"AP",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",10.5579897587499
"AP",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",25.4005669406541
"AP",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",12.2347206690924
"AP",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",30.6723135182323
"AP",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",11.3832465929943
"AP",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",26.3782063259335
"AP",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",21.2396297507742
"AP",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",14.3768754120515
"AP",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",7.95072142858563
"AP",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",15.4040481838627
"AP",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",9.3359523791741
"AP",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",336.749103812869
"AP",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",349.952870668674
"AP",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",220.58559490567
"AP",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",58.2898102749947
