"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"DF",2010,"eye",1057.14366754665,816.613214942149,1328.16595737293,890.307545458293,1225.72088007528,FALSE,"Center-West","Eye & Appendage Diseases","DF","model",NA
"DF",2011,"eye",974.737579191155,765.930354154302,1226.44902669503,825.727352730266,1126.47452462245,FALSE,"Center-West","Eye & Appendage Diseases","DF","model",NA
"DF",2012,"eye",717.958252280996,567.56911074936,898.042001401747,621.202611567615,820.266990051099,FALSE,"Center-West","Eye & Appendage Diseases","DF","model",NA
"DF",2013,"eye",505.766286531725,411.413927390501,650.380472748592,433.56557010264,588.974431148751,FALSE,"Center-West","Eye & Appendage Diseases","DF","model",NA
"DF",2014,"eye",571.676673177599,446.686125294685,716.646966875593,482.359218529592,657.922078826964,FALSE,"Center-West","Eye & Appendage Diseases","DF","model",NA
"DF",2015,"eye",616.065959022669,495.692006057783,764.427601445024,527.052579183491,707.333209128216,FALSE,"Center-West","Eye & Appendage Diseases","DF","model",NA
"DF",2016,"eye",838.76575666552,662.587716010094,1050.46490968337,710.011063162753,979.498641736604,FALSE,"Center-West","Eye & Appendage Diseases","DF","model",NA
"DF",2017,"eye",917.143660372781,730.57063770288,1120.07034103351,790.58547983847,1048.35427354276,FALSE,"Center-West","Eye & Appendage Diseases","DF","model",NA
"DF",2018,"eye",974.838074952646,765.708882624225,1192.61650803365,836.117861531716,1120.58657540153,FALSE,"Center-West","Eye & Appendage Diseases","DF","model",NA
"DF",2019,"eye",891.908866347147,705.851794181042,1095.94186238171,760.536951538814,1026.47452830211,FALSE,"Center-West","Eye & Appendage Diseases","DF","model",NA
"DF",2020,"eye",490.485169129819,386.255867971182,632.529512507694,413.531919878258,574.300694230232,FALSE,"Center-West","Eye & Appendage Diseases","DF","model",NA
"DF",2021,"eye",537.150156752112,423.692009958053,674.756654158449,454.609408534443,627.44962859629,FALSE,"Center-West","Eye & Appendage Diseases","DF","model",NA
"DF",2022,"eye",671.769838082556,544.41641483555,828.973914957237,577.683587066213,771.811809179781,FALSE,"Center-West","Eye & Appendage Diseases","DF","model",NA
"DF",2023,"eye",971.949391923868,781.72146732977,1215.48112328219,840.386351351286,1104.38490943338,FALSE,"Center-West","Eye & Appendage Diseases","DF","model",NA
"DF",2024,"eye",996.869156243419,785.926611607049,1226.83381357534,848.139470644953,1152.37153066445,FALSE,"Center-West","Eye & Appendage Diseases","DF","model",NA
"DF",2025,"eye",935.248839007255,444.092135953406,1766.93430318081,540.085592381829,1382.2046402697,TRUE,"Center-West","Eye & Appendage Diseases","DF","model",NA
"DF",2026,"eye",999.988531640284,361.615314678048,2324.61146127135,486.640968591255,1679.76168067627,TRUE,"Center-West","Eye & Appendage Diseases","DF","model",NA
"DF",2027,"eye",1091.03118303355,281.477324012868,2712.25513023629,442.221798509141,1940.89133353983,TRUE,"Center-West","Eye & Appendage Diseases","DF","model",NA
"DF",2028,"eye",1203.55620662982,256.490910925458,3545.04153328352,412.778691474746,2301.18785156867,TRUE,"Center-West","Eye & Appendage Diseases","DF","model",NA
"DF",2029,"eye",1299.77402087773,201.23272712765,4310.65961434886,379.555800446393,2573.62733208758,TRUE,"Center-West","Eye & Appendage Diseases","DF","model",NA
"DF",2030,"eye",1454.07510543951,195.346241937168,5441.09198477173,349.8692451406,3216.06934351029,TRUE,"Center-West","Eye & Appendage Diseases","DF","model",NA
"DF",2031,"eye",1615.0246906919,157.423643118075,7103.27867562097,343.118213368421,3607.40287199351,TRUE,"Center-West","Eye & Appendage Diseases","DF","model",NA
"DF",2032,"eye",1696.62755921917,145.35611176806,7336.46315570268,314.096873472729,3709.43059592861,TRUE,"Center-West","Eye & Appendage Diseases","DF","model",NA
"DF",2033,"eye",1854.93157839898,125.929357321516,9706.32295490565,294.746309854136,4077.11959517455,TRUE,"Center-West","Eye & Appendage Diseases","DF","model",NA
"DF",2034,"eye",1978.23321400716,131.68259326473,10608.931394641,290.290963976008,4033.38789985551,TRUE,"Center-West","Eye & Appendage Diseases","DF","model",NA
"DF",2035,"eye",2049.20885615301,116.948597180378,9859.88343481373,278.371478459613,4463.96795875313,TRUE,"Center-West","Eye & Appendage Diseases","DF","model",NA
"DF",2036,"eye",2192.25967677029,98.7105672603314,11861.8867865239,224.005150553337,4844.77840003293,TRUE,"Center-West","Eye & Appendage Diseases","DF","model",NA
"DF",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",980.974760029758
"DF",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",931.443029130121
"DF",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",676.477204498412
"DF",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",413.595653083342
"DF",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",543.15005408333
"DF",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",579.704018828303
"DF",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",819.280902635969
"DF",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",897.305244084838
"DF",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",934.359259486126
"DF",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",932.149226939113
"DF",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",388.446629513261
"DF",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",440.060092798171
"DF",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",652.578620289674
"DF",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",981.399512416475
"DF",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",1037.339176773
