"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"ES",2010,"eye",643.477524642543,516.562649588573,821.342691942355,545.918871974298,742.499782195776,FALSE,"Southeast","Eye & Appendage Diseases","ES","model",NA
"ES",2011,"eye",677.828386726477,537.433677934378,861.716823004899,582.779802961667,776.210200936716,FALSE,"Southeast","Eye & Appendage Diseases","ES","model",NA
"ES",2012,"eye",634.478193791337,499.957871818006,792.175229575452,545.872215978877,729.446288393248,FALSE,"Southeast","Eye & Appendage Diseases","ES","model",NA
"ES",2013,"eye",464.797986894626,364.04900913883,590.100650356427,395.618204507965,542.791148294554,FALSE,"Southeast","Eye & Appendage Diseases","ES","model",NA
"ES",2014,"eye",406.465713592273,322.16689513803,509.991183953162,353.100018407062,463.952095681734,FALSE,"Southeast","Eye & Appendage Diseases","ES","model",NA
"ES",2015,"eye",354.706038880732,281.554972178929,447.900452832891,300.374366923444,414.283772864752,FALSE,"Southeast","Eye & Appendage Diseases","ES","model",NA
"ES",2016,"eye",380.607389299142,303.18804951303,472.577773326128,326.69292188103,435.438945463691,FALSE,"Southeast","Eye & Appendage Diseases","ES","model",NA
"ES",2017,"eye",455.694341789034,360.394532630769,578.292236804442,389.358874914938,527.644148313457,FALSE,"Southeast","Eye & Appendage Diseases","ES","model",NA
"ES",2018,"eye",452.62140902214,355.058802631609,576.39634392946,386.560073733086,523.503310864365,FALSE,"Southeast","Eye & Appendage Diseases","ES","model",NA
"ES",2019,"eye",470.340380759115,368.208601587618,590.300457396835,398.363094617557,542.702791429699,FALSE,"Southeast","Eye & Appendage Diseases","ES","model",NA
"ES",2020,"eye",389.129102475493,300.303451954264,489.646861116293,327.255708694153,453.816604039817,FALSE,"Southeast","Eye & Appendage Diseases","ES","model",NA
"ES",2021,"eye",525.574605389059,408.773073610066,660.808012222598,446.176666463496,608.02562979642,FALSE,"Southeast","Eye & Appendage Diseases","ES","model",NA
"ES",2022,"eye",660.842917564118,525.85894596513,819.569795335436,566.167380038988,762.924863219027,FALSE,"Southeast","Eye & Appendage Diseases","ES","model",NA
"ES",2023,"eye",699.151517345922,552.718306555504,863.571315789215,593.968242892926,809.412796222202,FALSE,"Southeast","Eye & Appendage Diseases","ES","model",NA
"ES",2024,"eye",767.718657390814,599.505398464448,976.911834382092,655.609033410784,894.797924283579,FALSE,"Southeast","Eye & Appendage Diseases","ES","model",NA
"ES",2025,"eye",717.824336666606,321.184198427812,1339.38022582224,410.295591717025,1062.26402994099,TRUE,"Southeast","Eye & Appendage Diseases","ES","model",NA
"ES",2026,"eye",776.450901441054,259.556564336271,2021.96450365151,370.877609981301,1312.30371217199,TRUE,"Southeast","Eye & Appendage Diseases","ES","model",NA
"ES",2027,"eye",867.073393497057,223.939721873274,2618.07563225207,321.158417304412,1582.69939927787,TRUE,"Southeast","Eye & Appendage Diseases","ES","model",NA
"ES",2028,"eye",934.316032522712,156.821787657005,2876.85062764429,292.761666438068,1881.46979084251,TRUE,"Southeast","Eye & Appendage Diseases","ES","model",NA
"ES",2029,"eye",999.578105470756,153.82145093617,3759.13812705452,276.373713333606,1899.72391736732,TRUE,"Southeast","Eye & Appendage Diseases","ES","model",NA
"ES",2030,"eye",1047.22237680115,140.826835340153,3779.04740476664,254.624175050729,2066.11801989506,TRUE,"Southeast","Eye & Appendage Diseases","ES","model",NA
