"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"MA",2010,"eye",216.867999295064,169.337797440285,276.262985944001,181.571984335015,254.31753181192,FALSE,"Northeast","Eye & Appendage Diseases","MA","model",NA
"MA",2011,"eye",185.505186855751,140.357670433564,236.921047921886,154.929948853389,217.869800511532,FALSE,"Northeast","Eye & Appendage Diseases","MA","model",NA
"MA",2012,"eye",346.593625063709,279.409680838226,431.534283837329,301.631597044131,400.657225111649,FALSE,"Northeast","Eye & Appendage Diseases","MA","model",NA
"MA",2013,"eye",201.049728980599,160.766701378952,248.177982577021,170.822137447611,231.432075566379,FALSE,"Northeast","Eye & Appendage Diseases","MA","model",NA
"MA",2014,"eye",220.712793265518,173.217534504707,272.483647820588,188.021034967988,257.326450630328,FALSE,"Northeast","Eye & Appendage Diseases","MA","model",NA
"MA",2015,"eye",220.707361069571,175.634116449485,277.038311502058,189.45197089503,255.794927307976,FALSE,"Northeast","Eye & Appendage Diseases","MA","model",NA
"MA",2016,"eye",240.295712927442,191.260540377377,302.204505673241,205.05121394634,278.362120750856,FALSE,"Northeast","Eye & Appendage Diseases","MA","model",NA
"MA",2017,"eye",334.155879571305,265.326513284281,416.01277290828,288.736090999388,382.975794127668,FALSE,"Northeast","Eye & Appendage Diseases","MA","model",NA
"MA",2018,"eye",409.572561004569,330.237794657403,520.63178835677,352.537016638808,472.498708256014,FALSE,"Northeast","Eye & Appendage Diseases","MA","model",NA
"MA",2019,"eye",408.259264454502,321.882986599738,517.590980334984,348.476622211067,472.832324267047,FALSE,"Northeast","Eye & Appendage Diseases","MA","model",NA
"MA",2020,"eye",441.01038967361,346.47798090866,564.612431903457,373.155500518512,517.329348864401,FALSE,"Northeast","Eye & Appendage Diseases","MA","model",NA
"MA",2021,"eye",609.115685995268,480.897010082253,753.216189936101,521.324997611581,704.785093467093,FALSE,"Northeast","Eye & Appendage Diseases","MA","model",NA
"MA",2022,"eye",449.787248794627,352.511675149339,560.054790984626,381.596509781952,525.310080246263,FALSE,"Northeast","Eye & Appendage Diseases","MA","model",NA
"MA",2023,"eye",512.796063772327,398.62069377507,652.969523294124,437.872171333947,597.95816008261,FALSE,"Northeast","Eye & Appendage Diseases","MA","model",NA
"MA",2024,"eye",456.377443246503,355.811801483189,590.692044980631,389.211509342198,526.6038434571,FALSE,"Northeast","Eye & Appendage Diseases","MA","model",NA
"MA",2025,"eye",442.623957828647,203.840554871512,868.866440979731,246.127357810828,680.443560021562,TRUE,"Northeast","Eye & Appendage Diseases","MA","model",NA
"MA",2026,"eye",488.732459911053,139.863605443082,1332.05436006552,222.369361019638,820.422727815166,TRUE,"Northeast","Eye & Appendage Diseases","MA","model",NA
"MA",2027,"eye",521.910712107488,132.107810393702,1542.87413138507,190.047289643902,937.394907874842,TRUE,"Northeast","Eye & Appendage Diseases","MA","model",NA
"MA",2028,"eye",573.084186595465,101.65224592139,1833.31440993055,169.663388381745,1127.48520881623,TRUE,"Northeast","Eye & Appendage Diseases","MA","model",NA
"MA",2029,"eye",622.452496553283,87.509799513298,2334.54216538359,153.801036009463,1348.83509417768,TRUE,"Northeast","Eye & Appendage Diseases","MA","model",NA
"MA",2030,"eye",665.140733083134,81.5163166091636,2854.28991651102,146.357268090078,1369.48083623392,TRUE,"Northeast","Eye & Appendage Diseases","MA","model",NA
"MA",2031,"eye",732.803975231694,70.3536563231129,3049.50972241006,140.106448443896,1484.90766834018,TRUE,"Northeast","Eye & Appendage Diseases","MA","model",NA
"MA",2032,"eye",778.562186292354,61.7900030043565,3278.62788411802,128.586980611811,1686.56811279062,TRUE,"Northeast","Eye & Appendage Diseases","MA","model",NA
"MA",2033,"eye",851.86121980042,54.9344087455283,3707.08447345611,121.264314688142,1998.10259133177,TRUE,"Northeast","Eye & Appendage Diseases","MA","model",NA
"MA",2034,"eye",921.35186975517,48.3754195686743,4671.79359466548,114.444790845245,2218.77545457841,TRUE,"Northeast","Eye & Appendage Diseases","MA","model",NA
"MA",2035,"eye",1002.91672700444,45.7261618806939,5006.12338407978,106.758437904112,2479.90833219185,TRUE,"Northeast","Eye & Appendage Diseases","MA","model",NA
"MA",2036,"eye",1099.38165115086,46.5460659947704,5931.14883794841,101.551885400539,2647.04609548551,TRUE,"Northeast","Eye & Appendage Diseases","MA","model",NA
"MA",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",195.607499361399
"MA",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",153.525032746563
"MA",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",370.094487741547
"MA",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",166.216618162519
