"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"MG",2010,"eye",579.230054168236,443.553853120462,734.562267425554,491.923942887949,677.832262097984,FALSE,"Southeast","Eye & Appendage Diseases","MG","model",NA
"MG",2011,"eye",674.288167745249,538.903935048184,835.063212062799,580.230642617869,777.096261105655,FALSE,"Southeast","Eye & Appendage Diseases","MG","model",NA
"MG",2012,"eye",703.196785617647,563.692572210652,869.945953874695,603.303208202853,806.545820158051,FALSE,"Southeast","Eye & Appendage Diseases","MG","model",NA
"MG",2013,"eye",717.915520234333,568.404321325557,893.858183560629,608.120808909385,833.635687006315,FALSE,"Southeast","Eye & Appendage Diseases","MG","model",NA
"MG",2014,"eye",721.529754007034,582.608305806356,883.636680919932,618.583805649954,831.59208937162,FALSE,"Southeast","Eye & Appendage Diseases","MG","model",NA
"MG",2015,"eye",634.103511782683,509.036897492093,795.401166448625,542.920198010715,730.987496908163,FALSE,"Southeast","Eye & Appendage Diseases","MG","model",NA
"MG",2016,"eye",578.752185261255,466.539918373145,721.386282223168,498.613682364714,669.074052008751,FALSE,"Southeast","Eye & Appendage Diseases","MG","model",NA
"MG",2017,"eye",597.32299877708,478.760348187357,760.851834686201,510.352464298538,688.782239311349,FALSE,"Southeast","Eye & Appendage Diseases","MG","model",NA
"MG",2018,"eye",729.297840620796,589.054698287675,899.996262844903,631.92145792341,829.722849085514,FALSE,"Southeast","Eye & Appendage Diseases","MG","model",NA
"MG",2019,"eye",652.759549416802,520.498928672292,812.880826530243,558.942359487488,755.67488234808,FALSE,"Southeast","Eye & Appendage Diseases","MG","model",NA
"MG",2020,"eye",400.166151315771,312.652835540342,505.346661395134,337.939429185133,459.156291531747,FALSE,"Southeast","Eye & Appendage Diseases","MG","model",NA
"MG",2021,"eye",489.411833389048,389.98122488623,620.598564599401,419.030260244714,573.510127111966,FALSE,"Southeast","Eye & Appendage Diseases","MG","model",NA
"MG",2022,"eye",765.856633722273,619.483879610395,945.227173857369,668.448568506987,876.49127621949,FALSE,"Southeast","Eye & Appendage Diseases","MG","model",NA
"MG",2023,"eye",975.367516024834,779.734823356389,1222.31006655395,835.669622416305,1116.89388149603,FALSE,"Southeast","Eye & Appendage Diseases","MG","model",NA
"MG",2024,"eye",1220.14934031957,947.513200424992,1527.96707958769,1045.12788847631,1399.26130480425,FALSE,"Southeast","Eye & Appendage Diseases","MG","model",NA
"MG",2025,"eye",1136.84042818792,485.940882616756,2197.12743474718,635.028245717976,1685.61426537104,TRUE,"Southeast","Eye & Appendage Diseases","MG","model",NA
"MG",2026,"eye",1241.28273255418,385.727210986244,3050.2139594544,533.900334032088,2125.76230838641,TRUE,"Southeast","Eye & Appendage Diseases","MG","model",NA
"MG",2027,"eye",1411.48803407864,339.319289076808,3996.05276524267,505.972002395237,2580.90211870153,TRUE,"Southeast","Eye & Appendage Diseases","MG","model",NA
"MG",2028,"eye",1515.67895749941,272.469685293995,5093.27557049745,433.472632363227,2747.44892935842,TRUE,"Southeast","Eye & Appendage Diseases","MG","model",NA
"MG",2029,"eye",1654.25814769696,241.067308326941,6256.86713688243,425.386358894482,3286.84946140064,TRUE,"Southeast","Eye & Appendage Diseases","MG","model",NA
"MG",2030,"eye",1772.73195869459,199.749283187903,7122.72197497333,400.019724173628,3716.79571446697,TRUE,"Southeast","Eye & Appendage Diseases","MG","model",NA
"MG",2031,"eye",1859.61908178494,192.976856733528,7467.79887518681,359.714690695547,3912.02539980873,TRUE,"Southeast","Eye & Appendage Diseases","MG","model",NA
"MG",2032,"eye",2051.75306496399,192.199019168955,8686.68937524233,344.082063970448,4306.04644503181,TRUE,"Southeast","Eye & Appendage Diseases","MG","model",NA
"MG",2033,"eye",2212.90436958344,137.051948849738,9739.48537046479,323.461291647186,4866.05556260439,TRUE,"Southeast","Eye & Appendage Diseases","MG","model",NA
"MG",2034,"eye",2334.7465756445,146.850814531915,11170.962204437,300.178787419611,4954.59983469324,TRUE,"Southeast","Eye & Appendage Diseases","MG","model",NA
"MG",2035,"eye",2562.58755288741,107.931395569794,13886.3763911922,266.988695299921,6101.94828265014,TRUE,"Southeast","Eye & Appendage Diseases","MG","model",NA
"MG",2036,"eye",2946.37262859705,113.743273076419,15825.1735019716,263.002226647884,6814.10495234927,TRUE,"Southeast","Eye & Appendage Diseases","MG","model",NA
"MG",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",519.706064259317
"MG",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",684.914206903817
"MG",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",691.483696705124
"MG",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",677.170513459505
"MG",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",723.750085662071
"MG",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",600.64111233484
"MG",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",544.991724100957
"MG",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",561.725654873233
"MG",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",803.628241095736
"MG",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",686.730421715869
"MG",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",310.000211982182
"MG",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",423.149090426604
"MG",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",768.328051349129
"MG",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",947.857809413574
"MG",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",1240.24876107584
