"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"MS",2010,"eye",512.854705698697,392.180379688655,663.152965422807,431.253456258046,602.512111449775,FALSE,"Center-West","Eye & Appendage Diseases","MS","model",NA
"MS",2011,"eye",623.77891668275,491.035609989478,798.535795025331,526.294792019466,735.944028138976,FALSE,"Center-West","Eye & Appendage Diseases","MS","model",NA
"MS",2012,"eye",1063.35720490709,861.989058640002,1329.84576996155,921.27851498261,1228.5144345303,FALSE,"Center-West","Eye & Appendage Diseases","MS","model",NA
"MS",2013,"eye",1393.4733582758,1110.0590948001,1716.29550911961,1200.32929884443,1601.51287141742,FALSE,"Center-West","Eye & Appendage Diseases","MS","model",NA
"MS",2014,"eye",1366.15438093391,1077.34245457362,1711.86583981486,1168.74385389248,1576.46919272887,FALSE,"Center-West","Eye & Appendage Diseases","MS","model",NA
"MS",2015,"eye",1515.80308092852,1185.93187787183,1853.319426774,1283.01442554887,1747.21749464899,FALSE,"Center-West","Eye & Appendage Diseases","MS","model",NA
"MS",2016,"eye",1248.4670727248,999.583528319616,1563.04886772805,1068.40278685923,1449.71208499083,FALSE,"Center-West","Eye & Appendage Diseases","MS","model",NA
"MS",2017,"eye",1310.01581960414,1034.58247643271,1628.41359288433,1114.81401377682,1501.88553520716,FALSE,"Center-West","Eye & Appendage Diseases","MS","model",NA
"MS",2018,"eye",1522.41993821287,1208.53858683087,1914.57143156814,1297.99392538,1762.66782717969,FALSE,"Center-West","Eye & Appendage Diseases","MS","model",NA
"MS",2019,"eye",1677.91594703083,1312.44298190786,2136.89900956432,1436.09890544446,1931.8492946495,FALSE,"Center-West","Eye & Appendage Diseases","MS","model",NA
"MS",2020,"eye",1189.08920010308,941.834276576666,1530.76518071974,1014.29384940743,1405.72577166842,FALSE,"Center-West","Eye & Appendage Diseases","MS","model",NA
"MS",2021,"eye",1487.40567610859,1187.06988104995,1860.47838497405,1261.45958659759,1717.95970594402,FALSE,"Center-West","Eye & Appendage Diseases","MS","model",NA
"MS",2022,"eye",2246.41897838926,1798.27713728272,2859.13336446515,1920.47115667952,2592.91152582167,FALSE,"Center-West","Eye & Appendage Diseases","MS","model",NA
"MS",2023,"eye",3103.36683789425,2465.98541350335,3913.20481357524,2681.02844240716,3566.87141040613,FALSE,"Center-West","Eye & Appendage Diseases","MS","model",NA
"MS",2024,"eye",2512.0329675715,1971.48338956055,3164.95403453882,2140.78314529816,2914.65725446459,FALSE,"Center-West","Eye & Appendage Diseases","MS","model",NA
"MS",2025,"eye",2363.4792963578,1046.62206217781,4879.16660149721,1337.73475336558,3506.2790581697,TRUE,"Center-West","Eye & Appendage Diseases","MS","model",NA
"MS",2026,"eye",2550.85795493454,819.290179279923,6258.30437904476,1173.122157872,4244.01245799369,TRUE,"Center-West","Eye & Appendage Diseases","MS","model",NA
"MS",2027,"eye",2803.67175326284,688.463797510128,7841.73066434144,1075.69285255195,5125.29286730794,TRUE,"Center-West","Eye & Appendage Diseases","MS","model",NA
"MS",2028,"eye",3004.98082765397,630.083071101752,9061.59117538922,947.991972377862,5961.39705028836,TRUE,"Center-West","Eye & Appendage Diseases","MS","model",NA
"MS",2029,"eye",3214.08772792168,580.160316971582,10445.3043194165,827.765476828803,6919.04020259883,TRUE,"Center-West","Eye & Appendage Diseases","MS","model",NA
"MS",2030,"eye",3425.94028205531,467.958933978455,12682.328889596,824.222839121567,7230.47956244678,TRUE,"Center-West","Eye & Appendage Diseases","MS","model",NA
"MS",2031,"eye",3697.05784747973,398.69050874858,14556.674287705,767.129088867848,7799.73146704314,TRUE,"Center-West","Eye & Appendage Diseases","MS","model",NA
"MS",2032,"eye",3970.94960110898,412.467394664519,16648.4279526818,752.312532579294,8794.93473398972,TRUE,"Center-West","Eye & Appendage Diseases","MS","model",NA
"MS",2033,"eye",4211.24294872144,337.397358735591,17205.5170988981,695.973933866542,9456.30590587418,TRUE,"Center-West","Eye & Appendage Diseases","MS","model",NA
"MS",2034,"eye",4566.14603941116,293.164750589702,19847.4428775072,645.510551675443,10908.0419146936,TRUE,"Center-West","Eye & Appendage Diseases","MS","model",NA
"MS",2035,"eye",4895.6097155545,340.561464523687,22632.5682284513,635.461712030665,11531.7425540506,TRUE,"Center-West","Eye & Appendage Diseases","MS","model",NA
"MS",2036,"eye",5504.01952295709,239.043405341288,25817.8382675974,568.570896501749,12741.6277493582,TRUE,"Center-West","Eye & Appendage Diseases","MS","model",NA
"MS",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",451.459248605193
"MS",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",542.85690292039
"MS",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",1138.85176945127
"MS",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",1493.50959780069
"MS",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",1486.72342425393
"MS",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",1733.88328326986
"MS",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",1247.47525051556
"MS",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",1316.45645427266
"MS",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",1723.6494268432
"MS",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",2011.37624889966
"MS",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",1200.48508357811
"MS",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",1655.84366666164
"MS",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",2556.91338220452
"MS",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",3727.31534448184
"MS",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",2595.74371463341
