"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"MT",2010,"eye",115.265771114004,87.6725605449599,147.824447758715,94.9750170245748,135.639921580614,FALSE,"Center-West","Eye & Appendage Diseases","MT","model",NA
"MT",2011,"eye",89.6266215230869,65.9372537825665,121.669280772829,72.9699220421643,107.994887199871,FALSE,"Center-West","Eye & Appendage Diseases","MT","model",NA
"MT",2012,"eye",352.626633538244,286.641049212279,433.446981457271,304.824147462959,405.767857699333,FALSE,"Center-West","Eye & Appendage Diseases","MT","model",NA
"MT",2013,"eye",489.781558604371,380.041532527867,621.710718039873,413.418959489223,568.53121194674,FALSE,"Center-West","Eye & Appendage Diseases","MT","model",NA
"MT",2014,"eye",470.798401742782,368.890809669262,584.350818705179,400.297803774177,541.811835372703,FALSE,"Center-West","Eye & Appendage Diseases","MT","model",NA
"MT",2015,"eye",416.988050343862,325.271474905605,524.266353954199,358.655562301742,485.494074999671,FALSE,"Center-West","Eye & Appendage Diseases","MT","model",NA
"MT",2016,"eye",384.109744344063,298.270589353348,469.962692006853,324.559835353972,443.064457974213,FALSE,"Center-West","Eye & Appendage Diseases","MT","model",NA
"MT",2017,"eye",338.363854753158,271.844016726074,419.215877767014,288.214094306412,391.957559980554,FALSE,"Center-West","Eye & Appendage Diseases","MT","model",NA
"MT",2018,"eye",215.02214553638,169.577223892327,273.842850546027,182.496985197768,248.802761121148,FALSE,"Center-West","Eye & Appendage Diseases","MT","model",NA
"MT",2019,"eye",102.549031789935,78.0281719832613,134.789826087481,85.5512109851486,120.744032266192,FALSE,"Center-West","Eye & Appendage Diseases","MT","model",NA
"MT",2020,"eye",89.2429489290273,68.0906848178332,116.206800437934,74.7721416646817,104.140763558435,FALSE,"Center-West","Eye & Appendage Diseases","MT","model",NA
"MT",2021,"eye",109.780949910495,86.2373071724924,141.862246439815,92.9311711576275,127.176251072359,FALSE,"Center-West","Eye & Appendage Diseases","MT","model",NA
"MT",2022,"eye",107.950405823309,84.9352367517366,137.073790336945,92.654873059564,125.453972616527,FALSE,"Center-West","Eye & Appendage Diseases","MT","model",NA
"MT",2023,"eye",110.785673755941,81.1527877153339,145.86132309002,91.8174675338388,131.95047694824,FALSE,"Center-West","Eye & Appendage Diseases","MT","model",NA
"MT",2024,"eye",246.651511388598,192.032420549212,307.210826750167,208.408730467101,284.543479098747,FALSE,"Center-West","Eye & Appendage Diseases","MT","model",NA
"MT",2025,"eye",231.500313601371,110.271077322071,448.17948420188,136.783153560177,349.47464529632,TRUE,"Center-West","Eye & Appendage Diseases","MT","model",NA
"MT",2026,"eye",247.18217511925,89.5334520343707,628.743606312901,122.545272653432,402.235837049368,TRUE,"Center-West","Eye & Appendage Diseases","MT","model",NA
"MT",2027,"eye",270.062564811779,68.9406871516211,743.93609738223,107.526475134191,479.380075222752,TRUE,"Center-West","Eye & Appendage Diseases","MT","model",NA
"MT",2028,"eye",298.653568365244,59.6761816711382,893.563448807822,100.678368934674,555.401913201597,TRUE,"Center-West","Eye & Appendage Diseases","MT","model",NA
"MT",2029,"eye",314.857309374285,54.6186112542611,1088.54655715724,96.1780770996512,628.356334073351,TRUE,"Center-West","Eye & Appendage Diseases","MT","model",NA
