"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"PA",2010,"eye",149.110433445343,116.119469089688,190.333164929657,127.466827075892,174.067016706174,FALSE,"North","Eye & Appendage Diseases","PA","model",NA
"PA",2011,"eye",213.402589262678,168.925813563531,269.422375848679,182.295315350928,248.928504260584,FALSE,"North","Eye & Appendage Diseases","PA","model",NA
"PA",2012,"eye",230.518763573388,185.159677950594,290.725378988926,199.2392305129,265.536373466439,FALSE,"North","Eye & Appendage Diseases","PA","model",NA
"PA",2013,"eye",195.814941155621,153.98149227534,245.543031598797,167.565919157486,227.752147314617,FALSE,"North","Eye & Appendage Diseases","PA","model",NA
"PA",2014,"eye",154.524487214185,122.735862577578,189.296154975351,131.640227840263,177.462029850867,FALSE,"North","Eye & Appendage Diseases","PA","model",NA
"PA",2015,"eye",128.505484943612,100.585803929978,157.850495883591,109.263767679929,148.177960228055,FALSE,"North","Eye & Appendage Diseases","PA","model",NA
"PA",2016,"eye",150.027719074423,117.87574390906,186.657862246631,127.494404384695,174.148254314611,FALSE,"North","Eye & Appendage Diseases","PA","model",NA
"PA",2017,"eye",210.51269533552,167.721089659426,262.411984423931,180.651280176515,241.324115476476,FALSE,"North","Eye & Appendage Diseases","PA","model",NA
"PA",2018,"eye",226.659911982017,181.047298771636,291.59606313891,193.184009906887,264.937923433628,FALSE,"North","Eye & Appendage Diseases","PA","model",NA
"PA",2019,"eye",275.002492264481,217.132302010488,348.720020761379,236.021883401103,317.219825097873,FALSE,"North","Eye & Appendage Diseases","PA","model",NA
"PA",2020,"eye",282.352407500988,227.411207064684,354.887338022582,242.528478110375,323.762509106404,FALSE,"North","Eye & Appendage Diseases","PA","model",NA
"PA",2021,"eye",322.169129770486,258.138283810017,397.489263683611,276.536019688577,368.258275245913,FALSE,"North","Eye & Appendage Diseases","PA","model",NA
"PA",2022,"eye",554.936236868929,438.1810093614,695.319476085028,480.633834804532,639.985380383028,FALSE,"North","Eye & Appendage Diseases","PA","model",NA
"PA",2023,"eye",577.126482178443,456.336433440338,733.649068982915,492.06894943908,675.418609946428,FALSE,"North","Eye & Appendage Diseases","PA","model",NA
"PA",2024,"eye",757.59149852818,606.793829935582,945.100765672212,658.823023455552,873.750761473562,FALSE,"North","Eye & Appendage Diseases","PA","model",NA
"PA",2025,"eye",707.84779936002,338.768656920149,1300.36149376348,423.481535889029,1067.59816714611,TRUE,"North","Eye & Appendage Diseases","PA","model",NA
"PA",2026,"eye",755.93604608978,250.153889697679,1781.61047439211,359.695288559706,1224.5245710787,TRUE,"North","Eye & Appendage Diseases","PA","model",NA
"PA",2027,"eye",807.533912911027,221.499233753405,1959.49355745919,320.028860722782,1459.97423105313,TRUE,"North","Eye & Appendage Diseases","PA","model",NA
"PA",2028,"eye",863.380756069011,183.017948170502,2634.05778506864,284.492789815984,1632.90212903114,TRUE,"North","Eye & Appendage Diseases","PA","model",NA
"PA",2029,"eye",941.51800263317,145.093126446452,3145.60826954232,249.74744970991,1863.47670324323,TRUE,"North","Eye & Appendage Diseases","PA","model",NA
"PA",2030,"eye",1031.71921646884,141.289193533927,3866.36695413245,242.993093299487,2206.86011601115,TRUE,"North","Eye & Appendage Diseases","PA","model",NA
"PA",2031,"eye",1137.72146591312,132.727596282305,4833.39719577598,218.900756443005,2501.13164884881,TRUE,"North","Eye & Appendage Diseases","PA","model",NA
"PA",2032,"eye",1229.63995483839,115.093199038557,5187.44220061574,213.017485054314,2832.13174002262,TRUE,"North","Eye & Appendage Diseases","PA","model",NA
"PA",2033,"eye",1304.68974287773,88.8141676229775,5846.51976392977,199.406242632613,3015.43975310332,TRUE,"North","Eye & Appendage Diseases","PA","model",NA
"PA",2034,"eye",1428.60755730586,78.1296073656887,7505.97549079681,190.721389400094,3013.66844546075,TRUE,"North","Eye & Appendage Diseases","PA","model",NA
"PA",2035,"eye",1616.28869043063,82.3439352116092,6896.29157359581,183.610422951515,3264.79727702867,TRUE,"North","Eye & Appendage Diseases","PA","model",NA
"PA",2036,"eye",1843.05148824003,74.6847308729896,9513.61366045021,169.314832335714,3652.06026650513,TRUE,"North","Eye & Appendage Diseases","PA","model",NA
"PA",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",128.291956027654
"PA",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",214.971285823305
"PA",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",236.336829960733
"PA",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",192.574365559512
"PA",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",139.651933219294
"PA",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",110.803411639019
"PA",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",140.169106497244
"PA",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",227.653651585336
"PA",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",221.751270038394
"PA",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",287.005604380848
"PA",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",281.726204273278
"PA",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",316.412500481913
"PA",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",657.532359644459
"PA",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",595.613957092017
"PA",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",859.19885014476
