"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"PI",2010,"eye",721.032371823747,568.147957607123,940.096538018115,614.250165538226,845.253455030628,FALSE,"Northeast","Eye & Appendage Diseases","PI","model",NA
"PI",2011,"eye",687.003880862796,550.873120362937,841.069948519193,593.680762156038,793.122487813759,FALSE,"Northeast","Eye & Appendage Diseases","PI","model",NA
"PI",2012,"eye",670.603211312361,527.087037551366,860.049829112744,575.52076570654,767.859396647536,FALSE,"Northeast","Eye & Appendage Diseases","PI","model",NA
"PI",2013,"eye",557.125796510677,441.043133303079,688.141654357314,475.904404945338,638.2221059358,FALSE,"Northeast","Eye & Appendage Diseases","PI","model",NA
"PI",2014,"eye",420.889437998514,334.256443819218,526.788817493743,356.50665695134,492.244018264441,FALSE,"Northeast","Eye & Appendage Diseases","PI","model",NA
"PI",2015,"eye",367.073074177239,293.765200809068,460.007181276876,314.970313439729,420.926825968572,FALSE,"Northeast","Eye & Appendage Diseases","PI","model",NA
"PI",2016,"eye",275.506110825624,221.883694133312,340.518616461751,237.819761680248,316.857320784478,FALSE,"Northeast","Eye & Appendage Diseases","PI","model",NA
"PI",2017,"eye",280.782802839405,218.584642212857,348.355461784989,240.321379383412,326.055615346086,FALSE,"Northeast","Eye & Appendage Diseases","PI","model",NA
"PI",2018,"eye",285.282256030628,227.170521625485,361.409411427918,242.459781777096,330.167948979297,FALSE,"Northeast","Eye & Appendage Diseases","PI","model",NA
"PI",2019,"eye",248.936849282023,196.577208093963,319.417914528932,211.38595755503,286.650873741115,FALSE,"Northeast","Eye & Appendage Diseases","PI","model",NA
"PI",2020,"eye",208.881182940883,161.735118658849,265.313479083981,174.970497175403,243.825566552687,FALSE,"Northeast","Eye & Appendage Diseases","PI","model",NA
"PI",2021,"eye",265.167347661512,210.531954440594,341.936907307526,226.045189435843,306.794966497782,FALSE,"Northeast","Eye & Appendage Diseases","PI","model",NA
"PI",2022,"eye",280.774686457225,215.714604018936,362.880753541129,236.251956218235,326.18517489312,FALSE,"Northeast","Eye & Appendage Diseases","PI","model",NA
"PI",2023,"eye",305.483080178079,239.290582702248,374.12029212778,259.866838402801,351.572232974804,FALSE,"Northeast","Eye & Appendage Diseases","PI","model",NA
"PI",2024,"eye",301.288189942536,231.420250288748,384.151979194984,254.067530147534,354.393299547857,FALSE,"Northeast","Eye & Appendage Diseases","PI","model",NA
"PI",2025,"eye",286.631971894556,122.965697968672,530.046860406627,166.111514226815,434.221529947022,TRUE,"Northeast","Eye & Appendage Diseases","PI","model",NA
"PI",2026,"eye",301.780926050969,101.393713564718,669.568195454008,137.193515142408,506.402600938597,TRUE,"Northeast","Eye & Appendage Diseases","PI","model",NA
"PI",2027,"eye",320.101792107115,80.8373804338443,861.938482054945,117.09708726105,578.749349450754,TRUE,"Northeast","Eye & Appendage Diseases","PI","model",NA
"PI",2028,"eye",338.121259342015,72.2287727831275,1063.42281257857,107.430216905161,658.627265744026,TRUE,"Northeast","Eye & Appendage Diseases","PI","model",NA
"PI",2029,"eye",351.647432200198,54.9135901373391,1256.07103135311,101.913453471027,707.694068897982,TRUE,"Northeast","Eye & Appendage Diseases","PI","model",NA
"PI",2030,"eye",387.249831895598,44.9907377579351,1426.0665260298,92.762447596561,818.841818766655,TRUE,"Northeast","Eye & Appendage Diseases","PI","model",NA
"PI",2031,"eye",412.396567259163,38.2106858001348,1968.66783115435,83.9633789202848,847.23508734832,TRUE,"Northeast","Eye & Appendage Diseases","PI","model",NA
"PI",2032,"eye",432.058884314713,37.183502648727,1946.5411507895,72.0536025586614,916.687301770643,TRUE,"Northeast","Eye & Appendage Diseases","PI","model",NA
"PI",2033,"eye",463.414510436097,32.5653729821085,2122.16150480323,66.7758906559219,1052.62446019031,TRUE,"Northeast","Eye & Appendage Diseases","PI","model",NA
"PI",2034,"eye",532.629561925361,27.8225205123559,2633.13951613394,68.7845774649413,1162.5670224016,TRUE,"Northeast","Eye & Appendage Diseases","PI","model",NA
"PI",2035,"eye",545.764195074476,29.9035582049788,2862.69713252939,61.4650365759935,1300.28551221606,TRUE,"Northeast","Eye & Appendage Diseases","PI","model",NA
"PI",2036,"eye",562.774793362236,21.5317648942439,3090.34357635706,62.1097444030792,1273.46945289946,TRUE,"Northeast","Eye & Appendage Diseases","PI","model",NA
"PI",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",723.406854044102
