"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"RJ",2010,"eye",526.990299213653,412.625760364443,671.199665796295,443.205958645646,616.676217607348,FALSE,"Southeast","Eye & Appendage Diseases","RJ","model",NA
"RJ",2011,"eye",559.258709565079,451.636798640773,690.268800767015,484.408633920733,647.620354319972,FALSE,"Southeast","Eye & Appendage Diseases","RJ","model",NA
"RJ",2012,"eye",569.168420476171,453.473313524909,744.402634655247,488.085474350019,656.356768950748,FALSE,"Southeast","Eye & Appendage Diseases","RJ","model",NA
"RJ",2013,"eye",484.498843356415,390.279626750836,602.866430691474,420.621199830088,560.618844481179,FALSE,"Southeast","Eye & Appendage Diseases","RJ","model",NA
"RJ",2014,"eye",411.269562112019,330.615371458277,523.330980285344,352.689017635335,472.445986862788,FALSE,"Southeast","Eye & Appendage Diseases","RJ","model",NA
"RJ",2015,"eye",461.857640062589,366.948998686261,595.794597223606,392.95089884745,529.655203789628,FALSE,"Southeast","Eye & Appendage Diseases","RJ","model",NA
"RJ",2016,"eye",425.14890687008,334.994391641157,529.120740483435,362.727720169221,494.137470163464,FALSE,"Southeast","Eye & Appendage Diseases","RJ","model",NA
"RJ",2017,"eye",503.094476990561,402.928304035822,634.095008506686,430.444791210926,579.254585827061,FALSE,"Southeast","Eye & Appendage Diseases","RJ","model",NA
"RJ",2018,"eye",647.204160076067,517.606861631403,801.296630060533,553.934626725359,745.664760635797,FALSE,"Southeast","Eye & Appendage Diseases","RJ","model",NA
"RJ",2019,"eye",685.656777580385,542.371808864807,862.405466928817,589.653553125099,791.826922398255,FALSE,"Southeast","Eye & Appendage Diseases","RJ","model",NA
"RJ",2020,"eye",425.880436401974,339.532206799218,548.534634593174,363.774189457451,496.725688725366,FALSE,"Southeast","Eye & Appendage Diseases","RJ","model",NA
"RJ",2021,"eye",601.886752075725,477.189868452337,741.842891623464,522.927087217668,686.009704588349,FALSE,"Southeast","Eye & Appendage Diseases","RJ","model",NA
"RJ",2022,"eye",824.987864056936,666.747609261774,1027.53761938261,715.70303649215,947.807790108554,FALSE,"Southeast","Eye & Appendage Diseases","RJ","model",NA
"RJ",2023,"eye",998.792359076699,790.479521545923,1235.41523605464,863.015827620786,1150.30897052437,FALSE,"Southeast","Eye & Appendage Diseases","RJ","model",NA
"RJ",2024,"eye",1433.00461204042,1155.33647615559,1794.92761914986,1228.95056254286,1648.70497491308,FALSE,"Southeast","Eye & Appendage Diseases","RJ","model",NA
"RJ",2025,"eye",1338.09135944097,566.388849137311,2673.62614469817,744.942181609574,1984.02266034848,TRUE,"Southeast","Eye & Appendage Diseases","RJ","model",NA
"RJ",2026,"eye",1445.70132077624,437.604015734026,3605.99529655119,651.102117588481,2407.78146935445,TRUE,"Southeast","Eye & Appendage Diseases","RJ","model",NA
"RJ",2027,"eye",1559.03439189282,387.213599325789,4224.65570985879,587.931029239228,3114.32474475212,TRUE,"Southeast","Eye & Appendage Diseases","RJ","model",NA
"RJ",2028,"eye",1753.80197707139,299.335031431975,5691.81606932367,517.674793546042,3595.21689060944,TRUE,"Southeast","Eye & Appendage Diseases","RJ","model",NA
"RJ",2029,"eye",1963.6972378741,271.172660690317,7120.87836936856,476.043685467092,4208.53031125349,TRUE,"Southeast","Eye & Appendage Diseases","RJ","model",NA
"RJ",2030,"eye",2120.60019139683,256.086857647765,8168.25901931067,467.363542472705,4774.35625218638,TRUE,"Southeast","Eye & Appendage Diseases","RJ","model",NA
"RJ",2031,"eye",2289.76222587078,249.266220296483,9516.3323941716,439.657756367998,5324.23763353526,TRUE,"Southeast","Eye & Appendage Diseases","RJ","model",NA
"RJ",2032,"eye",2461.30261048013,233.125820511963,9860.92479022998,410.036314982573,5388.07451963317,TRUE,"Southeast","Eye & Appendage Diseases","RJ","model",NA
"RJ",2033,"eye",2680.6641255877,213.865922544382,12003.8161061744,366.050175631209,6409.75415064694,TRUE,"Southeast","Eye & Appendage Diseases","RJ","model",NA
"RJ",2034,"eye",2833.06046630869,169.703591807558,13626.9131999854,359.450913977786,6718.8692508031,TRUE,"Southeast","Eye & Appendage Diseases","RJ","model",NA
"RJ",2035,"eye",3071.02991687963,146.369030656999,14306.0661999719,342.829538369199,7271.26026414963,TRUE,"Southeast","Eye & Appendage Diseases","RJ","model",NA
"RJ",2036,"eye",3276.41952803522,130.784308738806,17607.1893242705,331.09130986756,7468.10322244331,TRUE,"Southeast","Eye & Appendage Diseases","RJ","model",NA
"RJ",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",552.189430220412
"RJ",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",633.547695237179
"RJ",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",661.638238684382
"RJ",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",529.329490544891
"RJ",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",430.857052631248
"RJ",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",517.223036066486
"RJ",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",464.538890984138
"RJ",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",552.38144522216
"RJ",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",759.929263691588
"RJ",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",845.365322654137
"RJ",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",403.762872258479
"RJ",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",704.082746253323
"RJ",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",955.16676505593
"RJ",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",1088.13862571039
"RJ",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",1654.95222731513
