"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"RN",2010,"eye",331.462610765302,260.434810790988,422.400080077414,278.966508911915,386.13595598293,FALSE,"Northeast","Eye & Appendage Diseases","RN","model",NA
"RN",2011,"eye",316.623040962871,247.653194731136,397.813526240648,270.919739083322,366.93290268093,FALSE,"Northeast","Eye & Appendage Diseases","RN","model",NA
"RN",2012,"eye",248.974969533595,194.495791257697,318.476503230393,210.927826432748,291.53809297589,FALSE,"Northeast","Eye & Appendage Diseases","RN","model",NA
"RN",2013,"eye",264.674706840569,209.297148188955,329.455728468594,226.934530282308,308.423077746427,FALSE,"Northeast","Eye & Appendage Diseases","RN","model",NA
"RN",2014,"eye",233.18289873492,184.371960588912,298.363212339767,196.120442066068,273.108376926753,FALSE,"Northeast","Eye & Appendage Diseases","RN","model",NA
"RN",2015,"eye",162.659667190168,127.706779506074,212.44264202223,136.66522854722,189.339616586392,FALSE,"Northeast","Eye & Appendage Diseases","RN","model",NA
"RN",2016,"eye",196.543470568337,155.316800569082,248.235944365789,165.144641210422,228.844962987196,FALSE,"Northeast","Eye & Appendage Diseases","RN","model",NA
"RN",2017,"eye",222.108896038844,174.044771893585,277.850425413427,188.81513039414,256.535691235766,FALSE,"Northeast","Eye & Appendage Diseases","RN","model",NA
"RN",2018,"eye",264.669067298806,208.268193923243,334.00793251185,225.639501705068,305.042024062328,FALSE,"Northeast","Eye & Appendage Diseases","RN","model",NA
"RN",2019,"eye",377.900290186023,308.483448319033,457.800922327115,325.480410578597,430.537425657731,FALSE,"Northeast","Eye & Appendage Diseases","RN","model",NA
"RN",2020,"eye",202.316585927903,159.385390678128,261.026059808154,170.582570630307,238.85778093784,FALSE,"Northeast","Eye & Appendage Diseases","RN","model",NA
"RN",2021,"eye",269.918663067295,218.374054331749,337.113058102832,232.59170992654,311.845766813584,FALSE,"Northeast","Eye & Appendage Diseases","RN","model",NA
"RN",2022,"eye",346.490172297803,270.426079174586,448.004780225322,295.08476958529,404.261608021255,FALSE,"Northeast","Eye & Appendage Diseases","RN","model",NA
"RN",2023,"eye",866.952848556657,701.186489651589,1084.89745586524,744.820008746937,1014.00463302043,FALSE,"Northeast","Eye & Appendage Diseases","RN","model",NA
"RN",2024,"eye",835.983110603157,662.277818214718,1087.15536489373,706.604612669117,962.061675805374,FALSE,"Northeast","Eye & Appendage Diseases","RN","model",NA
"RN",2025,"eye",785.699441479377,371.625342443848,1558.62793201592,457.360937060366,1181.76759265359,TRUE,"Northeast","Eye & Appendage Diseases","RN","model",NA
"RN",2026,"eye",847.591493549231,282.904840943874,2130.02053098273,395.338921700769,1414.555173752,TRUE,"Northeast","Eye & Appendage Diseases","RN","model",NA
