"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"RR",2010,"eye",54.0394754843609,32.0024255521439,84.5648572539358,37.8104443070608,71.2199798975242,FALSE,"North","Eye & Appendage Diseases","RR","model",NA
"RR",2011,"eye",45.1642990310361,29.1490753514272,67.1186059913281,33.3804968871595,58.1514241283449,FALSE,"North","Eye & Appendage Diseases","RR","model",NA
"RR",2012,"eye",61.8467984893163,40.6982219476951,85.9156660669084,46.9269693447729,78.3569190123153,FALSE,"North","Eye & Appendage Diseases","RR","model",NA
"RR",2013,"eye",41.1674321343981,26.08607271193,61.9438513101089,31.0788953987941,53.8132779757605,FALSE,"North","Eye & Appendage Diseases","RR","model",NA
"RR",2014,"eye",29.5755530164899,18.350900750815,44.5039051071277,21.1454420616598,38.517308592343,FALSE,"North","Eye & Appendage Diseases","RR","model",NA
"RR",2015,"eye",36.8233285991817,22.5028122781007,55.6745772921193,26.182186671403,48.2017014761959,FALSE,"North","Eye & Appendage Diseases","RR","model",NA
"RR",2016,"eye",53.7737265463246,35.4168722950478,79.809882710305,40.6200362777327,69.8564348746054,FALSE,"North","Eye & Appendage Diseases","RR","model",NA
"RR",2017,"eye",64.1304242736699,43.4446979214719,89.7503363457265,49.9334883795342,80.0676991377299,FALSE,"North","Eye & Appendage Diseases","RR","model",NA
"RR",2018,"eye",46.4213522254038,29.002420831246,68.9544156131891,34.081587386734,59.4194271864858,FALSE,"North","Eye & Appendage Diseases","RR","model",NA
"RR",2019,"eye",49.2754057859866,32.3105895356117,70.6800410775479,37.2618307511632,62.3342416476475,FALSE,"North","Eye & Appendage Diseases","RR","model",NA
"RR",2020,"eye",58.2870897854134,38.5475587383876,83.1408633504884,45.4179985357053,73.0805028652414,FALSE,"North","Eye & Appendage Diseases","RR","model",NA
"RR",2021,"eye",55.929632707416,39.4190952277378,78.7236349669532,42.8659172517939,69.7727120087929,FALSE,"North","Eye & Appendage Diseases","RR","model",NA
"RR",2022,"eye",70.791573664641,48.4648251773064,95.540792770686,56.685139954248,86.569163436705,FALSE,"North","Eye & Appendage Diseases","RR","model",NA
"RR",2023,"eye",69.6115198825336,46.9039906092072,96.4261829504739,54.9105606646935,85.1411384969662,FALSE,"North","Eye & Appendage Diseases","RR","model",NA
"RR",2024,"eye",86.3167393207786,55.9419392245691,128.26711795555,66.0032621122702,109.638240364177,FALSE,"North","Eye & Appendage Diseases","RR","model",NA
"RR",2025,"eye",78.6645648205073,34.8783192435188,159.713729529334,44.6141955743399,121.42112571972,TRUE,"North","Eye & Appendage Diseases","RR","model",NA
"RR",2026,"eye",87.5294868723813,28.5425632710866,224.209689225387,38.0989836001783,144.773854833595,TRUE,"North","Eye & Appendage Diseases","RR","model",NA
"RR",2027,"eye",96.7175349690823,22.4112069050705,260.364015486352,30.9513732984388,178.502977617828,TRUE,"North","Eye & Appendage Diseases","RR","model",NA
"RR",2028,"eye",105.4954028523,18.1815774679794,304.289003606287,31.0115671141465,208.549594439374,TRUE,"North","Eye & Appendage Diseases","RR","model",NA
"RR",2029,"eye",114.944106204749,16.6993175134039,437.960679890429,29.1510650731799,222.461361483646,TRUE,"North","Eye & Appendage Diseases","RR","model",NA
"RR",2030,"eye",126.448142313625,14.5514015698824,574.749951319377,26.2758733729954,247.663331273478,TRUE,"North","Eye & Appendage Diseases","RR","model",NA
"RR",2031,"eye",133.706994468908,12.6679402505311,592.785152921319,26.0282590611535,277.314532293656,TRUE,"North","Eye & Appendage Diseases","RR","model",NA
"RR",2032,"eye",147.277136231483,12.6972696255677,705.245999285377,24.2520947974222,321.854277736729,TRUE,"North","Eye & Appendage Diseases","RR","model",NA
"RR",2033,"eye",155.535343202754,11.3616806951848,742.424015628951,22.107036630756,341.087117986071,TRUE,"North","Eye & Appendage Diseases","RR","model",NA
"RR",2034,"eye",171.823279190059,10.0384319352896,957.00239401091,20.3419002495558,372.643438311196,TRUE,"North","Eye & Appendage Diseases","RR","model",NA
"RR",2035,"eye",189.852687328781,9.29804866092578,972.660983638014,19.6939404380805,442.514374747669,TRUE,"North","Eye & Appendage Diseases","RR","model",NA
"RR",2036,"eye",194.76462218892,8.33233150733462,1034.29836729042,20.2456731780778,458.300563501724,TRUE,"North","Eye & Appendage Diseases","RR","model",NA
"RR",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",46.5648706854737
"RR",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",26.2562686841483
"RR",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",90.7082134473112
"RR",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",35.1166751531965
"RR",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",10.1993635597139
"RR",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",32.8730017324072
"RR",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",57.0306064254483
"RR",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",77.7360859880705
"RR",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",33.232804100928
"RR",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",43.9237896412202
"RR",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",58.639705433213
"RR",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",44.4074641935605
"RR",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",72.3170378941278
"RR",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",57.3317368649683
"RR",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",77.7594898977463
