"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"RS",2010,"eye",469.773159686822,372.534270894081,597.421761205564,398.25866094861,546.27771397692,FALSE,"South","Eye & Appendage Diseases","RS","model",NA
"RS",2011,"eye",446.357844814306,360.982305483932,555.027956348279,387.270994498907,509.590531963746,FALSE,"South","Eye & Appendage Diseases","RS","model",NA
"RS",2012,"eye",415.173397151491,332.744895461278,524.415867922562,352.569831600792,480.809490624579,FALSE,"South","Eye & Appendage Diseases","RS","model",NA
"RS",2013,"eye",449.947133581672,358.322586315037,551.209576335157,388.649895172589,518.403766663563,FALSE,"South","Eye & Appendage Diseases","RS","model",NA
"RS",2014,"eye",502.486793441891,398.400118852467,624.324047382297,433.732230957833,579.972644917135,FALSE,"South","Eye & Appendage Diseases","RS","model",NA
"RS",2015,"eye",573.538912693909,458.843345088053,715.014567509081,493.24382016178,657.046413567243,FALSE,"South","Eye & Appendage Diseases","RS","model",NA
"RS",2016,"eye",637.368739124812,505.769675113291,796.80200774105,544.167927959156,732.818147290467,FALSE,"South","Eye & Appendage Diseases","RS","model",NA
"RS",2017,"eye",726.293592753891,589.04327106841,891.960814888312,627.054375457088,822.201039573649,FALSE,"South","Eye & Appendage Diseases","RS","model",NA
"RS",2018,"eye",705.692776070262,561.984078087992,885.063700753821,604.065897447617,819.791827872284,FALSE,"South","Eye & Appendage Diseases","RS","model",NA
"RS",2019,"eye",733.674907465392,580.720809127951,915.799594780251,627.632096756638,839.725482943251,FALSE,"South","Eye & Appendage Diseases","RS","model",NA
"RS",2020,"eye",547.604135586258,439.405942895248,683.733406519428,469.181042247403,633.559349779576,FALSE,"South","Eye & Appendage Diseases","RS","model",NA
"RS",2021,"eye",668.65150241393,526.559070381422,852.897159667132,571.574265849947,765.251377048771,FALSE,"South","Eye & Appendage Diseases","RS","model",NA
"RS",2022,"eye",755.817696860652,591.121078128965,945.337098655602,646.195239240926,883.719660446172,FALSE,"South","Eye & Appendage Diseases","RS","model",NA
"RS",2023,"eye",724.653180385098,573.089756096113,899.776880537554,621.742001447065,840.799467772839,FALSE,"South","Eye & Appendage Diseases","RS","model",NA
"RS",2024,"eye",761.37699494878,601.355228281654,970.649538180827,648.671384856284,889.940500060688,FALSE,"South","Eye & Appendage Diseases","RS","model",NA
"RS",2025,"eye",747.908660859794,351.224151061498,1446.08343448733,435.532567121287,1138.65087911554,TRUE,"South","Eye & Appendage Diseases","RS","model",NA
