"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"TO",2010,"eye",591.270276154667,459.520902336789,765.726061133299,501.79691567225,688.998094637588,FALSE,"North","Eye & Appendage Diseases","TO","model",NA
"TO",2011,"eye",709.560811946025,568.747023400587,903.348674127276,607.78353122798,809.624275707031,FALSE,"North","Eye & Appendage Diseases","TO","model",NA
"TO",2012,"eye",1119.34032879708,884.006993098041,1410.47576967211,945.274914298095,1307.32637130849,FALSE,"North","Eye & Appendage Diseases","TO","model",NA
"TO",2013,"eye",1210.00461729814,954.092842356333,1524.48892410265,1031.09687614133,1383.77842086131,FALSE,"North","Eye & Appendage Diseases","TO","model",NA
"TO",2014,"eye",910.169852038426,721.024156335255,1131.66978213112,777.042528941801,1052.28315158182,FALSE,"North","Eye & Appendage Diseases","TO","model",NA
"TO",2015,"eye",428.82691868431,329.314903841109,542.659088190019,360.266826632944,501.059669958038,FALSE,"North","Eye & Appendage Diseases","TO","model",NA
"TO",2016,"eye",156.371756863351,116.553087869184,204.865748703282,127.839567204858,187.045522944509,FALSE,"North","Eye & Appendage Diseases","TO","model",NA
"TO",2017,"eye",190.339652669676,146.492851423173,242.755564055606,159.191432607196,223.6190547379,FALSE,"North","Eye & Appendage Diseases","TO","model",NA
"TO",2018,"eye",83.1071572544248,60.396970668281,111.542063375157,67.7308326326063,101.259326977704,FALSE,"North","Eye & Appendage Diseases","TO","model",NA
"TO",2019,"eye",77.3136067563392,54.3944470964546,104.947834138671,62.9182388415755,93.9068794312813,FALSE,"North","Eye & Appendage Diseases","TO","model",NA
"TO",2020,"eye",76.6975553016942,58.8449942972532,98.7963637869243,63.5409860148536,90.6901595121281,FALSE,"North","Eye & Appendage Diseases","TO","model",NA
"TO",2021,"eye",64.8412440409042,47.9050108271193,86.903638203796,52.9568462698876,78.2908883443616,FALSE,"North","Eye & Appendage Diseases","TO","model",NA
"TO",2022,"eye",85.6254186908697,62.2527646231867,110.09456935223,70.1299307977666,102.358724412639,FALSE,"North","Eye & Appendage Diseases","TO","model",NA
"TO",2023,"eye",126.181069320981,95.1714572854713,165.459297860155,105.137069943779,149.509681246618,FALSE,"North","Eye & Appendage Diseases","TO","model",NA
"TO",2024,"eye",202.188969315559,152.345398275645,256.805569033321,167.205083816703,237.218288071576,FALSE,"North","Eye & Appendage Diseases","TO","model",NA
"TO",2025,"eye",192.449349670788,97.9323917006281,383.252484659766,112.629256367093,276.090322910909,TRUE,"North","Eye & Appendage Diseases","TO","model",NA
"TO",2026,"eye",205.927432924947,63.5101869243396,452.144516990278,95.5365552185242,337.569143431895,TRUE,"North","Eye & Appendage Diseases","TO","model",NA
"TO",2027,"eye",225.221555084317,55.8108428253996,636.115374649014,80.5245482522751,417.770096817348,TRUE,"North","Eye & Appendage Diseases","TO","model",NA
"TO",2028,"eye",247.739014740466,50.5030693323019,798.610220106976,78.4835752503097,466.07082096937,TRUE,"North","Eye & Appendage Diseases","TO","model",NA
"TO",2029,"eye",266.22554216286,40.7922751626148,991.633516547461,70.7119954462952,523.147161905012,TRUE,"North","Eye & Appendage Diseases","TO","model",NA
"TO",2030,"eye",293.766210957288,32.4813242610525,1220.92025102676,61.3430638245333,626.383493476425,TRUE,"North","Eye & Appendage Diseases","TO","model",NA
"TO",2031,"eye",315.946149021793,29.1540994821869,1302.68713030763,56.1936257226185,711.29443425095,TRUE,"North","Eye & Appendage Diseases","TO","model",NA
"TO",2032,"eye",339.932583127958,25.8922177666363,1492.4496956414,51.9926129935017,770.155061832591,TRUE,"North","Eye & Appendage Diseases","TO","model",NA
"TO",2033,"eye",360.864179809781,24.0577865544392,1658.81271785595,49.6785451146678,830.185568672253,TRUE,"North","Eye & Appendage Diseases","TO","model",NA
"TO",2034,"eye",379.566942109528,22.7247257228327,1946.9724470768,45.8777957091729,882.057961645332,TRUE,"North","Eye & Appendage Diseases","TO","model",NA
"TO",2035,"eye",410.852888794438,20.9414783196061,1983.9756936123,42.3205469048597,986.182188510719,TRUE,"North","Eye & Appendage Diseases","TO","model",NA
"TO",2036,"eye",440.529353200753,18.2002477456951,2608.83569575645,40.2357168470861,1065.77150841786,TRUE,"North","Eye & Appendage Diseases","TO","model",NA
"TO",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",575.132350436424
"TO",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",724.295207238397
"TO",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",1277.91192083842
"TO",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",1422.37772875941
"TO",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",1073.67240566338
"TO",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",530.561814085326
"TO",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",120.840153863026
"TO",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",226.508216883605
"TO",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",57.3755267121975
"TO",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",64.7873878011065
"TO",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",67.2789046994315
"TO",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",48.6434891148721
"TO",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",71.2738440329808
"TO",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",100.240488463917
"TO",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",180.687397708674
