"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"AL",2010,"glaucoma",21.4839603761277,14.4313748641159,30.3617333398635,16.6025857612802,26.3586871722265,FALSE,"Northeast","Glaucoma","AL","model",NA
"AL",2011,"glaucoma",6.08129343920635,3.7878300388065,9.31072991064819,4.26703501891531,8.14714325374558,FALSE,"Northeast","Glaucoma","AL","model",NA
"AL",2012,"glaucoma",5.44920853787445,3.3695182214099,8.3941338445724,3.85970131991164,7.18541174665148,FALSE,"Northeast","Glaucoma","AL","model",NA
"AL",2013,"glaucoma",10.0295458357593,6.55280862706075,14.4710292229601,7.68498089124934,12.6611318606963,FALSE,"Northeast","Glaucoma","AL","model",NA
"AL",2014,"glaucoma",16.0361117492974,10.8895580433331,21.644634387051,12.583021484153,19.6599916667873,FALSE,"Northeast","Glaucoma","AL","model",NA
"AL",2015,"glaucoma",17.0890107578906,12.2659919887111,22.8946208870708,13.6421061179651,20.8992965778545,FALSE,"Northeast","Glaucoma","AL","model",NA
"AL",2016,"glaucoma",22.4970063501669,16.753698427081,29.8983295907221,18.2676034887576,26.9662184141507,FALSE,"Northeast","Glaucoma","AL","model",NA
"AL",2017,"glaucoma",18.7053256211659,13.1583266982837,25.5228942846218,14.8747612867002,22.6763503437831,FALSE,"Northeast","Glaucoma","AL","model",NA
"AL",2018,"glaucoma",24.0011333154011,17.2934219286479,32.0789922632198,19.3540558718941,28.5184457291577,FALSE,"Northeast","Glaucoma","AL","model",NA
"AL",2019,"glaucoma",17.5153595159615,12.7375031520275,24.4887840571722,14.1665447792002,20.9690376694397,FALSE,"Northeast","Glaucoma","AL","model",NA
"AL",2020,"glaucoma",3.93864033839414,2.35393507935629,5.90023021451521,2.76876384663895,5.24438487266366,FALSE,"Northeast","Glaucoma","AL","model",NA
"AL",2021,"glaucoma",2.32368390124921,1.09108834942614,4.19494689219797,1.49489911015955,3.2691025240557,FALSE,"Northeast","Glaucoma","AL","model",NA
"AL",2022,"glaucoma",1.33311335790579,0.577694127079094,2.49481167006239,0.78093965342257,1.9250662882433,FALSE,"Northeast","Glaucoma","AL","model",NA
"AL",2023,"glaucoma",1.5509528681092,0.70454751927135,2.87642839429069,0.910571019651401,2.3198373008053,FALSE,"Northeast","Glaucoma","AL","model",NA
"AL",2024,"glaucoma",1.59974739877677,0.680010251373182,3.15242932502073,0.870010139902204,2.41773763823829,FALSE,"Northeast","Glaucoma","AL","model",NA
"AL",2025,"glaucoma",1.6205004167044,0.399194303519468,4.36386300949702,0.623774295622879,3.11216869581134,TRUE,"Northeast","Glaucoma","AL","model",NA
"AL",2026,"glaucoma",1.81733518764127,0.304739547567814,5.84112266127099,0.552366938166596,3.41802727792723,TRUE,"Northeast","Glaucoma","AL","model",NA
"AL",2027,"glaucoma",2.17516855208049,0.256851573685656,8.81996317086349,0.479707135480819,4.63704223746318,TRUE,"Northeast","Glaucoma","AL","model",NA
"AL",2028,"glaucoma",2.40380767476302,0.182390249142967,9.95230301387439,0.405224740694094,5.66017842472377,TRUE,"Northeast","Glaucoma","AL","model",NA
"AL",2029,"glaucoma",2.63759748424752,0.181370023610593,11.1374364574777,0.390230907516085,6.33152197889022,TRUE,"Northeast","Glaucoma","AL","model",NA
"AL",2030,"glaucoma",3.09864103533518,0.140046605988408,16.1505361958698,0.3559060379455,6.92192583666767,TRUE,"Northeast","Glaucoma","AL","model",NA
"AL",2031,"glaucoma",3.52416847606923,0.113245242170075,20.9073996446267,0.291345674845518,7.92920288641625,TRUE,"Northeast","Glaucoma","AL","model",NA
"AL",2032,"glaucoma",4.00363501591143,0.112010870810572,20.0314708393048,0.297137389246675,9.21346043272486,TRUE,"Northeast","Glaucoma","AL","model",NA
"AL",2033,"glaucoma",4.58892306574393,0.0950716109035849,26.0559588999802,0.272629103022423,10.5112562057161,TRUE,"Northeast","Glaucoma","AL","model",NA
"AL",2034,"glaucoma",5.53070583273191,0.0826711782757124,38.4208937179347,0.230573904766231,12.6975210696545,TRUE,"Northeast","Glaucoma","AL","model",NA
"AL",2035,"glaucoma",6.16916833643471,0.0751702931805914,34.181533561156,0.200118892800241,15.8014216316419,TRUE,"Northeast","Glaucoma","AL","model",NA
"AL",2036,"glaucoma",6.7504681678281,0.0706853146277477,45.5549562681918,0.218380344803447,16.4992759311507,TRUE,"Northeast","Glaucoma","AL","model",NA
"AL",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",24.4394906810142
"AL",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",3.07185373061276
"AL",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",3.52887324085669
"AL",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",10.9203578303433
"AL",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",16.6141691498334
"AL",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",16.3511456622575
"AL",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",25.0787852404251
"AL",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",16.755767009198
"AL",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",26.5553661069284
"AL",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",21.6311900128796
"AL",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",1.7758456577022
"AL",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",2.18880261115396
"AL",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",0
"AL",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",1.70629537679268
"AL",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",1.68707606941643
