"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"AP",2010,"glaucoma",6.34675634151191,1.37636224162773,18.4674873530622,2.29986644029226,11.8209175009912,FALSE,"North","Glaucoma","AP","model",NA
"AP",2011,"glaucoma",4.26812381720442,0.964978602181816,11.0068019311046,1.48192971074185,7.47637865070302,FALSE,"North","Glaucoma","AP","model",NA
"AP",2012,"glaucoma",3.1909329640869,0.796837662042449,8.29099903919718,1.18550727391389,5.64750597859959,FALSE,"North","Glaucoma","AP","model",NA
"AP",2013,"glaucoma",2.89714085660731,0.773236020174916,7.65712852820247,1.07312556267925,5.47405386957064,FALSE,"North","Glaucoma","AP","model",NA
"AP",2014,"glaucoma",1.96584318314895,0.462872577812726,5.85488314742039,0.738219933667391,3.77915366527453,FALSE,"North","Glaucoma","AP","model",NA
"AP",2015,"glaucoma",1.52677123592063,0.320668899069062,4.65337927962243,0.55865662106277,2.73438251705413,FALSE,"North","Glaucoma","AP","model",NA
"AP",2016,"glaucoma",1.18882743746538,0.275037740524267,3.14666390050026,0.413768914154755,2.26785031831262,FALSE,"North","Glaucoma","AP","model",NA
"AP",2017,"glaucoma",1.08192319407094,0.19876335336487,3.74267622384308,0.327971825633293,1.99241032646552,FALSE,"North","Glaucoma","AP","model",NA
"AP",2018,"glaucoma",0.991854962493131,0.167281518766192,2.97622005614611,0.295488779529774,1.95245777431697,FALSE,"North","Glaucoma","AP","model",NA
"AP",2019,"glaucoma",0.969692451409832,0.141023939967867,2.76969275159927,0.269671866626173,1.83363876178342,FALSE,"North","Glaucoma","AP","model",NA
"AP",2020,"glaucoma",0.758951295669768,0.10251784648541,2.05990843163327,0.196574883002044,1.55938555348064,FALSE,"North","Glaucoma","AP","model",NA
"AP",2021,"glaucoma",0.682872515253627,0.0717235454443643,2.14520511477547,0.154987316316224,1.38126065520306,FALSE,"North","Glaucoma","AP","model",NA
"AP",2022,"glaucoma",0.640423153686797,0.056591424625342,2.07646553446866,0.133507422085922,1.34255220851542,FALSE,"North","Glaucoma","AP","model",NA
"AP",2023,"glaucoma",0.635888597411719,0.0507694581058102,2.17926998414375,0.111967917477807,1.36941214276849,FALSE,"North","Glaucoma","AP","model",NA
"AP",2024,"glaucoma",0.664587709070179,0.0515035901419603,2.45284751129285,0.0997753732947166,1.51223235886472,FALSE,"North","Glaucoma","AP","model",NA
"AP",2025,"glaucoma",0.681598719319758,0.0346183559041019,2.60434465391501,0.0729977519724577,1.6165117866733,TRUE,"North","Glaucoma","AP","model",NA
"AP",2026,"glaucoma",0.77338392695385,0.0311574888539092,4.23066566535955,0.0715078575417491,1.74508681213762,TRUE,"North","Glaucoma","AP","model",NA
"AP",2027,"glaucoma",0.903336818754115,0.0281209011098067,5.34348133716614,0.0606336401244312,2.10209712973864,TRUE,"North","Glaucoma","AP","model",NA
"AP",2028,"glaucoma",1.087910660159,0.0244140618372639,6.59598088257778,0.0524247903964323,2.4019224701716,TRUE,"North","Glaucoma","AP","model",NA
"AP",2029,"glaucoma",1.18746063145861,0.020186100830262,7.56532541262171,0.0522353210543421,2.33004849601611,TRUE,"North","Glaucoma","AP","model",NA
"AP",2030,"glaucoma",1.23462383180079,0.016984946411127,8.33015074248337,0.046046478681083,2.79052414052273,TRUE,"North","Glaucoma","AP","model",NA
"AP",2031,"glaucoma",1.36394106693046,0.0132754871320314,7.75001345227933,0.054577187591444,3.03461151541446,TRUE,"North","Glaucoma","AP","model",NA
"AP",2032,"glaucoma",1.52863854234924,0.011254071586671,8.72909178908549,0.0530029518712907,3.91990622862508,TRUE,"North","Glaucoma","AP","model",NA
"AP",2033,"glaucoma",1.73790301311521,0.00942061077291074,11.0671091505257,0.0479036392236789,4.61168971218196,TRUE,"North","Glaucoma","AP","model",NA
"AP",2034,"glaucoma",2.13689523751921,0.0108709083071723,14.1634153177417,0.0436312266690766,4.55038803796422,TRUE,"North","Glaucoma","AP","model",NA
"AP",2035,"glaucoma",2.52916438292298,0.00875692354010983,15.8559479157661,0.0388595029279948,5.2916770949064,TRUE,"North","Glaucoma","AP","model",NA
"AP",2036,"glaucoma",2.91647237630546,0.00972457453310071,15.0837332971857,0.0473755482001765,5.72009066855628,TRUE,"North","Glaucoma","AP","model",NA
"AP",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",0
"AP",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",0
"AP",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",0
"AP",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",4.71881746434344
"AP",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",0
"AP",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",0
"AP",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",0
"AP",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",0
"AP",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",0
"AP",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",1.92550602298284
"AP",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",0
"AP",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",0
"AP",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",0
"AP",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",0
"AP",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",0
