"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"BA",2010,"glaucoma",55.5422700552282,45.0886956261407,66.4809577089612,48.3778203271208,63.1566921877647,FALSE,"Northeast","Glaucoma","BA","model",NA
"BA",2011,"glaucoma",42.2739615860638,34.7363887005654,51.6951532768251,36.8433149227243,48.0855762585273,FALSE,"Northeast","Glaucoma","BA","model",NA
"BA",2012,"glaucoma",40.2789028202385,33.1022990732045,49.4386605898123,35.0763122315583,46.0305616099563,FALSE,"Northeast","Glaucoma","BA","model",NA
"BA",2013,"glaucoma",38.856569666796,31.1274700251834,47.0305097060588,34.2157448557184,43.594011693175,FALSE,"Northeast","Glaucoma","BA","model",NA
"BA",2014,"glaucoma",32.6234204321633,26.6641418957296,40.216425758097,28.4072575200084,37.0178808111159,FALSE,"Northeast","Glaucoma","BA","model",NA
"BA",2015,"glaucoma",30.121399739464,23.9578565133411,37.3674869353943,26.0381426034713,34.3215235494581,FALSE,"Northeast","Glaucoma","BA","model",NA
"BA",2016,"glaucoma",51.5148916255672,42.2267514205938,62.5029890461476,45.1434093343713,58.3710164565419,FALSE,"Northeast","Glaucoma","BA","model",NA
"BA",2017,"glaucoma",68.1460709104074,57.0157526548061,81.3189280080122,60.8536228559806,76.7653019781152,FALSE,"Northeast","Glaucoma","BA","model",NA
"BA",2018,"glaucoma",82.7732054630729,68.4252471532018,99.1858512397381,72.9608906210099,94.0688303760126,FALSE,"Northeast","Glaucoma","BA","model",NA
"BA",2019,"glaucoma",84.7403338843299,70.1688252656843,100.17898386941,74.5085400806551,94.4714861916602,FALSE,"Northeast","Glaucoma","BA","model",NA
"BA",2020,"glaucoma",64.3220040336789,53.191567748947,77.9499841206264,55.9854836231347,72.7711955117594,FALSE,"Northeast","Glaucoma","BA","model",NA
"BA",2021,"glaucoma",72.9898374689714,61.2261307263283,87.1092144574072,64.5923679255307,82.5330954196368,FALSE,"Northeast","Glaucoma","BA","model",NA
"BA",2022,"glaucoma",83.3927195018113,69.1019759604819,98.7760463603921,73.3558224408257,93.449486772501,FALSE,"Northeast","Glaucoma","BA","model",NA
"BA",2023,"glaucoma",91.8041273150322,74.8830335838657,109.15746629897,81.3018334701852,102.542230388269,FALSE,"Northeast","Glaucoma","BA","model",NA
"BA",2024,"glaucoma",112.065514409822,93.9614562964596,135.491783900813,98.6273717767499,127.065742293774,FALSE,"Northeast","Glaucoma","BA","model",NA
"BA",2025,"glaucoma",113.898625473131,43.3091203902691,256.556773417339,56.6240664220084,183.265467001051,TRUE,"Northeast","Glaucoma","BA","model",NA
"BA",2026,"glaucoma",129.389218052925,30.0071830800125,408.658786555101,45.5988159287653,247.876403933526,TRUE,"Northeast","Glaucoma","BA","model",NA
"BA",2027,"glaucoma",139.319200282784,24.3424362820906,453.958836874312,38.610662770675,285.947314847583,TRUE,"Northeast","Glaucoma","BA","model",NA
"BA",2028,"glaucoma",157.9006809732,19.1838065209232,616.691126430899,32.1210346922351,370.08362778791,TRUE,"Northeast","Glaucoma","BA","model",NA
"BA",2029,"glaucoma",193.570773946064,13.9995850089679,1106.13660319683,28.6161844054936,414.220926797266,TRUE,"Northeast","Glaucoma","BA","model",NA
"BA",2030,"glaucoma",217.687184256207,12.8515049967955,1283.54772759801,27.9437736457644,466.480347556843,TRUE,"Northeast","Glaucoma","BA","model",NA
"BA",2031,"glaucoma",255.767681843342,11.0676712365872,1646.81025306194,25.467081561384,532.668713454738,TRUE,"Northeast","Glaucoma","BA","model",NA
"BA",2032,"glaucoma",310.297346382922,9.10673787275701,1786.6353283853,24.7946051799673,594.248754522582,TRUE,"Northeast","Glaucoma","BA","model",NA
"BA",2033,"glaucoma",337.876151520962,8.87502801786579,1867.25323507681,21.5876507574574,757.217363700478,TRUE,"Northeast","Glaucoma","BA","model",NA
"BA",2034,"glaucoma",386.045524777619,6.90531875274129,2294.20523915155,20.7946809418162,804.918045685514,TRUE,"Northeast","Glaucoma","BA","model",NA
"BA",2035,"glaucoma",487.980040792502,7.37321826664019,2477.70715999483,19.0502363200256,845.18902204427,TRUE,"Northeast","Glaucoma","BA","model",NA
"BA",2036,"glaucoma",498.104418407772,5.48222496458423,2725.57932571497,18.4929143006546,950.744809912853,TRUE,"Northeast","Glaucoma","BA","model",NA
"BA",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",58.1048643202636
"BA",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",41.5455278108326
"BA",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",43.2614911888658
"BA",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",41.1982869399459
"BA",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",34.078499465336
"BA",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",29.5776244564354
"BA",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",54.280441044021
"BA",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",73.4137976072999
"BA",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",94.0023584988027
"BA",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",96.3928751292584
"BA",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",68.6699539210402
"BA",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",75.3536560769162
"BA",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",91.0559398128592
"BA",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",105.651441824951
"BA",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",131.334257625134
