"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"MA",2010,"glaucoma",0.813564516374787,0.325225875386317,1.58955654059631,0.452994697095622,1.26577431340317,FALSE,"Northeast","Glaucoma","MA","model",NA
"MA",2011,"glaucoma",0.712700898067854,0.320487570366325,1.35500657745084,0.415531461352606,1.0664058791117,FALSE,"Northeast","Glaucoma","MA","model",NA
"MA",2012,"glaucoma",1.12308098886167,0.544626895782107,1.98668871582721,0.670551061903179,1.63819514117485,FALSE,"Northeast","Glaucoma","MA","model",NA
"MA",2013,"glaucoma",0.865827194574885,0.400718218096318,1.54719621737661,0.517924592223768,1.29209214797121,FALSE,"Northeast","Glaucoma","MA","model",NA
"MA",2014,"glaucoma",0.741740534441601,0.354126426947208,1.33442764128024,0.439920998062973,1.08319184336332,FALSE,"Northeast","Glaucoma","MA","model",NA
"MA",2015,"glaucoma",1.24607327523856,0.620398986172178,2.15905298750183,0.807246957286078,1.79682857964232,FALSE,"Northeast","Glaucoma","MA","model",NA
"MA",2016,"glaucoma",2.82194717322883,1.57918481479017,4.45220450415564,1.93283944252227,3.87453795339476,FALSE,"Northeast","Glaucoma","MA","model",NA
"MA",2017,"glaucoma",3.87145649959229,2.48821075832647,5.87487920682862,2.7991832962134,4.98694659678853,FALSE,"Northeast","Glaucoma","MA","model",NA
"MA",2018,"glaucoma",3.08384607868422,1.84216759271098,4.7744855116219,2.21274859834315,4.04657301220984,FALSE,"Northeast","Glaucoma","MA","model",NA
"MA",2019,"glaucoma",2.83741729171751,1.70336937322397,4.24788309303699,2.03852738919217,3.73417161804802,FALSE,"Northeast","Glaucoma","MA","model",NA
"MA",2020,"glaucoma",4.15496739888333,2.66718611672318,6.09468782073009,3.05838177560268,5.37528171291295,FALSE,"Northeast","Glaucoma","MA","model",NA
"MA",2021,"glaucoma",5.85381646984367,3.95172991187304,8.21738773294802,4.45725368535675,7.38118737833327,FALSE,"Northeast","Glaucoma","MA","model",NA
"MA",2022,"glaucoma",3.02183033382125,1.86407006378187,4.55506533304102,2.16133856399595,3.97459766962763,FALSE,"Northeast","Glaucoma","MA","model",NA
"MA",2023,"glaucoma",4.01344758071002,2.60375390120625,5.55481130012788,3.00275411234925,5.07751077126709,FALSE,"Northeast","Glaucoma","MA","model",NA
"MA",2024,"glaucoma",3.20883941680963,1.8949730583976,5.02244140367131,2.23804474494035,4.25170732679374,FALSE,"Northeast","Glaucoma","MA","model",NA
"MA",2025,"glaucoma",3.2584941118854,0.95974787766995,7.12391543410769,1.45290287480597,5.33186682604542,TRUE,"Northeast","Glaucoma","MA","model",NA
"MA",2026,"glaucoma",3.65744467571221,0.758899062689341,9.86229539839299,1.18358978869325,6.66036203393704,TRUE,"Northeast","Glaucoma","MA","model",NA
"MA",2027,"glaucoma",4.28175622086409,0.536775933024455,14.7080893009354,0.981977370127258,8.77114683071203,TRUE,"Northeast","Glaucoma","MA","model",NA
"MA",2028,"glaucoma",5.04449958578638,0.44019156943293,22.004906339991,0.766910903416198,10.684726778902,TRUE,"Northeast","Glaucoma","MA","model",NA
"MA",2029,"glaucoma",5.75066660033837,0.334241614340429,29.9013958313836,0.702985492366752,13.5475455598049,TRUE,"Northeast","Glaucoma","MA","model",NA
"MA",2030,"glaucoma",6.43020649828851,0.294199689027937,40.2265784994993,0.652928256654143,12.9322065807204,TRUE,"Northeast","Glaucoma","MA","model",NA
"MA",2031,"glaucoma",6.66523038162014,0.253970414814083,37.1331667943984,0.55344769212537,14.8650429193672,TRUE,"Northeast","Glaucoma","MA","model",NA
"MA",2032,"glaucoma",7.53480299662631,0.17523939465284,44.0905632380234,0.483007685169345,16.9642970350254,TRUE,"Northeast","Glaucoma","MA","model",NA
"MA",2033,"glaucoma",8.34979698545658,0.176977793127093,49.3010342869951,0.44027853218797,17.8482048030348,TRUE,"Northeast","Glaucoma","MA","model",NA
"MA",2034,"glaucoma",9.70519916723649,0.175105672679906,62.43846619567,0.439193183907865,21.3422307314543,TRUE,"Northeast","Glaucoma","MA","model",NA
"MA",2035,"glaucoma",12.0819170238433,0.177757483362118,89.0589848297215,0.428503473626098,21.3115200289103,TRUE,"Northeast","Glaucoma","MA","model",NA
"MA",2036,"glaucoma",12.2385218269814,0.11678755178534,78.4720792284856,0.362414398939611,25.1656327153298,TRUE,"Northeast","Glaucoma","MA","model",NA
