"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"MS",2010,"glaucoma",6.52499310468257,3.67426033850751,10.7955589540579,4.34731890594632,8.985533367587,FALSE,"Center-West","Glaucoma","MS","model",NA
"MS",2011,"glaucoma",8.95408758839565,5.56609737374286,13.6545688238952,6.47219478153711,11.5368762158979,FALSE,"Center-West","Glaucoma","MS","model",NA
"MS",2012,"glaucoma",8.27804858381012,5.06130148365269,12.0045820050229,5.97983453826902,10.5031902296388,FALSE,"Center-West","Glaucoma","MS","model",NA
"MS",2013,"glaucoma",9.75552748875111,6.25744824281842,13.9672003263087,7.33467082130865,12.3982048005311,FALSE,"Center-West","Glaucoma","MS","model",NA
"MS",2014,"glaucoma",4.8824847671592,2.60532007434182,7.76057732931853,3.29548268789087,6.55356622630933,FALSE,"Center-West","Glaucoma","MS","model",NA
"MS",2015,"glaucoma",5.83633255470799,3.22237734370059,9.17364826125767,4.09902871509776,7.97321042824691,FALSE,"Center-West","Glaucoma","MS","model",NA
"MS",2016,"glaucoma",6.67080550972694,4.26094790536894,9.69933541202596,4.86507823929616,8.6739144593521,FALSE,"Center-West","Glaucoma","MS","model",NA
"MS",2017,"glaucoma",15.8979576682022,10.6630938414601,22.9469154307542,12.281375386585,19.7976015549278,FALSE,"Center-West","Glaucoma","MS","model",NA
"MS",2018,"glaucoma",35.7981072464967,26.9244443672611,47.6016139762663,29.5405644028794,42.427353235375,FALSE,"Center-West","Glaucoma","MS","model",NA
"MS",2019,"glaucoma",48.8947059333122,36.7110309804457,63.9038638964196,40.0282313265102,58.0791839126418,FALSE,"Center-West","Glaucoma","MS","model",NA
"MS",2020,"glaucoma",33.3098664153678,24.911417320516,43.7918784561354,27.3682992119877,39.5238316355457,FALSE,"Center-West","Glaucoma","MS","model",NA
"MS",2021,"glaucoma",41.6488380341577,30.7678326517804,53.7933460837375,34.4697960908606,49.4994869477474,FALSE,"Center-West","Glaucoma","MS","model",NA
"MS",2022,"glaucoma",68.9884498026746,54.061774694644,87.9684883743839,58.0262414205537,80.6775368074432,FALSE,"Center-West","Glaucoma","MS","model",NA
"MS",2023,"glaucoma",80.9008919637237,63.3703430458551,99.7456602434429,69.6111562441067,92.4893750227148,FALSE,"Center-West","Glaucoma","MS","model",NA
"MS",2024,"glaucoma",55.8650320323108,42.7793997875144,70.9967985814357,46.7618134278306,65.5659947819291,FALSE,"Center-West","Glaucoma","MS","model",NA
"MS",2025,"glaucoma",55.3632029673568,19.3709009831123,126.427263867941,26.922300902843,91.2970862302236,TRUE,"Center-West","Glaucoma","MS","model",NA
"MS",2026,"glaucoma",62.7277662160965,13.4282347186786,180.825980706475,22.5906164498227,113.888917740401,TRUE,"Center-West","Glaucoma","MS","model",NA
"MS",2027,"glaucoma",74.6472860350026,11.7520236024795,252.866105400782,18.8425160815517,144.388013520843,TRUE,"Center-West","Glaucoma","MS","model",NA
"MS",2028,"glaucoma",87.0038852781634,9.27855267627215,341.539452545998,16.6475000652235,179.679914022303,TRUE,"Center-West","Glaucoma","MS","model",NA
"MS",2029,"glaucoma",104.793074392023,7.31167254729952,505.695063109451,15.2483659442754,229.606955385936,TRUE,"Center-West","Glaucoma","MS","model",NA
"MS",2030,"glaucoma",130.016619560697,5.58925950691843,570.698646981608,12.5593595945351,245.445475633622,TRUE,"Center-West","Glaucoma","MS","model",NA
"MS",2031,"glaucoma",139.742248683151,5.30708166434101,534.679929373026,13.0235485477403,261.23611844543,TRUE,"Center-West","Glaucoma","MS","model",NA
"MS",2032,"glaucoma",155.671190538688,3.98065456665507,687.746162054551,11.664964086203,326.675648335244,TRUE,"Center-West","Glaucoma","MS","model",NA
"MS",2033,"glaucoma",170.79647372221,3.84418642519893,792.33790995464,9.90930321365898,360.696143395233,TRUE,"Center-West","Glaucoma","MS","model",NA
"MS",2034,"glaucoma",184.622341761002,2.99076304368582,1003.32052374461,8.34577367642326,440.990577295506,TRUE,"Center-West","Glaucoma","MS","model",NA
"MS",2035,"glaucoma",213.589973868313,2.27972546601098,1480.61304659561,9.01667384677611,429.162142214865,TRUE,"Center-West","Glaucoma","MS","model",NA
"MS",2036,"glaucoma",273.672361383988,2.03244760133256,1803.88571557873,8.40426954786657,548.673390891027,TRUE,"Center-West","Glaucoma","MS","model",NA
"MS",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",3.06281715471637
"MS",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",10.1973119885598
"MS",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",7.63935655462669
"MS",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",12.6715044934883
"MS",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",2.25945809157132
"MS",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",5.54310512554302
"MS",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",4.35418935607526
"MS",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",14.9718849389254
"MS",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",38.8990721519965
"MS",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",50.6852333227481
"MS",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",30.0503266572373
"MS",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",39.6759628954413
"MS",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",76.3405701550011
"MS",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",83.6774220698956
"MS",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",55.0744060056224
