"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"MT",2010,"glaucoma",2.52875739209203,1.10920392103724,4.62282552812638,1.51346416572147,3.71951718300233,FALSE,"Center-West","Glaucoma","MT","model",NA
"MT",2011,"glaucoma",2.38147936769835,1.13481435149477,4.14225248044811,1.46275776941107,3.38849528869639,FALSE,"Center-West","Glaucoma","MT","model",NA
"MT",2012,"glaucoma",4.09027439724855,2.27757198182367,6.84725572191043,2.69558861892838,5.8597736978571,FALSE,"Center-West","Glaucoma","MT","model",NA
"MT",2013,"glaucoma",4.16870626761265,2.30857757857881,6.41889732627549,2.84597147665579,5.64366780388622,FALSE,"Center-West","Glaucoma","MT","model",NA
"MT",2014,"glaucoma",2.33594621115653,1.22125480632979,4.0091851635735,1.52825318135479,3.26622958827167,FALSE,"Center-West","Glaucoma","MT","model",NA
"MT",2015,"glaucoma",1.70745630190596,0.823569164179473,3.32626149216241,1.05306092548097,2.44989888752042,FALSE,"Center-West","Glaucoma","MT","model",NA
"MT",2016,"glaucoma",1.39698084949866,0.604268027625432,2.60474676591229,0.841830971764659,2.05951405508515,FALSE,"Center-West","Glaucoma","MT","model",NA
"MT",2017,"glaucoma",1.67408920503758,0.802003501281318,2.88265244600901,1.01817405264789,2.42399677961051,FALSE,"Center-West","Glaucoma","MT","model",NA
"MT",2018,"glaucoma",2.43073139450923,1.31556037411077,4.01819425021282,1.55436473554327,3.33908462739211,FALSE,"Center-West","Glaucoma","MT","model",NA
"MT",2019,"glaucoma",3.50483488032498,1.98310609861356,5.38108212312715,2.34460044492309,4.83189233472585,FALSE,"Center-West","Glaucoma","MT","model",NA
"MT",2020,"glaucoma",8.66478274407501,5.7895295876527,12.497522581981,6.55173200736285,11.0705801722292,FALSE,"Center-West","Glaucoma","MT","model",NA
"MT",2021,"glaucoma",3.97734630733905,2.32099680521789,6.32374247291015,2.72794142558669,5.3647907872489,FALSE,"Center-West","Glaucoma","MT","model",NA
"MT",2022,"glaucoma",2.23823094661254,1.22030907028248,3.70324540351262,1.42368963224843,3.11656968483038,FALSE,"Center-West","Glaucoma","MT","model",NA
"MT",2023,"glaucoma",1.69380073325289,0.855257272442181,3.01953354185542,1.04739092071093,2.46338921923864,FALSE,"Center-West","Glaucoma","MT","model",NA
"MT",2024,"glaucoma",1.69196184018061,0.644895339870331,3.36715375718916,0.90300324294557,2.56488573711898,FALSE,"Center-West","Glaucoma","MT","model",NA
"MT",2025,"glaucoma",1.6653994886393,0.370204624723022,4.5800612319924,0.595568724761386,2.84468455011113,TRUE,"Center-West","Glaucoma","MT","model",NA
"MT",2026,"glaucoma",1.92115759485639,0.29957300570345,6.41564246389545,0.487854138469836,3.6673694927639,TRUE,"Center-West","Glaucoma","MT","model",NA
"MT",2027,"glaucoma",2.14959170226714,0.271029131675933,8.54564460005193,0.434415013413556,4.30652033449768,TRUE,"Center-West","Glaucoma","MT","model",NA
"MT",2028,"glaucoma",2.4778965801631,0.174802608108347,10.9282428479661,0.382265589175862,5.58896675826658,TRUE,"Center-West","Glaucoma","MT","model",NA
"MT",2029,"glaucoma",2.93778165011638,0.152201916070144,13.7132278054024,0.342986096903702,6.9122425407813,TRUE,"Center-West","Glaucoma","MT","model",NA
"MT",2030,"glaucoma",3.9148687174714,0.118056749574975,16.4611148324122,0.349885183140893,8.19958788131443,TRUE,"Center-West","Glaucoma","MT","model",NA
"MT",2031,"glaucoma",4.10811831262948,0.130028343294305,23.3562859856434,0.332262687815324,9.16278047789178,TRUE,"Center-West","Glaucoma","MT","model",NA
"MT",2032,"glaucoma",4.38008430506916,0.103492128104355,24.4003051864971,0.288932674339839,9.88821502723895,TRUE,"Center-West","Glaucoma","MT","model",NA
"MT",2033,"glaucoma",4.90535695222238,0.0921417122258618,26.9863241657613,0.258877991691967,10.1229000386691,TRUE,"Center-West","Glaucoma","MT","model",NA
"MT",2034,"glaucoma",5.33502135992475,0.0871666212654856,27.9246261974087,0.240709659506149,12.7733670852455,TRUE,"Center-West","Glaucoma","MT","model",NA
"MT",2035,"glaucoma",6.76303461393163,0.0791015891593537,45.6196894228043,0.225955837277515,14.3269679493369,TRUE,"Center-West","Glaucoma","MT","model",NA
"MT",2036,"glaucoma",7.83341907378085,0.0722297115044724,42.3448908272008,0.224533145219185,15.8744233648772,TRUE,"Center-West","Glaucoma","MT","model",NA
"MT",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",1.00154287680171
"MT",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",0.9786909616911
