"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"PI",2010,"glaucoma",59.8297799539864,44.6708002278115,76.6070477763014,49.2404692624721,71.3359307106284,FALSE,"Northeast","Glaucoma","PI","model",NA
"PI",2011,"glaucoma",77.2850231744603,60.5205319504302,98.069719337029,65.0097613349298,90.5046098050228,FALSE,"Northeast","Glaucoma","PI","model",NA
"PI",2012,"glaucoma",70.5503874768058,54.2510781715713,89.6508016672672,59.61761686717,81.4280018168362,FALSE,"Northeast","Glaucoma","PI","model",NA
"PI",2013,"glaucoma",53.664131074579,41.4244124046569,68.4054166833011,45.1211046892827,62.7045013026174,FALSE,"Northeast","Glaucoma","PI","model",NA
"PI",2014,"glaucoma",63.4710970723295,49.6036333414384,81.6831298533042,54.4000873690812,73.950211537774,FALSE,"Northeast","Glaucoma","PI","model",NA
"PI",2015,"glaucoma",58.8312553464447,45.5052807095482,73.825199102824,49.5719818403217,68.1879932633693,FALSE,"Northeast","Glaucoma","PI","model",NA
"PI",2016,"glaucoma",25.51803185783,18.2984857404654,33.7863505380244,20.0740011107292,31.1964673264763,FALSE,"Northeast","Glaucoma","PI","model",NA
"PI",2017,"glaucoma",30.8966247963245,22.7049616083056,40.6427203347549,25.1651990133093,36.883025924051,FALSE,"Northeast","Glaucoma","PI","model",NA
"PI",2018,"glaucoma",58.1135538469893,45.385072547286,73.7745447106483,48.6838160247763,67.2499936552107,FALSE,"Northeast","Glaucoma","PI","model",NA
"PI",2019,"glaucoma",39.2184864293453,29.2509486234646,50.8206767931582,32.3052189428233,46.8020331527729,FALSE,"Northeast","Glaucoma","PI","model",NA
"PI",2020,"glaucoma",33.4744359050245,25.1111649360661,43.2494309393292,27.5228129044583,39.5997050107209,FALSE,"Northeast","Glaucoma","PI","model",NA
"PI",2021,"glaucoma",45.3531439809977,34.4285806610459,58.0302591066796,37.4574942650662,53.2806882789242,FALSE,"Northeast","Glaucoma","PI","model",NA
"PI",2022,"glaucoma",38.5071544523514,29.1956452184763,49.4515574779594,32.0088661014553,46.0892004292146,FALSE,"Northeast","Glaucoma","PI","model",NA
"PI",2023,"glaucoma",37.0888647318532,28.930208366048,48.1661904449137,31.0788026182994,43.1013409317261,FALSE,"Northeast","Glaucoma","PI","model",NA
"PI",2024,"glaucoma",33.368255897432,24.4607283767131,44.8623607505139,27.1744530017644,39.7433177460742,FALSE,"Northeast","Glaucoma","PI","model",NA
"PI",2025,"glaucoma",32.9931863883025,11.0283780558897,75.0526377420146,15.4335117266438,55.5835607502962,TRUE,"Northeast","Glaucoma","PI","model",NA
"PI",2026,"glaucoma",38.1903396354092,7.70172905276007,99.6486801220381,12.7574341440324,72.7554496393553,TRUE,"Northeast","Glaucoma","PI","model",NA
"PI",2027,"glaucoma",44.7646467022802,6.61572827306048,166.374645737272,10.6694330057662,95.3300713394694,TRUE,"Northeast","Glaucoma","PI","model",NA
"PI",2028,"glaucoma",48.8029522538966,4.69329761918593,210.157526259291,9.54899383733522,100.576688797645,TRUE,"Northeast","Glaucoma","PI","model",NA
"PI",2029,"glaucoma",53.2440705436312,3.50924867467042,222.132845217119,7.8470240121844,123.389759449311,TRUE,"Northeast","Glaucoma","PI","model",NA
"PI",2030,"glaucoma",64.078559027311,3.06218192672167,321.012714895645,7.11888866584406,151.459384342951,TRUE,"Northeast","Glaucoma","PI","model",NA
"PI",2031,"glaucoma",72.0532242189483,2.5714243525568,341.521558078686,5.78337253394153,176.181979820051,TRUE,"Northeast","Glaucoma","PI","model",NA
"PI",2032,"glaucoma",79.0514863694062,2.29486748377549,393.536124080593,6.0017543626943,180.587506510459,TRUE,"Northeast","Glaucoma","PI","model",NA
"PI",2033,"glaucoma",85.1818788409076,2.4449265274243,488.508256435732,5.30037828151985,212.647643709538,TRUE,"Northeast","Glaucoma","PI","model",NA
"PI",2034,"glaucoma",112.285354063876,1.89305256967001,619.959920263871,5.13234578762162,221.595420763923,TRUE,"Northeast","Glaucoma","PI","model",NA
"PI",2035,"glaucoma",122.3972597827,1.68395663353181,621.737846580835,5.38174699666073,239.260832142274,TRUE,"Northeast","Glaucoma","PI","model",NA
"PI",2036,"glaucoma",128.898804476487,1.42267149338811,917.886877952664,4.59778325997845,270.481338689865,TRUE,"Northeast","Glaucoma","PI","model",NA
"PI",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",57.0980015202964
"PI",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",81.8823326364346
"PI",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",69.7612228367239
"PI",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",48.8415221891345
"PI",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",62.9523218993615
"PI",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",61.7550504637009
"PI",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",21.7325563867359
"PI",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",30.1602055280915
"PI",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",62.7817273556698
"PI",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",37.9613589094639
"PI",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",32.2560119903992
