"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"RJ",2010,"glaucoma",28.3527903387937,22.2684276661203,36.1700059956673,24.4140184983732,32.614413037007,FALSE,"Southeast","Glaucoma","RJ","model",NA
"RJ",2011,"glaucoma",27.7733122401469,22.7300352874881,34.0067895441497,24.1683304269536,31.5619397902286,FALSE,"Southeast","Glaucoma","RJ","model",NA
"RJ",2012,"glaucoma",22.1053230032906,17.3086025456723,27.3303985150489,19.0480143994901,25.2693612825728,FALSE,"Southeast","Glaucoma","RJ","model",NA
"RJ",2013,"glaucoma",22.8981981544877,18.0934954730524,27.8400666301832,19.8002147770333,26.052442036122,FALSE,"Southeast","Glaucoma","RJ","model",NA
"RJ",2014,"glaucoma",12.1106791112858,9.38760964986415,15.7227934259245,10.2048727740569,13.9513393296702,FALSE,"Southeast","Glaucoma","RJ","model",NA
"RJ",2015,"glaucoma",17.895175203266,14.5402795825121,22.0706061164954,15.5848033396237,20.621285929555,FALSE,"Southeast","Glaucoma","RJ","model",NA
"RJ",2016,"glaucoma",14.1764236775042,11.1166730708118,17.7633346084994,12.0386214935656,16.3630260115414,FALSE,"Southeast","Glaucoma","RJ","model",NA
"RJ",2017,"glaucoma",25.9996197011921,21.0476883968849,31.2714388069085,22.5979854278291,29.2353431598105,FALSE,"Southeast","Glaucoma","RJ","model",NA
"RJ",2018,"glaucoma",33.9591658166129,27.2390335166221,41.7533984704134,29.096546767178,38.5654839624665,FALSE,"Southeast","Glaucoma","RJ","model",NA
"RJ",2019,"glaucoma",36.050006393503,29.3348074443141,44.9535652060017,31.9828057490285,40.7934676157233,FALSE,"Southeast","Glaucoma","RJ","model",NA
"RJ",2020,"glaucoma",21.6548124701804,17.1211880317558,26.7554289484946,18.6167639922035,24.9109534761505,FALSE,"Southeast","Glaucoma","RJ","model",NA
