"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"RN",2010,"glaucoma",1.90356582983787,0.754665695948058,3.64424309904148,0.969991963335327,3.02269678750668,FALSE,"Northeast","Glaucoma","RN","model",NA
"RN",2011,"glaucoma",1.47098826847898,0.604127053559161,2.88588904667303,0.822724316247906,2.16099265605782,FALSE,"Northeast","Glaucoma","RN","model",NA
"RN",2012,"glaucoma",1.39750158038295,0.635114837687183,2.56383107472308,0.829904573937978,2.04634133323125,FALSE,"Northeast","Glaucoma","RN","model",NA
"RN",2013,"glaucoma",1.57182813498295,0.681767750114879,2.89308207855696,0.951303217600463,2.25911794957787,FALSE,"Northeast","Glaucoma","RN","model",NA
"RN",2014,"glaucoma",1.16618253245078,0.515818264290596,2.16428343737765,0.670844168494721,1.73913906528936,FALSE,"Northeast","Glaucoma","RN","model",NA
"RN",2015,"glaucoma",1.17828838866619,0.550655465525009,2.1030533775948,0.6981731031956,1.68770105902268,FALSE,"Northeast","Glaucoma","RN","model",NA
"RN",2016,"glaucoma",1.28758304185078,0.538759760142429,2.35582647582037,0.741265724544946,1.97025158323516,FALSE,"Northeast","Glaucoma","RN","model",NA
"RN",2017,"glaucoma",1.33707454156125,0.600376775340975,2.3987473548625,0.78176741426225,1.96598197603081,FALSE,"Northeast","Glaucoma","RN","model",NA
"RN",2018,"glaucoma",1.33264331544012,0.642895526257829,2.66112961396847,0.753135570960102,2.00782250150675,FALSE,"Northeast","Glaucoma","RN","model",NA
"RN",2019,"glaucoma",1.04018225211581,0.438126728704516,2.13370946448791,0.568181188144546,1.57957587684708,FALSE,"Northeast","Glaucoma","RN","model",NA
"RN",2020,"glaucoma",0.714409836797163,0.269602252973269,1.46754995780481,0.380000005824827,1.09429655787666,FALSE,"Northeast","Glaucoma","RN","model",NA
"RN",2021,"glaucoma",0.450564814369979,0.15459883212584,0.998256256089835,0.22253525036179,0.717564197516682,FALSE,"Northeast","Glaucoma","RN","model",NA
"RN",2022,"glaucoma",0.342639723688633,0.103054675861489,0.764744618320308,0.152676913587501,0.562235718643758,FALSE,"Northeast","Glaucoma","RN","model",NA
"RN",2023,"glaucoma",0.322000257534824,0.0881200648128331,0.797530408087068,0.130638199632857,0.528521248693968,FALSE,"Northeast","Glaucoma","RN","model",NA
"RN",2024,"glaucoma",0.359262481009743,0.0725520915733082,0.924355809526523,0.126586216691421,0.646146906461594,FALSE,"Northeast","Glaucoma","RN","model",NA
"RN",2025,"glaucoma",0.357435092296831,0.0538726278546818,1.17105325915332,0.0978838776498688,0.70140061039612,TRUE,"Northeast","Glaucoma","RN","model",NA
"RN",2026,"glaucoma",0.415154691498432,0.0422704767028619,1.62797823740794,0.085551764186767,0.83933195562005,TRUE,"Northeast","Glaucoma","RN","model",NA
"RN",2027,"glaucoma",0.460829400445688,0.042326279192976,2.03218013695679,0.0748858465561357,1.01157310772139,TRUE,"Northeast","Glaucoma","RN","model",NA
"RN",2028,"glaucoma",0.558027524077429,0.0275259205082665,2.77580636113034,0.056108661070801,1.08952121511036,TRUE,"Northeast","Glaucoma","RN","model",NA
"RN",2029,"glaucoma",0.62067545298337,0.025555849699291,2.35244151924705,0.0602669086228545,1.1910278003796,TRUE,"Northeast","Glaucoma","RN","model",NA
"RN",2030,"glaucoma",0.861855569630095,0.0225103977215313,3.44656607592605,0.0522246314094288,1.34354729824762,TRUE,"Northeast","Glaucoma","RN","model",NA
"RN",2031,"glaucoma",0.886437982902634,0.0175495217898239,4.0588737919221,0.044736754643719,1.56767419351902,TRUE,"Northeast","Glaucoma","RN","model",NA
"RN",2032,"glaucoma",0.932837418523874,0.0120359421295197,5.50626641513663,0.0407139227152357,1.78535859864513,TRUE,"Northeast","Glaucoma","RN","model",NA
"RN",2033,"glaucoma",1.09657771426515,0.0115477662738492,7.31193839787388,0.0416083132756229,1.8234224331875,TRUE,"Northeast","Glaucoma","RN","model",NA
