"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"RR",2010,"glaucoma",6.84397242929363,1.03281355261559,19.1127844161956,1.92899782910036,12.8663017986286,FALSE,"North","Glaucoma","RR","model",NA
"RR",2011,"glaucoma",4.15046768961198,0.786414244620056,11.8383104902813,1.27887051712589,7.80166807816498,FALSE,"North","Glaucoma","RR","model",NA
"RR",2012,"glaucoma",2.98024722724938,0.603914650567404,7.36717931397394,1.05020112422537,5.40592381169406,FALSE,"North","Glaucoma","RR","model",NA
"RR",2013,"glaucoma",2.39028996776877,0.508308933412075,6.28986138897602,0.814991127924691,4.5761267305295,FALSE,"North","Glaucoma","RR","model",NA
"RR",2014,"glaucoma",1.98999654651006,0.38108996712297,5.04781532678104,0.68932853369783,3.79323574754657,FALSE,"North","Glaucoma","RR","model",NA
"RR",2015,"glaucoma",1.81388735784001,0.422841210479739,5.25882362544499,0.601549978433301,3.45105697390843,FALSE,"North","Glaucoma","RR","model",NA
"RR",2016,"glaucoma",1.73791429337487,0.360323449113588,4.94409723552466,0.55992725628375,3.40865362633384,FALSE,"North","Glaucoma","RR","model",NA
"RR",2017,"glaucoma",1.76711330899727,0.358780092161543,4.81210217008052,0.596839068152317,3.35556500163782,FALSE,"North","Glaucoma","RR","model",NA
"RR",2018,"glaucoma",1.55275796395508,0.35121179087551,4.00809490857177,0.537739550324076,3.05560960299087,FALSE,"North","Glaucoma","RR","model",NA
"RR",2019,"glaucoma",1.46097876923936,0.301455768425316,4.32353727052458,0.5141617144385,2.68323028653623,FALSE,"North","Glaucoma","RR","model",NA
"RR",2020,"glaucoma",1.43871117293387,0.268024865377978,4.05888097466259,0.489802162100458,2.60386429374687,FALSE,"North","Glaucoma","RR","model",NA
"RR",2021,"glaucoma",1.51915009356173,0.287565927901424,4.21827112099475,0.484545970401852,2.78346744503802,FALSE,"North","Glaucoma","RR","model",NA
"RR",2022,"glaucoma",1.80242977742291,0.30950995031201,4.78169587854086,0.578301148283034,3.39476699028466,FALSE,"North","Glaucoma","RR","model",NA
"RR",2023,"glaucoma",2.26415730345958,0.433686084905642,5.84766114914374,0.741992589378529,4.31166298786693,FALSE,"North","Glaucoma","RR","model",NA
"RR",2024,"glaucoma",2.54202271464897,0.382144917858083,7.79963635111721,0.691361406807296,4.73590275153525,FALSE,"North","Glaucoma","RR","model",NA
"RR",2025,"glaucoma",2.39338589012803,0.255937805780375,7.32424772298118,0.547555540741059,4.85726428331409,TRUE,"North","Glaucoma","RR","model",NA
"RR",2026,"glaucoma",2.73805313300717,0.211819596545786,11.1895418800958,0.440552354898483,5.98515837141172,TRUE,"North","Glaucoma","RR","model",NA
