"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"RS",2010,"glaucoma",6.35456201841793,4.34675061522897,8.73949236441904,4.94253378018716,7.74509126204091,FALSE,"South","Glaucoma","RS","model",NA
"RS",2011,"glaucoma",6.86274040075035,4.85345801197817,9.28610320573052,5.5563405166587,8.23954709034547,FALSE,"South","Glaucoma","RS","model",NA
"RS",2012,"glaucoma",4.95287327931353,3.47428800726815,6.85174154363531,3.9965287386411,6.12804989544205,FALSE,"South","Glaucoma","RS","model",NA
"RS",2013,"glaucoma",3.98367934243742,2.69701857560758,5.82809033153472,3.07908730580805,5.04913634000553,FALSE,"South","Glaucoma","RS","model",NA
"RS",2014,"glaucoma",5.5182715484398,4.0004583239151,7.46290024345024,4.40155559190303,6.66314566711372,FALSE,"South","Glaucoma","RS","model",NA
"RS",2015,"glaucoma",7.52608319687218,5.60931866987204,10.2851879503797,6.18490551213581,9.07593165512619,FALSE,"South","Glaucoma","RS","model",NA
"RS",2016,"glaucoma",7.9588832389516,5.91135750569569,10.5175944500892,6.42636007908789,9.68876770395836,FALSE,"South","Glaucoma","RS","model",NA
"RS",2017,"glaucoma",14.0052791497262,10.8376776675074,17.9113475482732,11.6340311625333,16.4425491294922,FALSE,"South","Glaucoma","RS","model",NA
"RS",2018,"glaucoma",19.7239919172569,15.128441776422,24.7132986028249,16.830010643969,23.0740897149111,FALSE,"South","Glaucoma","RS","model",NA
"RS",2019,"glaucoma",20.8529229902937,16.4855624205444,25.7851706382708,17.9434615779448,24.120110286735,FALSE,"South","Glaucoma","RS","model",NA
"RS",2020,"glaucoma",13.8019365099508,10.3727609670581,18.2380296422733,11.4824895223637,16.2771465544577,FALSE,"South","Glaucoma","RS","model",NA
"RS",2021,"glaucoma",14.486118441994,11.092391897451,19.1075615342103,12.2144019493758,16.8018878223406,FALSE,"South","Glaucoma","RS","model",NA
"RS",2022,"glaucoma",15.3462439553872,11.7372647255922,19.2276057324483,12.959555434252,17.9167996814105,FALSE,"South","Glaucoma","RS","model",NA
"RS",2023,"glaucoma",15.5643021387867,12.0995304476765,19.9625389191219,13.2865400524383,18.1729885897378,FALSE,"South","Glaucoma","RS","model",NA
"RS",2024,"glaucoma",14.9084608158308,11.002800383314,19.5607415118279,12.4695325639341,17.8586524266829,FALSE,"South","Glaucoma","RS","model",NA
"RS",2025,"glaucoma",14.4767352287758,5.31892344064691,34.4640720769957,7.37567335602421,23.4785778665983,TRUE,"South","Glaucoma","RS","model",NA
"RS",2026,"glaucoma",16.2605657376199,4.1103127103723,49.8882221603817,5.78118594342755,29.792410832232,TRUE,"South","Glaucoma","RS","model",NA
"RS",2027,"glaucoma",18.6671489869975,2.91098936120388,66.194763839137,5.06601507543007,38.7938369354243,TRUE,"South","Glaucoma","RS","model",NA
"RS",2028,"glaucoma",21.1934173541548,2.55444893445271,75.9795324129048,4.30487158186512,42.083228395158,TRUE,"South","Glaucoma","RS","model",NA
"RS",2029,"glaucoma",25.0305248612332,2.03704411978515,98.9584656339979,4.03378161615419,55.5816648199936,TRUE,"South","Glaucoma","RS","model",NA
"RS",2030,"glaucoma",27.8715023438301,1.61548604650414,118.660392159356,3.61638598218081,66.259123276161,TRUE,"South","Glaucoma","RS","model",NA
"RS",2031,"glaucoma",30.6843522888236,1.50547354362609,132.742032366997,3.35996819046158,74.3062543615779,TRUE,"South","Glaucoma","RS","model",NA
"RS",2032,"glaucoma",34.5767907892724,1.20993278473429,187.381496988431,3.05145109567082,82.2942394979704,TRUE,"South","Glaucoma","RS","model",NA
"RS",2033,"glaucoma",37.3498955706218,0.919383314888272,197.93601802281,2.61292402566385,96.103896229815,TRUE,"South","Glaucoma","RS","model",NA
"RS",2034,"glaucoma",44.2234195970614,0.750636916580467,235.446224977132,2.28367432966059,106.773876506555,TRUE,"South","Glaucoma","RS","model",NA
"RS",2035,"glaucoma",50.2937047278396,0.813888602522863,290.618065154367,2.17412348473238,112.066081865974,TRUE,"South","Glaucoma","RS","model",NA
"RS",2036,"glaucoma",60.9270576676441,0.76672919143968,319.413354653602,2.09768994903714,131.714814182758,TRUE,"South","Glaucoma","RS","model",NA
"RS",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",5.71907859924688
"RS",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",6.80467314137736
"RS",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",4.56672035522995
"RS",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",3.38492672072436
"RS",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",5.08119690691433
"RS",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",7.10765847750034
"RS",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",7.15139032724762
"RS",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",13.1914113359074
"RS",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",18.0421083817938
"RS",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",20.5732337761242
"RS",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",11.3028688778652
"RS",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",13.517051240253
"RS",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",13.4216793388733
"RS",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",14.4792360344633
"RS",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",13.2609188932732
