"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"SC",2010,"glaucoma",21.232673479976,15.8148726908533,27.4840010141525,17.3461782879855,25.5795187938237,FALSE,"South","Glaucoma","SC","model",NA
"SC",2011,"glaucoma",28.2205434933405,21.8439952390562,36.0719968349988,23.7692920813846,33.2626781106766,FALSE,"South","Glaucoma","SC","model",NA
"SC",2012,"glaucoma",34.1269226733611,26.2559670159757,42.2016231472316,28.7998723522193,39.8254322736266,FALSE,"South","Glaucoma","SC","model",NA
"SC",2013,"glaucoma",42.3831029128744,33.7155887048549,52.9333902617705,36.1927373365658,48.7819838033743,FALSE,"South","Glaucoma","SC","model",NA
"SC",2014,"glaucoma",31.5842345377696,25.110159209859,39.8237629268339,26.6329528960135,36.619744753089,FALSE,"South","Glaucoma","SC","model",NA
"SC",2015,"glaucoma",42.2710645783871,33.6710267789997,52.1303905480611,36.2812105701442,48.7796974578094,FALSE,"South","Glaucoma","SC","model",NA
"SC",2016,"glaucoma",45.700697863551,35.6135222256196,58.2220661996404,39.1732773255499,52.8595893114866,FALSE,"South","Glaucoma","SC","model",NA
"SC",2017,"glaucoma",46.6159654144402,37.6661096495697,57.3585559204379,40.3521966515571,53.2132635184275,FALSE,"South","Glaucoma","SC","model",NA
"SC",2018,"glaucoma",31.8784550040634,24.4755543707676,41.3111913928315,26.5890313362103,37.2732028981135,FALSE,"South","Glaucoma","SC","model",NA
"SC",2019,"glaucoma",54.5931839515863,44.1668036857915,66.9389278802261,47.1279645984246,62.7091685191033,FALSE,"South","Glaucoma","SC","model",NA
"SC",2020,"glaucoma",48.8641638324136,39.8559456486054,59.8916611916267,42.3603950818243,56.2450237969252,FALSE,"South","Glaucoma","SC","model",NA
"SC",2021,"glaucoma",51.7788083485213,41.6755410820374,63.6060001549316,44.5055652634562,59.4527123281729,FALSE,"South","Glaucoma","SC","model",NA
"SC",2022,"glaucoma",63.4167540315959,51.6457492191386,76.4321420363603,55.3762509081803,71.6176389434644,FALSE,"South","Glaucoma","SC","model",NA
"SC",2023,"glaucoma",76.1512460511478,62.6768360597189,93.396017941395,66.5909026586604,87.1244418852977,FALSE,"South","Glaucoma","SC","model",NA
"SC",2024,"glaucoma",61.285558161321,49.0530738784451,75.3885511894943,52.9528658449856,70.1036372673989,FALSE,"South","Glaucoma","SC","model",NA
"SC",2025,"glaucoma",61.1787323749789,18.9220199183538,141.755842229221,27.630462988489,107.097852724915,TRUE,"South","Glaucoma","SC","model",NA
"SC",2026,"glaucoma",71.9295156593248,15.104297735115,229.135156070016,21.076573733297,155.177782995907,TRUE,"South","Glaucoma","SC","model",NA
"SC",2027,"glaucoma",84.8393740560488,10.9379610521097,321.727787374327,19.2928644480069,174.292369606196,TRUE,"South","Glaucoma","SC","model",NA
"SC",2028,"glaucoma",98.4561028915044,9.91871643654869,518.300735450574,17.6911939420385,201.133683914058,TRUE,"South","Glaucoma","SC","model",NA
"SC",2029,"glaucoma",119.467826549186,8.20681665038518,675.998677479627,15.594804911603,253.169598654125,TRUE,"South","Glaucoma","SC","model",NA
"SC",2030,"glaucoma",138.440203647988,6.38878431797956,752.310821168217,14.6303394726581,296.591268649524,TRUE,"South","Glaucoma","SC","model",NA
"SC",2031,"glaucoma",149.624417153719,5.31564374420961,1033.63081328874,13.8485844575641,328.856137161729,TRUE,"South","Glaucoma","SC","model",NA
"SC",2032,"glaucoma",171.92618965294,6.50714544421984,1236.63102050445,12.0570789555216,378.209398214561,TRUE,"South","Glaucoma","SC","model",NA
"SC",2033,"glaucoma",207.070056134014,4.99753819262675,1478.87467319156,11.7990862412663,385.260213637356,TRUE,"South","Glaucoma","SC","model",NA
"SC",2034,"glaucoma",220.688055001304,4.66651544770459,1360.17163369849,10.2613969980914,465.317003130501,TRUE,"South","Glaucoma","SC","model",NA
"SC",2035,"glaucoma",268.310433796234,4.08040696763094,1419.42974760811,10.0371428287067,521.315381827369,TRUE,"South","Glaucoma","SC","model",NA
"SC",2036,"glaucoma",285.838264773371,3.90902358748935,1696.1050789804,9.27371089097255,577.216858691876,TRUE,"South","Glaucoma","SC","model",NA
"SC",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",17.9654717278054
"SC",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",27.0937349957338
"SC",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",31.0407395597294
