"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"SP",2010,"glaucoma",48.5317645163362,40.6875343957885,58.2066526402658,42.7608490412868,54.2814956995254,FALSE,"Southeast","Glaucoma","SP","model",NA
"SP",2011,"glaucoma",44.7103843976549,37.7616267354993,53.5821065022924,39.70417148381,50.3511401619856,FALSE,"Southeast","Glaucoma","SP","model",NA
"SP",2012,"glaucoma",36.8417548108444,30.7089530589692,43.5608090013265,32.5013273852391,41.5510166019598,FALSE,"Southeast","Glaucoma","SP","model",NA
"SP",2013,"glaucoma",33.924143656797,28.346815275111,40.8434305808493,29.9726164121778,37.920678812671,FALSE,"Southeast","Glaucoma","SP","model",NA
"SP",2014,"glaucoma",32.5258122996094,27.2406293220118,39.2148136822339,28.7474510411583,36.2788212536879,FALSE,"Southeast","Glaucoma","SP","model",NA
"SP",2015,"glaucoma",33.0717626610998,27.5647366316432,39.2701760260453,29.2174872734707,37.6331630939955,FALSE,"Southeast","Glaucoma","SP","model",NA
"SP",2016,"glaucoma",33.6046044230902,28.0429400137517,41.0475600115627,30.0124691293919,38.2034806534871,FALSE,"Southeast","Glaucoma","SP","model",NA
"SP",2017,"glaucoma",44.808945728677,36.6677672675163,53.9451700320671,39.2683499878389,50.3783313019211,FALSE,"Southeast","Glaucoma","SP","model",NA
"SP",2018,"glaucoma",47.3972565546585,39.3862034057555,56.1679564511589,42.0394429323029,53.2365654267079,FALSE,"Southeast","Glaucoma","SP","model",NA
"SP",2019,"glaucoma",51.0470600003296,42.454559117907,60.8135497137245,45.4621548947327,57.026670218652,FALSE,"Southeast","Glaucoma","SP","model",NA
"SP",2020,"glaucoma",38.4025938444234,31.9245236969926,45.8696183056681,33.9838307748743,43.2200175130563,FALSE,"Southeast","Glaucoma","SP","model",NA
"SP",2021,"glaucoma",36.6190787586127,29.7187495333556,45.0659426950828,32.092141207139,41.4126125035294,FALSE,"Southeast","Glaucoma","SP","model",NA
"SP",2022,"glaucoma",44.4543689962553,36.9770754809407,53.2105146921118,39.3072373932508,49.7255358150948,FALSE,"Southeast","Glaucoma","SP","model",NA
"SP",2023,"glaucoma",51.6822078627,43.7238968096223,62.589348642841,45.6717760374004,58.567310809887,FALSE,"Southeast","Glaucoma","SP","model",NA
"SP",2024,"glaucoma",55.6710380795807,46.6513581215696,66.8836562530905,49.2287505685592,62.6980718024505,FALSE,"Southeast","Glaucoma","SP","model",NA
"SP",2025,"glaucoma",53.1734826739959,18.4341685634615,113.645968956218,26.5858227896396,86.5465621932651,TRUE,"Southeast","Glaucoma","SP","model",NA
"SP",2026,"glaucoma",57.7965911860869,13.569674228458,148.461952303723,20.9016873855293,109.273870268658,TRUE,"Southeast","Glaucoma","SP","model",NA
"SP",2027,"glaucoma",63.8834506234971,10.1096154273187,211.589931570757,16.0127458960246,143.538875675527,TRUE,"Southeast","Glaucoma","SP","model",NA
"SP",2028,"glaucoma",71.4668852876759,7.52950663816064,279.642605543211,13.355474789297,160.116375004423,TRUE,"Southeast","Glaucoma","SP","model",NA
"SP",2029,"glaucoma",81.7548868347034,6.18694665538261,373.962028817932,10.3988834303394,202.545889161231,TRUE,"Southeast","Glaucoma","SP","model",NA
"SP",2030,"glaucoma",99.7178241124826,5.56913174336805,550.368065630401,10.3820600541388,230.369855158533,TRUE,"Southeast","Glaucoma","SP","model",NA
"SP",2031,"glaucoma",117.08916514587,4.0613928384204,667.475056815591,9.68093644357858,290.123882878038,TRUE,"Southeast","Glaucoma","SP","model",NA
"SP",2032,"glaucoma",129.330052639589,3.9603335452864,734.584898121502,9.56807847203842,321.064853794035,TRUE,"Southeast","Glaucoma","SP","model",NA
"SP",2033,"glaucoma",138.59077099139,2.92417394539669,777.51452266267,7.90691625419671,315.61603537675,TRUE,"Southeast","Glaucoma","SP","model",NA
"SP",2034,"glaucoma",163.710162827956,2.79622651501065,898.979707797676,7.63956872008253,349.791494560789,TRUE,"Southeast","Glaucoma","SP","model",NA
"SP",2035,"glaucoma",201.229371493756,3.15611329117205,1230.73423505815,6.37967251610913,428.52018512615,TRUE,"Southeast","Glaucoma","SP","model",NA
"SP",2036,"glaucoma",231.928915236027,3.08940138602849,1528.37110503341,6.86707189361586,482.09776528505,TRUE,"Southeast","Glaucoma","SP","model",NA
"SP",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",47.0732399585199
"SP",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",41.5533163231531
"SP",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",35.6496221205708
"SP",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",32.4000208757021
"SP",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",31.9890844577465
"SP",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",32.3393372307154
"SP",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",33.8226278269435
"SP",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",44.7788378384718
"SP",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",48.9069713007516
"SP",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",54.0125909284904
"SP",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",36.8361644040509
"SP",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",35.3170669291709
"SP",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",47.6694819718743
"SP",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",53.4985334799518
"SP",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",57.7095902481622
