"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"TO",2010,"glaucoma",5.81659577109486,2.22819223568272,11.085525016975,3.14532289170912,8.99254611889643,FALSE,"North","Glaucoma","TO","model",NA
"TO",2011,"glaucoma",4.21109342522075,1.71161639690803,8.09879411037211,2.36893082024461,6.17199824884535,FALSE,"North","Glaucoma","TO","model",NA
"TO",2012,"glaucoma",3.68900978718549,1.67986737525483,6.93773699470118,2.10648756002022,5.57933897850277,FALSE,"North","Glaucoma","TO","model",NA
"TO",2013,"glaucoma",2.99522613802444,1.2182071520678,5.47620720027797,1.67630380394979,4.50149762285551,FALSE,"North","Glaucoma","TO","model",NA
"TO",2014,"glaucoma",2.02836954807911,0.782048246336962,4.22624425748172,1.09543616077526,3.12882967144703,FALSE,"North","Glaucoma","TO","model",NA
"TO",2015,"glaucoma",1.89398348791006,0.674960813815469,4.26254045001031,0.92421443276634,3.2838438643842,FALSE,"North","Glaucoma","TO","model",NA
"TO",2016,"glaucoma",1.82768134127186,0.670013730995295,4.16657607525588,0.880972686486554,3.02497418701933,FALSE,"North","Glaucoma","TO","model",NA
"TO",2017,"glaucoma",2.43467468366182,0.897044889989077,4.86499827962404,1.24823410456934,3.67294529626216,FALSE,"North","Glaucoma","TO","model",NA
"TO",2018,"glaucoma",2.0825974636704,0.846056569230361,4.10596699285247,1.12773469339498,3.22863768392641,FALSE,"North","Glaucoma","TO","model",NA
"TO",2019,"glaucoma",2.14048599970103,0.875137365971452,4.25283221379535,1.17803917200265,3.1800452932678,FALSE,"North","Glaucoma","TO","model",NA
"TO",2020,"glaucoma",2.52834189255064,1.02463138986138,5.04264223316888,1.44969352308094,3.93719923750416,FALSE,"North","Glaucoma","TO","model",NA
"TO",2021,"glaucoma",3.00411065489393,1.34677228834187,5.43506255253604,1.71341526619688,4.48864011573278,FALSE,"North","Glaucoma","TO","model",NA
"TO",2022,"glaucoma",4.18371139481535,2.0245476144138,7.42389965192932,2.59991849790893,6.04499633356871,FALSE,"North","Glaucoma","TO","model",NA
"TO",2023,"glaucoma",6.36392546669069,3.12109485838783,10.976264155345,3.83571249548255,9.25307064764084,FALSE,"North","Glaucoma","TO","model",NA
"TO",2024,"glaucoma",6.84268799620418,2.98869986562394,12.2607305707621,4.02607037798998,10.2086483940447,FALSE,"North","Glaucoma","TO","model",NA
"TO",2025,"glaucoma",6.73068205878799,1.63532604710021,19.9847825698052,2.46599811976467,12.0248406184347,TRUE,"North","Glaucoma","TO","model",NA
"TO",2026,"glaucoma",7.56674739583894,1.01731041882365,27.3446354701206,1.9239041661216,15.0589292331751,TRUE,"North","Glaucoma","TO","model",NA
"TO",2027,"glaucoma",8.95632594223286,0.923044095631962,33.0675654389539,1.81783269839622,20.6577119583667,TRUE,"North","Glaucoma","TO","model",NA
"TO",2028,"glaucoma",10.4058243911946,0.769504295131223,41.9655857377402,1.41769954811289,22.8021042426401,TRUE,"North","Glaucoma","TO","model",NA
"TO",2029,"glaucoma",11.1965549318659,0.680767018509622,49.0901346532518,1.2598818133588,28.8723266879106,TRUE,"North","Glaucoma","TO","model",NA
"TO",2030,"glaucoma",13.856133019171,0.516337499845952,66.8802440634317,1.13075160767261,32.2359271588004,TRUE,"North","Glaucoma","TO","model",NA
"TO",2031,"glaucoma",15.9884686682297,0.381050559677226,80.6689049749039,0.998100526001257,34.8574745035987,TRUE,"North","Glaucoma","TO","model",NA
"TO",2032,"glaucoma",20.3532973898845,0.411217194765872,104.66129017304,0.915621954346595,40.3153917127708,TRUE,"North","Glaucoma","TO","model",NA
"TO",2033,"glaucoma",24.0058105366437,0.332870022131622,118.378611921972,0.898931731946183,43.6795894071106,TRUE,"North","Glaucoma","TO","model",NA
"TO",2034,"glaucoma",25.9051287400753,0.276629017504184,150.835286873999,0.820322032751999,48.2050493193624,TRUE,"North","Glaucoma","TO","model",NA
"TO",2035,"glaucoma",30.7567766790622,0.299804056174976,177.567468613687,0.769771013613015,55.8835690217063,TRUE,"North","Glaucoma","TO","model",NA
"TO",2036,"glaucoma",46.5976944090187,0.24596638047945,191.544440181881,0.731388703908287,58.478486868537,TRUE,"North","Glaucoma","TO","model",NA
"TO",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",2.33319411941754
"TO",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",2.27765788439747
"TO",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",3.33658464970866
"TO",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",3.25984200632409
"TO",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",0
"TO",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",1.0382814365662
"TO",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",0
"TO",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",3.97382836637903
"TO",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",0.972466554444026
"TO",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",0.952755702957449
"TO",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",1.8688584638731
"TO",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",1.83560336282536
"TO",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",2.70660167213851
"TO",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",6.20958778095058
