"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"AL",2010,"retina",147.321258039903,122.145838915592,177.477306956227,128.541480063172,164.766374880083,FALSE,"Northeast","Retinopathy","AL","model",NA
"AL",2011,"retina",167.013373693288,137.202752074888,201.082996312634,147.815776017127,186.801337922784,FALSE,"Northeast","Retinopathy","AL","model",NA
"AL",2012,"retina",211.509196959273,178.112655750491,255.743864881096,187.468964476421,235.007541701739,FALSE,"Northeast","Retinopathy","AL","model",NA
"AL",2013,"retina",263.261652875824,229.052663101073,304.471842288878,238.033800324908,290.980103591722,FALSE,"Northeast","Retinopathy","AL","model",NA
"AL",2014,"retina",308.103198343888,261.646130792649,358.178181527828,277.287729541628,341.3799520839,FALSE,"Northeast","Retinopathy","AL","model",NA
"AL",2015,"retina",275.751337060198,236.863901136381,318.200165012516,249.631357233635,304.828158318117,FALSE,"Northeast","Retinopathy","AL","model",NA
"AL",2016,"retina",271.842927953581,234.470284949004,319.672656268519,245.078462543579,301.187123164077,FALSE,"Northeast","Retinopathy","AL","model",NA
"AL",2017,"retina",263.354010602919,224.901552308611,304.971994572392,237.32862420462,289.286930279594,FALSE,"Northeast","Retinopathy","AL","model",NA
"AL",2018,"retina",258.561186436243,222.040488457879,303.969721297054,231.451986085416,285.228271908907,FALSE,"Northeast","Retinopathy","AL","model",NA
"AL",2019,"retina",281.599713418536,239.026420976176,324.189414827942,252.830548966238,308.583245718266,FALSE,"Northeast","Retinopathy","AL","model",NA
"AL",2020,"retina",208.830470177577,177.607862243601,243.656229425258,187.887704187578,230.338298288053,FALSE,"Northeast","Retinopathy","AL","model",NA
"AL",2021,"retina",165.201395174176,138.052490986976,195.114074586785,146.805037959859,184.598527624705,FALSE,"Northeast","Retinopathy","AL","model",NA
"AL",2022,"retina",192.464434286027,164.751319070194,227.643209127458,173.355387418163,213.783479714197,FALSE,"Northeast","Retinopathy","AL","model",NA
"AL",2023,"retina",225.866869456986,190.588918944827,261.741053309703,202.04591279826,250.858466842546,FALSE,"Northeast","Retinopathy","AL","model",NA
"AL",2024,"retina",223.983276741049,189.608209424528,267.847087348056,200.458815259998,247.730100364532,FALSE,"Northeast","Retinopathy","AL","model",NA
"AL",2025,"retina",232.375422174063,76.967313711332,531.185784647695,111.652966105758,396.672711373567,TRUE,"Northeast","Retinopathy","AL","model",NA
"AL",2026,"retina",272.641821126186,51.0444809889819,867.638039583931,85.2068182679684,552.849262183122,TRUE,"Northeast","Retinopathy","AL","model",NA
"AL",2027,"retina",305.748409452796,39.9220067736224,1112.33251683984,65.7626774739517,617.726465767217,TRUE,"Northeast","Retinopathy","AL","model",NA
"AL",2028,"retina",348.803136050086,28.2222297472354,1439.32573096112,62.5655995688196,765.330485242831,TRUE,"Northeast","Retinopathy","AL","model",NA
"AL",2029,"retina",397.54551215648,21.5082624634231,1688.40594147716,57.3304634879108,950.622791487554,TRUE,"Northeast","Retinopathy","AL","model",NA
"AL",2030,"retina",465.95234432933,19.6183365349376,1988.09052300523,44.7031064847207,966.689674381486,TRUE,"Northeast","Retinopathy","AL","model",NA
"AL",2031,"retina",513.840672831744,13.375596764875,2595.48392399407,43.8079298776664,1186.8800182878,TRUE,"Northeast","Retinopathy","AL","model",NA
"AL",2032,"retina",621.94262182972,12.6619330179533,3010.76476889544,35.7109803082265,1388.32062759678,TRUE,"Northeast","Retinopathy","AL","model",NA
"AL",2033,"retina",746.461905841493,10.5197427458503,4408.36416598506,34.1196106777486,1530.76660226651,TRUE,"Northeast","Retinopathy","AL","model",NA
"AL",2034,"retina",811.087415713951,9.36027325987331,6245.43433702155,29.3945858993913,1629.23270761825,TRUE,"Northeast","Retinopathy","AL","model",NA
"AL",2035,"retina",899.550432759797,8.32467781177703,7053.10163976676,27.4335900420641,1772.17430737444,TRUE,"Northeast","Retinopathy","AL","model",NA
"AL",2036,"retina",1050.14687649265,5.91767097907235,5880.38907705224,28.2398455354379,2145.04666234796,TRUE,"Northeast","Retinopathy","AL","model",NA
"AL",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",149.236889903214
"AL",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",166.392077074858
"AL",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",213.748893446177
"AL",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",270.030666350307
"AL",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",313.71460571156
"AL",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",283.740468845056
"AL",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",278.705745407743
"AL",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",274.608403761856
"AL",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",265.095809929509
"AL",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",308.244457683534
"AL",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",211.769594680987
"AL",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",169.851082625548
"AL",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",203.442453645572
"AL",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",236.748483529984
"AL",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",240.830108909196
