"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"AM",2010,"retina",14.7827237602456,10.2631571377586,20.9133509238339,11.5639732330685,18.4249826119633,FALSE,"North","Retinopathy","AM","model",NA
"AM",2011,"retina",4.41088452008234,2.48104357470432,6.93575362199732,3.09845453403053,5.83497870482611,FALSE,"North","Retinopathy","AM","model",NA
"AM",2012,"retina",10.1668822274422,6.94797843998216,14.7710493782919,7.71945669228755,12.878277699948,FALSE,"North","Retinopathy","AM","model",NA
"AM",2013,"retina",65.6773857225915,53.3797364193589,79.1837105513889,56.6735888892999,74.9927021349665,FALSE,"North","Retinopathy","AM","model",NA
"AM",2014,"retina",62.1693331706686,50.5592909952819,76.3233350356287,53.6025957982475,70.8049802285661,FALSE,"North","Retinopathy","AM","model",NA
"AM",2015,"retina",131.910509585855,109.608449414313,157.736835489356,116.53030867342,147.375855934996,FALSE,"North","Retinopathy","AM","model",NA
"AM",2016,"retina",156.462031459771,131.780815580157,184.707031980644,139.01208249479,174.303837777126,FALSE,"North","Retinopathy","AM","model",NA
"AM",2017,"retina",140.583927350029,118.910091248488,165.345165430931,126.070515861535,155.479450838563,FALSE,"North","Retinopathy","AM","model",NA
"AM",2018,"retina",135.719878682017,115.308897409019,157.171073026174,122.160729957955,150.612212210423,FALSE,"North","Retinopathy","AM","model",NA
"AM",2019,"retina",124.313015982798,105.349485442277,148.57197950651,110.19854160366,139.754817338134,FALSE,"North","Retinopathy","AM","model",NA
"AM",2020,"retina",70.0105666524646,57.0412148070894,85.1011184537677,61.3117558602826,79.3761376394377,FALSE,"North","Retinopathy","AM","model",NA
"AM",2021,"retina",74.0899844820798,60.6146737896835,88.8383106551616,65.3256805357729,83.1645551773344,FALSE,"North","Retinopathy","AM","model",NA
"AM",2022,"retina",81.2589598254067,66.7175526456074,98.5323673293567,70.6539879562767,92.171295477089,FALSE,"North","Retinopathy","AM","model",NA
"AM",2023,"retina",93.036011831442,77.4864230718563,109.571279412459,82.6631506587947,103.85709077886,FALSE,"North","Retinopathy","AM","model",NA
"AM",2024,"retina",47.8662870708467,39.2656877421199,58.6483503256018,41.4559858090021,54.8226855185545,FALSE,"North","Retinopathy","AM","model",NA
"AM",2025,"retina",47.5071835710885,16.4587528151875,105.761724990006,22.4064167658026,78.8638009203352,TRUE,"North","Retinopathy","AM","model",NA
"AM",2026,"retina",53.1151095601462,9.74052589541818,154.637596735526,17.374711304989,104.781848868182,TRUE,"North","Retinopathy","AM","model",NA
"AM",2027,"retina",61.212226485585,7.62293502802601,231.595766758181,14.4310097780049,116.282170291762,TRUE,"North","Retinopathy","AM","model",NA
"AM",2028,"retina",70.0141212570457,6.76900557595059,253.199708750615,13.1875628718823,151.81551982137,TRUE,"North","Retinopathy","AM","model",NA
"AM",2029,"retina",79.4859437653567,5.55271755718557,347.912036075791,12.7846557556189,177.088912346979,TRUE,"North","Retinopathy","AM","model",NA
"AM",2030,"retina",87.1631284732764,4.08709960644463,372.271359042621,11.1241539869672,198.539894900656,TRUE,"North","Retinopathy","AM","model",NA
"AM",2031,"retina",105.177604180378,3.40147543847165,512.926714685129,9.54791831457618,252.413816297398,TRUE,"North","Retinopathy","AM","model",NA
"AM",2032,"retina",118.108247429137,3.01452700016456,623.608683559186,8.50039763147571,298.666661504145,TRUE,"North","Retinopathy","AM","model",NA
"AM",2033,"retina",131.083561390036,2.86643825399308,782.99493348318,8.16296647108222,316.315937640076,TRUE,"North","Retinopathy","AM","model",NA
"AM",2034,"retina",146.017117204739,2.8339493966382,1034.28922680492,7.86598645511721,371.99985890272,TRUE,"North","Retinopathy","AM","model",NA
"AM",2035,"retina",162.274511750666,2.31059574774852,1028.78964035136,6.95229538149278,436.806567805525,TRUE,"North","Retinopathy","AM","model",NA
"AM",2036,"retina",186.315687148003,1.91149642743129,1063.42910313445,6.7893586825802,528.261706620142,TRUE,"North","Retinopathy","AM","model",NA
"AM",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",15.5936319631226
"AM",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",0
"AM",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",8.07863457769651
"AM",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",74.8787380436682
"AM",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",61.1494294218681
"AM",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",140.840942899495
"AM",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",162.978376641752
"AM",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",156.082260733553
"AM",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",145.885622448009
"AM",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",132.34136217354
"AM",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",70.8932860609238
"AM",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",78.9379368242108
"AM",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",85.2515230934668
"AM",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",101.400654768751
"AM",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",46.3732108986882
