"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"ES",2010,"retina",303.709190187998,260.034103970544,351.686150170007,273.031827747139,334.315813276454,FALSE,"Southeast","Retinopathy","ES","model",NA
"ES",2011,"retina",265.822422581911,225.708927633825,308.780342856242,238.157999521038,294.084058707703,FALSE,"Southeast","Retinopathy","ES","model",NA
"ES",2012,"retina",302.141004328202,258.722421396321,351.794870288901,273.304691066777,330.088929819281,FALSE,"Southeast","Retinopathy","ES","model",NA
"ES",2013,"retina",298.101820201587,253.034577385877,349.72709820557,267.393652540647,329.981740222245,FALSE,"Southeast","Retinopathy","ES","model",NA
"ES",2014,"retina",225.661058197802,191.744726809318,269.038920667581,200.665295664331,247.660297683981,FALSE,"Southeast","Retinopathy","ES","model",NA
"ES",2015,"retina",156.120741466742,130.492317446381,183.775870909532,138.928826316022,174.208922149854,FALSE,"Southeast","Retinopathy","ES","model",NA
"ES",2016,"retina",183.714866980345,158.305271047281,213.837955966762,166.011060698105,202.857900210124,FALSE,"Southeast","Retinopathy","ES","model",NA
"ES",2017,"retina",277.160764590813,235.982452298802,325.219491104379,249.323524173694,305.977362911374,FALSE,"Southeast","Retinopathy","ES","model",NA
"ES",2018,"retina",230.814027953452,195.277093752772,268.602761287389,206.603624436326,255.185591933647,FALSE,"Southeast","Retinopathy","ES","model",NA
"ES",2019,"retina",196.342276501212,168.160355979311,228.364633848617,176.721011429893,216.472969294874,FALSE,"Southeast","Retinopathy","ES","model",NA
"ES",2020,"retina",165.679107616635,142.583106035548,196.761958522656,148.830360099916,184.177897084558,FALSE,"Southeast","Retinopathy","ES","model",NA
"ES",2021,"retina",223.330885947508,190.490727830586,257.493210779804,201.863026124022,247.433029748637,FALSE,"Southeast","Retinopathy","ES","model",NA
"ES",2022,"retina",228.579871558048,195.019698439397,266.494273434705,207.051923152219,249.734921374788,FALSE,"Southeast","Retinopathy","ES","model",NA
"ES",2023,"retina",195.013385665024,167.362506629988,227.418761740995,176.739095701723,216.343505105729,FALSE,"Southeast","Retinopathy","ES","model",NA
"ES",2024,"retina",184.180111188457,155.710684610894,216.732192995192,165.525558984976,205.17161144124,FALSE,"Southeast","Retinopathy","ES","model",NA
"ES",2025,"retina",188.283201077977,66.5710139916381,429.060456848448,89.4654104775353,320.130808718677,TRUE,"Southeast","Retinopathy","ES","model",NA
"ES",2026,"retina",220.486766641679,36.8142907285181,671.950790415726,73.27035408553,426.659874206393,TRUE,"Southeast","Retinopathy","ES","model",NA
"ES",2027,"retina",259.436757771015,33.5915959140646,1093.93285985395,60.9528745448397,522.269899477467,TRUE,"Southeast","Retinopathy","ES","model",NA
"ES",2028,"retina",308.124929854365,26.5946695776714,1259.63866209538,51.5602249487454,646.775501129483,TRUE,"Southeast","Retinopathy","ES","model",NA
"ES",2029,"retina",335.272752440225,20.9710803984423,1397.02024710924,48.0715787821639,740.283890704818,TRUE,"Southeast","Retinopathy","ES","model",NA
"ES",2030,"retina",368.033583915988,19.5648346874279,1648.18948564336,38.1921554424433,899.547973528653,TRUE,"Southeast","Retinopathy","ES","model",NA
"ES",2031,"retina",414.413308950058,15.6182463446855,2047.64348264495,34.1802833051192,983.800082056298,TRUE,"Southeast","Retinopathy","ES","model",NA
"ES",2032,"retina",472.639078771378,12.9516882033523,2846.30206448715,27.2401585574557,1124.38092308586,TRUE,"Southeast","Retinopathy","ES","model",NA
"ES",2033,"retina",597.559457100242,9.18883937033941,3601.72968470119,27.6640198774852,1513.59587203188,TRUE,"Southeast","Retinopathy","ES","model",NA
"ES",2034,"retina",712.337900993783,7.81694837336276,4566.19782166795,30.2247847592977,1451.56829204561,TRUE,"Southeast","Retinopathy","ES","model",NA
"ES",2035,"retina",865.445034311943,7.36667216772023,6192.11824184615,24.3002386992952,1686.4921270346,TRUE,"Southeast","Retinopathy","ES","model",NA
"ES",2036,"retina",933.393519767288,8.22165950842924,6153.70207020808,23.2688821648188,1834.14428111804,TRUE,"Southeast","Retinopathy","ES","model",NA
"ES",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",300.020261642327
"ES",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",251.460077795713
"ES",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",289.415857071151
"ES",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",300.115985546476
"ES",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",228.088944821072
"ES",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",153.475360126952
"ES",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",185.801815298366
"ES",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",275.879707826147
"ES",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",247.072979357758
"ES",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",199.904490076963
"ES",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",163.255213322992
"ES",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",224.309801766633
"ES",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",251.289433047279
"ES",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",202.734495961169
"ES",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",190.714433694303
