"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"GO",2010,"retina",189.028756620285,161.090001027003,218.509240664675,170.581905801183,208.847082577938,FALSE,"Center-West","Retinopathy","GO","model",NA
"GO",2011,"retina",248.591488600496,213.550478319764,285.924285032082,224.895260756382,273.917714878035,FALSE,"Center-West","Retinopathy","GO","model",NA
"GO",2012,"retina",276.30866453324,239.028486091975,318.513530537264,249.554642320795,303.384779928599,FALSE,"Center-West","Retinopathy","GO","model",NA
"GO",2013,"retina",245.111699246512,211.109228156951,285.321815800826,220.549164758187,271.220297132401,FALSE,"Center-West","Retinopathy","GO","model",NA
"GO",2014,"retina",190.811658642621,164.225131377879,225.636240161053,171.780172310432,212.243455041232,FALSE,"Center-West","Retinopathy","GO","model",NA
"GO",2015,"retina",210.151733639943,178.999930614309,245.741040371531,189.62481630116,231.681857532633,FALSE,"Center-West","Retinopathy","GO","model",NA
"GO",2016,"retina",273.518136150419,234.203136395283,318.848258118965,247.373479141855,299.142527866867,FALSE,"Center-West","Retinopathy","GO","model",NA
"GO",2017,"retina",335.646364774074,289.527926315778,395.523309335314,302.952917795747,370.872691961972,FALSE,"Center-West","Retinopathy","GO","model",NA
"GO",2018,"retina",361.995018506695,312.394460341865,419.03915977965,329.819769462226,395.342688136915,FALSE,"Center-West","Retinopathy","GO","model",NA
"GO",2019,"retina",343.984310588057,294.610069773774,394.874404078316,312.217311159424,376.624986696361,FALSE,"Center-West","Retinopathy","GO","model",NA
"GO",2020,"retina",276.348802958915,241.388318701925,319.639067397628,250.598128648307,303.551231631771,FALSE,"Center-West","Retinopathy","GO","model",NA
"GO",2021,"retina",331.267709660823,288.624884271139,377.977036636437,303.134794898893,361.608908193494,FALSE,"Center-West","Retinopathy","GO","model",NA
"GO",2022,"retina",329.815900412677,284.436870831152,376.89209919667,298.29272800257,358.719035568196,FALSE,"Center-West","Retinopathy","GO","model",NA
"GO",2023,"retina",366.689600168034,317.928745153776,415.959435562635,332.836066484658,401.315214844964,FALSE,"Center-West","Retinopathy","GO","model",NA
"GO",2024,"retina",335.087288549277,288.372518426792,386.181725912737,303.159201977153,368.873780058366,FALSE,"Center-West","Retinopathy","GO","model",NA
"GO",2025,"retina",342.324731163979,107.096628300185,813.949451316691,159.378177956452,579.89716921675,TRUE,"Center-West","Retinopathy","GO","model",NA
"GO",2026,"retina",408.774668256301,72.2383910206623,1303.53889502411,123.365007661576,857.602116827139,TRUE,"Center-West","Retinopathy","GO","model",NA
"GO",2027,"retina",490.015907653789,57.6293834589367,1873.25518514645,91.558691208166,1062.19304607054,TRUE,"Center-West","Retinopathy","GO","model",NA
"GO",2028,"retina",563.847471074575,46.0708237473657,2333.46275137569,89.5939222570204,1157.25302454656,TRUE,"Center-West","Retinopathy","GO","model",NA
"GO",2029,"retina",636.806748122102,37.3167228589165,2922.25403440656,80.5639348028113,1306.38685859527,TRUE,"Center-West","Retinopathy","GO","model",NA
"GO",2030,"retina",730.091872970264,32.3712219840226,3629.72413978306,68.685609558084,1640.04953974513,TRUE,"Center-West","Retinopathy","GO","model",NA
"GO",2031,"retina",830.679623449311,30.1020813223646,4307.24143492711,53.8793517693324,2072.54920001634,TRUE,"Center-West","Retinopathy","GO","model",NA
"GO",2032,"retina",904.279928667918,23.8868552340219,5141.91325916764,58.8768309260746,2217.06997412206,TRUE,"Center-West","Retinopathy","GO","model",NA
"GO",2033,"retina",1039.50495642572,23.1501936083825,7025.95631291869,55.8696919191624,2534.73631991283,TRUE,"Center-West","Retinopathy","GO","model",NA
"GO",2034,"retina",1268.71226853771,18.4110804706578,8611.34570740978,51.477295017384,3067.39607487807,TRUE,"Center-West","Retinopathy","GO","model",NA
"GO",2035,"retina",1428.1338569803,16.9773393050589,12006.6858450995,48.294776527935,3318.15255855911,TRUE,"Center-West","Retinopathy","GO","model",NA
"GO",2036,"retina",1619.05502808945,11.3946228438389,14815.0329183644,36.492657365154,3503.14684577216,TRUE,"Center-West","Retinopathy","GO","model",NA
"GO",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",182.096685252129
"GO",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",239.474360947611
"GO",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",267.610746986288
"GO",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",236.408236216739
"GO",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",180.997613372603
"GO",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",204.542099365156
"GO",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",264.889919134935
"GO",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",322.777964299586
"GO",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",345.040180584687
"GO",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",341.903293829198
"GO",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",278.513319193831
"GO",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",326.706605238837
"GO",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",315.911230090335
"GO",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",351.257692458847
"GO",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",333.682950061132
