"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"MG",2010,"retina",103.254104476473,88.2058151689667,118.838093860453,93.2976961084524,113.985916150686,FALSE,"Southeast","Retinopathy","MG","model",NA
"MG",2011,"retina",113.16387489266,98.5310978614663,132.879421349547,102.710169035272,123.775655877683,FALSE,"Southeast","Retinopathy","MG","model",NA
"MG",2012,"retina",123.791504044336,107.087612554857,142.085429556198,111.427833803907,136.263292022001,FALSE,"Southeast","Retinopathy","MG","model",NA
"MG",2013,"retina",135.901733051069,116.97126494656,156.764269964561,123.031225468898,149.386008453816,FALSE,"Southeast","Retinopathy","MG","model",NA
"MG",2014,"retina",151.688102774056,131.431320880257,173.133540865254,137.862337127609,166.725732953608,FALSE,"Southeast","Retinopathy","MG","model",NA
"MG",2015,"retina",143.736332093527,123.750894235872,165.299932896031,130.599941707003,156.91697763967,FALSE,"Southeast","Retinopathy","MG","model",NA
"MG",2016,"retina",137.407795242727,118.008700305215,155.949301486844,125.776372349644,149.61978512555,FALSE,"Southeast","Retinopathy","MG","model",NA
"MG",2017,"retina",135.638842269369,117.010291969785,155.942591276847,123.917701920919,147.859745722618,FALSE,"Southeast","Retinopathy","MG","model",NA
"MG",2018,"retina",144.433379862127,126.031780854583,166.898300746093,131.600117477754,157.703606601693,FALSE,"Southeast","Retinopathy","MG","model",NA
"MG",2019,"retina",172.62757605443,149.515440583845,199.848606888194,157.359434393869,189.173089909808,FALSE,"Southeast","Retinopathy","MG","model",NA
"MG",2020,"retina",170.966682774705,148.698174544745,194.245116363008,155.763860150519,185.012184134146,FALSE,"Southeast","Retinopathy","MG","model",NA
"MG",2021,"retina",218.92576542856,192.639870825935,248.619361523913,201.131288361708,237.886337121294,FALSE,"Southeast","Retinopathy","MG","model",NA
"MG",2022,"retina",297.978182239572,261.38880716325,339.537433893627,272.317784039426,325.967777334186,FALSE,"Southeast","Retinopathy","MG","model",NA
"MG",2023,"retina",339.116985440319,298.662273323389,385.877024054565,308.106137425577,369.662579001426,FALSE,"Southeast","Retinopathy","MG","model",NA
"MG",2024,"retina",351.825549058379,305.767748294155,404.713608097757,322.49916556891,384.469842285283,FALSE,"Southeast","Retinopathy","MG","model",NA
"MG",2025,"retina",362.96470742351,116.23115565973,898.791406032888,164.134591835227,611.626236442537,TRUE,"Southeast","Retinopathy","MG","model",NA
"MG",2026,"retina",421.293863335911,80.1806894703973,1381.00952651777,124.860750709024,845.507497193763,TRUE,"Southeast","Retinopathy","MG","model",NA
"MG",2027,"retina",470.721693885155,60.1162706631891,2001.85611212925,98.9128848635874,990.417172078223,TRUE,"Southeast","Retinopathy","MG","model",NA
"MG",2028,"retina",554.853081739969,44.7295994133936,2456.87538295821,82.4395880671031,1258.15126651276,TRUE,"Southeast","Retinopathy","MG","model",NA
"MG",2029,"retina",638.10968005477,34.8988564859327,3739.07430712408,75.3643644247608,1412.5502281896,TRUE,"Southeast","Retinopathy","MG","model",NA
"MG",2030,"retina",727.449071996402,26.593713024872,3871.78999925304,66.0729941039372,1690.45727122359,TRUE,"Southeast","Retinopathy","MG","model",NA
"MG",2031,"retina",911.061724812345,26.1940859881444,4840.95589631916,60.8205127960223,1952.49518714417,TRUE,"Southeast","Retinopathy","MG","model",NA
"MG",2032,"retina",1129.3785892327,17.1622395709522,6138.69261087428,52.0566867375945,2218.57667826495,TRUE,"Southeast","Retinopathy","MG","model",NA
"MG",2033,"retina",1338.64593592612,16.1171189083672,8551.94433173817,46.705978959333,2254.71105576983,TRUE,"Southeast","Retinopathy","MG","model",NA
"MG",2034,"retina",1609.27057844399,11.8506845442124,9276.77556898103,43.4627194128059,2667.76367782964,TRUE,"Southeast","Retinopathy","MG","model",NA
"MG",2035,"retina",1878.43868140725,10.9095263747443,8137.79783954788,35.7058793900251,2961.85193278858,TRUE,"Southeast","Retinopathy","MG","model",NA
"MG",2036,"retina",2050.04153826555,11.2709427952715,7910.86406633321,36.2748390902378,3312.68985651438,TRUE,"Southeast","Retinopathy","MG","model",NA
"MG",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",86.1908691676018
"MG",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",100.312082835041
"MG",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",112.096128201148
"MG",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",122.564167884465
"MG",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",143.582678284572
"MG",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",138.895720164837
"MG",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",128.09606044267
"MG",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",126.033249109549
"MG",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",138.791416023313
"MG",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",171.218382066968
"MG",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",165.915606412999
"MG",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",218.55296905335
"MG",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",296.62160633677
"MG",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",340.437752710389
"MG",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",360.716592774475
