"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"MS",2010,"retina",82.1125471981046,64.7623724636764,101.994590240434,70.3250393793258,95.2484896763637,FALSE,"Center-West","Retinopathy","MS","model",NA
"MS",2011,"retina",95.5358698938045,75.9079564552053,117.652004145881,81.8532272843796,108.679549691056,FALSE,"Center-West","Retinopathy","MS","model",NA
"MS",2012,"retina",143.926270599883,120.140188479687,171.717110977907,127.6126461846,160.664156881302,FALSE,"Center-West","Retinopathy","MS","model",NA
"MS",2013,"retina",169.839431050567,141.551852780462,201.601811070138,150.611629548366,189.772339480942,FALSE,"Center-West","Retinopathy","MS","model",NA
"MS",2014,"retina",98.6543283383746,80.4935328019372,119.372911732684,85.5354305038905,112.262845672693,FALSE,"Center-West","Retinopathy","MS","model",NA
"MS",2015,"retina",107.540421212819,86.9409403920082,129.362613073131,95.7815815720998,120.515072011242,FALSE,"Center-West","Retinopathy","MS","model",NA
"MS",2016,"retina",157.415548543801,131.371283111017,185.548349321813,138.218907306856,177.521736679815,FALSE,"Center-West","Retinopathy","MS","model",NA
"MS",2017,"retina",191.223401064902,159.070825617085,228.805613434296,170.866378796877,212.621772651769,FALSE,"Center-West","Retinopathy","MS","model",NA
"MS",2018,"retina",220.779365526804,185.350941664591,256.240822004783,198.361663933252,244.101966923705,FALSE,"Center-West","Retinopathy","MS","model",NA
"MS",2019,"retina",268.378285805994,227.265748527873,313.442281030468,239.729132890265,296.378912985723,FALSE,"Center-West","Retinopathy","MS","model",NA
"MS",2020,"retina",157.535772858777,131.745761643665,186.352567580791,139.189279375873,177.300260477477,FALSE,"Center-West","Retinopathy","MS","model",NA
"MS",2021,"retina",196.274578556973,164.695253326573,233.374560075196,173.009508857019,219.296230274768,FALSE,"Center-West","Retinopathy","MS","model",NA
"MS",2022,"retina",292.252290490968,247.974000595018,339.776866286475,264.02031641504,322.327809213557,FALSE,"Center-West","Retinopathy","MS","model",NA
"MS",2023,"retina",342.659149418136,296.819701096465,404.605103783233,310.555450927092,377.600201719004,FALSE,"Center-West","Retinopathy","MS","model",NA
"MS",2024,"retina",250.248600471451,209.963803779794,290.660352206194,224.832563149732,278.449628988757,FALSE,"Center-West","Retinopathy","MS","model",NA
"MS",2025,"retina",254.311760010753,84.020063244863,586.645235977129,113.685947898474,434.083158235006,TRUE,"Center-West","Retinopathy","MS","model",NA
"MS",2026,"retina",298.073531975187,49.2059843963675,886.063492426266,87.1954896824778,614.217557485529,TRUE,"Center-West","Retinopathy","MS","model",NA
"MS",2027,"retina",351.121673427259,49.7248459131186,1367.98245471488,74.833960372162,735.867901774307,TRUE,"Center-West","Retinopathy","MS","model",NA
"MS",2028,"retina",399.35014053938,32.5662140150256,1893.33393566389,66.662041615441,908.184626976477,TRUE,"Center-West","Retinopathy","MS","model",NA
"MS",2029,"retina",448.055287713159,25.5463419669328,2124.43034462266,63.8196973294813,950.854058346587,TRUE,"Center-West","Retinopathy","MS","model",NA
"MS",2030,"retina",488.381965456513,21.8556923285554,2201.93985610786,48.1557395819508,1091.45293746859,TRUE,"Center-West","Retinopathy","MS","model",NA
"MS",2031,"retina",542.917684263706,18.149715653926,2833.12006873734,40.1887024010439,1200.327767922,TRUE,"Center-West","Retinopathy","MS","model",NA
"MS",2032,"retina",593.530592370338,13.5168726613913,3326.05971504612,38.677001658083,1387.57789026889,TRUE,"Center-West","Retinopathy","MS","model",NA
"MS",2033,"retina",653.452000225822,12.2456186123119,4888.56531607584,34.088356753499,1556.9465150883,TRUE,"Center-West","Retinopathy","MS","model",NA
"MS",2034,"retina",830.137444635416,12.3812701592703,5572.62354328226,33.1798134811027,1708.2859879973,TRUE,"Center-West","Retinopathy","MS","model",NA
"MS",2035,"retina",894.453923998595,12.6543754603361,6186.6868775887,30.5924671833794,1984.97697135726,TRUE,"Center-West","Retinopathy","MS","model",NA
"MS",2036,"retina",1137.66557724158,10.1372674667965,6540.72415146564,29.2606260058623,2618.77996601399,TRUE,"Center-West","Retinopathy","MS","model",NA
"MS",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",77.7955557297958
"MS",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",91.7758078970383
"MS",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",143.384846102224
"MS",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",171.641288139069
"MS",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",92.0729172315312
"MS",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",109.199170973197
"MS",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",156.75081681871
"MS",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",180.732039619885
"MS",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",229.714790951655
"MS",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",284.975138375859
"MS",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",152.798271138495
"MS",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",200.3887239909
"MS",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",315.772358368414
"MS",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",344.007179620682
"MS",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",255.564568219072
