"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"MT",2010,"retina",4.39985742809152,2.17582191417754,7.00029869818324,2.84962218755266,6.01704040074197,FALSE,"Center-West","Retinopathy","MT","model",NA
"MT",2011,"retina",7.83808971231541,4.73676037227783,11.5393344676127,5.70537085603071,10.1348082891601,FALSE,"Center-West","Retinopathy","MT","model",NA
"MT",2012,"retina",56.6150072236066,44.5585768567959,70.1570459432171,48.3607817843514,65.0691016959221,FALSE,"Center-West","Retinopathy","MT","model",NA
"MT",2013,"retina",51.3099641168404,40.4762976338985,63.7115615784004,44.4055656616273,58.7753617363808,FALSE,"Center-West","Retinopathy","MT","model",NA
"MT",2014,"retina",26.3187829403487,19.665300863229,33.4135228345591,21.8049308499977,30.7821043246915,FALSE,"Center-West","Retinopathy","MT","model",NA
"MT",2015,"retina",11.3799557243138,7.65081363741591,15.884805943188,8.71690516744496,14.2601703443591,FALSE,"Center-West","Retinopathy","MT","model",NA
"MT",2016,"retina",13.979248001259,9.8460474315878,19.087070661508,10.8677291781052,17.2158074526623,FALSE,"Center-West","Retinopathy","MT","model",NA
"MT",2017,"retina",11.5987338015031,7.95764184746222,16.0308782190617,9.0807256412813,14.2184557005426,FALSE,"Center-West","Retinopathy","MT","model",NA
"MT",2018,"retina",6.56558136467322,4.10650353163402,9.60432507800706,4.76311159169698,8.55662333918121,FALSE,"Center-West","Retinopathy","MT","model",NA
"MT",2019,"retina",12.0752585217698,8.25174454330661,17.4088556584355,9.32291482945494,14.8862354172836,FALSE,"Center-West","Retinopathy","MT","model",NA
"MT",2020,"retina",12.5424873672875,8.89295221894728,16.9579383274791,9.86170327785072,15.3552185630262,FALSE,"Center-West","Retinopathy","MT","model",NA
"MT",2021,"retina",15.7692286949362,10.9786236718909,21.2569542179809,12.6466574305509,19.1764859239989,FALSE,"Center-West","Retinopathy","MT","model",NA
"MT",2022,"retina",25.3978578679575,19.3135746572936,32.5859728267125,20.9843593010087,30.1443373285574,FALSE,"Center-West","Retinopathy","MT","model",NA
"MT",2023,"retina",18.9571555878222,14.2041603936367,24.9420663315277,15.3387200305829,22.6710343475441,FALSE,"Center-West","Retinopathy","MT","model",NA
"MT",2024,"retina",93.6048255021371,77.8047696835985,114.085077893616,82.2550169383068,105.999830247981,FALSE,"Center-West","Retinopathy","MT","model",NA
"MT",2025,"retina",96.990125125759,33.1034492461242,220.403744201826,45.3973348534202,160.685586288971,TRUE,"Center-West","Retinopathy","MT","model",NA
"MT",2026,"retina",114.583496407833,22.5888616734366,352.422598325333,35.8511246200823,225.139827636057,TRUE,"Center-West","Retinopathy","MT","model",NA
"MT",2027,"retina",142.064298450832,17.0871324608881,534.080685830535,29.8752882672511,315.350241766073,TRUE,"Center-West","Retinopathy","MT","model",NA
"MT",2028,"retina",166.56326385335,12.2324823993493,692.211843446554,28.5556443446558,354.692000046655,TRUE,"Center-West","Retinopathy","MT","model",NA
"MT",2029,"retina",197.31542754866,10.5507231306308,913.582743455697,20.2553865548581,455.77233217411,TRUE,"Center-West","Retinopathy","MT","model",NA
"MT",2030,"retina",230.04675721982,9.28751927867046,1063.26678309573,22.8283870134093,485.335145059325,TRUE,"Center-West","Retinopathy","MT","model",NA
"MT",2031,"retina",261.042559849139,8.07510533369667,1364.07248892385,21.2885222637979,607.524609084138,TRUE,"Center-West","Retinopathy","MT","model",NA
"MT",2032,"retina",309.449828514058,6.27516147371306,1681.02661007068,23.092528128174,693.989005931331,TRUE,"Center-West","Retinopathy","MT","model",NA
"MT",2033,"retina",344.685816887719,6.29242476963093,2183.6172509023,17.7761987384195,794.777033850353,TRUE,"Center-West","Retinopathy","MT","model",NA
"MT",2034,"retina",366.356296272131,5.06538873224533,2130.68580809163,14.3477131194254,893.752175019686,TRUE,"Center-West","Retinopathy","MT","model",NA
"MT",2035,"retina",420.516256884359,4.49788331426921,2459.76393149249,13.058849954051,919.897518645758,TRUE,"Center-West","Retinopathy","MT","model",NA
