"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"PI",2010,"retina",90.4797939082968,73.4408292266828,108.958950009712,78.2827608260774,103.427758155414,FALSE,"Northeast","Retinopathy","PI","model",NA
"PI",2011,"retina",91.7717438550964,75.5828064784891,110.835630669684,81.3939920185076,104.03739896694,FALSE,"Northeast","Retinopathy","PI","model",NA
"PI",2012,"retina",80.3700971080905,66.4240130449971,98.5910990793347,70.4175070815254,91.1055962772113,FALSE,"Northeast","Retinopathy","PI","model",NA
"PI",2013,"retina",58.5132221540172,46.9795936656161,74.4064724421962,49.8992356081804,66.9339437799302,FALSE,"Northeast","Retinopathy","PI","model",NA
"PI",2014,"retina",74.7833350422539,61.0307502674376,90.4547663939289,65.2374791203465,85.2104960226306,FALSE,"Northeast","Retinopathy","PI","model",NA
"PI",2015,"retina",74.3380176293251,61.16796460995,91.2524356529748,65.3053608160955,83.5226272585266,FALSE,"Northeast","Retinopathy","PI","model",NA
"PI",2016,"retina",36.6695641999705,27.8601782617853,46.8569400569424,31.174988818828,43.5080006943853,FALSE,"Northeast","Retinopathy","PI","model",NA
"PI",2017,"retina",49.4230899837263,39.2283154320961,61.0369901879746,42.3711111957016,56.6946419099226,FALSE,"Northeast","Retinopathy","PI","model",NA
"PI",2018,"retina",81.8513953465318,66.6691014665764,98.7254108808881,71.2700361656662,92.6312610625868,FALSE,"Northeast","Retinopathy","PI","model",NA
"PI",2019,"retina",70.2915344822056,57.1766183625418,86.8165311213255,61.2057529070385,80.264029666523,FALSE,"Northeast","Retinopathy","PI","model",NA
"PI",2020,"retina",63.3463489025127,49.2832225756899,78.3092030483042,54.4549886813494,72.1357975608928,FALSE,"Northeast","Retinopathy","PI","model",NA
"PI",2021,"retina",78.9622757300007,64.2199121776099,94.6921259922575,70.1367223408133,87.8013897703775,FALSE,"Northeast","Retinopathy","PI","model",NA
"PI",2022,"retina",74.7063944800074,61.2109692230927,90.4569581578796,64.8508269036416,84.7141642147096,FALSE,"Northeast","Retinopathy","PI","model",NA
"PI",2023,"retina",71.3392357375021,58.2387883873128,87.1471783270399,61.6387164038113,81.5911349615329,FALSE,"Northeast","Retinopathy","PI","model",NA
"PI",2024,"retina",71.7874479811846,58.5466479777515,88.8183740674552,62.1646615944406,82.0495242850635,FALSE,"Northeast","Retinopathy","PI","model",NA
"PI",2025,"retina",77.6069121966474,26.4081640841913,164.921509738974,33.9871468743971,129.317817549052,TRUE,"Northeast","Retinopathy","PI","model",NA
"PI",2026,"retina",84.8869888337401,18.7837806464491,248.393201105688,27.7879335642857,161.120798511096,TRUE,"Northeast","Retinopathy","PI","model",NA
"PI",2027,"retina",100.441687880676,13.7528671576892,367.211932136134,21.6718978776597,203.139512263036,TRUE,"Northeast","Retinopathy","PI","model",NA
"PI",2028,"retina",112.350190502549,9.81084418335369,527.120428129364,19.9819117127608,247.877320811645,TRUE,"Northeast","Retinopathy","PI","model",NA
"PI",2029,"retina",138.922532895342,7.64801886336445,633.945579137893,15.4126751396861,296.352057510512,TRUE,"Northeast","Retinopathy","PI","model",NA
"PI",2030,"retina",160.685183963788,6.39926578690372,760.872345702964,14.7479059780029,402.957467648446,TRUE,"Northeast","Retinopathy","PI","model",NA
"PI",2031,"retina",188.78917015115,5.29171418095491,983.022664038474,13.7730220729659,434.459968655241,TRUE,"Northeast","Retinopathy","PI","model",NA
"PI",2032,"retina",201.149653520847,5.12730864889876,1132.6465515927,11.3451359394588,470.018323076724,TRUE,"Northeast","Retinopathy","PI","model",NA
