"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"PR",2010,"retina",211.619189638826,180.251582863403,244.550906806661,191.285218979716,233.804638509248,FALSE,"South","Retinopathy","PR","model",NA
"PR",2011,"retina",213.753289765177,186.364496875444,244.12427080669,194.768751930305,234.148880577151,FALSE,"South","Retinopathy","PR","model",NA
"PR",2012,"retina",199.042468603927,174.048111919688,231.222315171232,180.621415336798,219.509711789472,FALSE,"South","Retinopathy","PR","model",NA
"PR",2013,"retina",247.058197487043,211.722077802199,280.283031271336,223.593566755774,268.60481549703,FALSE,"South","Retinopathy","PR","model",NA
"PR",2014,"retina",263.185839323979,226.715440458781,305.841312926078,238.2110336523,291.39679492439,FALSE,"South","Retinopathy","PR","model",NA
"PR",2015,"retina",273.587527627143,233.648420374362,318.658089167048,248.26439868494,299.641818027702,FALSE,"South","Retinopathy","PR","model",NA
"PR",2016,"retina",314.92883099515,273.564739726251,367.674846820362,286.226656752977,344.888856931369,FALSE,"South","Retinopathy","PR","model",NA
"PR",2017,"retina",347.297197727428,299.809671776656,400.488658364641,315.476808250066,379.847299795808,FALSE,"South","Retinopathy","PR","model",NA
"PR",2018,"retina",442.589512447979,388.495822283399,509.368443232188,403.297603036004,483.95513671103,FALSE,"South","Retinopathy","PR","model",NA
"PR",2019,"retina",406.850268121436,353.804635102081,468.419532253001,372.077932788932,448.053488341013,FALSE,"South","Retinopathy","PR","model",NA
"PR",2020,"retina",343.877807705508,295.002584692755,394.907394461851,311.684406996932,374.926380298796,FALSE,"South","Retinopathy","PR","model",NA
"PR",2021,"retina",399.556307555035,351.496122313255,456.525374386469,362.88242608881,436.902024607989,FALSE,"South","Retinopathy","PR","model",NA
"PR",2022,"retina",475.605183441088,417.117502552217,533.989552666333,437.199369516439,515.781596766687,FALSE,"South","Retinopathy","PR","model",NA
"PR",2023,"retina",555.421342871068,486.855936647947,633.82899406604,509.171635547918,604.316111970846,FALSE,"South","Retinopathy","PR","model",NA
"PR",2024,"retina",534.14289915298,468.414058701907,613.41685489128,483.480360736206,583.973651262303,FALSE,"South","Retinopathy","PR","model",NA
"PR",2025,"retina",548.799907873705,165.304848701791,1302.40302342739,258.183040641748,915.365976828587,TRUE,"South","Retinopathy","PR","model",NA
"PR",2026,"retina",631.239379737676,128.464243175561,2047.43955003181,189.797603663704,1218.32861020979,TRUE,"South","Retinopathy","PR","model",NA
"PR",2027,"retina",746.313534110134,82.2256245548471,2938.26088929251,154.641593263798,1511.07096536655,TRUE,"South","Retinopathy","PR","model",NA
"PR",2028,"retina",896.56355189259,53.6757605055461,3808.12994266638,123.682346244279,2025.24725070763,TRUE,"South","Retinopathy","PR","model",NA
"PR",2029,"retina",993.438284200822,44.4555909877769,5353.55456366255,105.063967410094,2261.44026444066,TRUE,"South","Retinopathy","PR","model",NA
"PR",2030,"retina",1197.50839170445,33.04718098636,7631.73213377889,84.5879785101286,2857.90845405179,TRUE,"South","Retinopathy","PR","model",NA
"PR",2031,"retina",1436.56724569272,30.4154678377173,9331.93755535414,72.8027497638823,3535.34229398791,TRUE,"South","Retinopathy","PR","model",NA
"PR",2032,"retina",1589.54290088715,23.2678213804108,9553.90809494112,70.8742502264902,3458.87562700933,TRUE,"South","Retinopathy","PR","model",NA
"PR",2033,"retina",1892.34629311705,18.6425122777578,11018.3484021861,72.6792191800043,4344.74441709565,TRUE,"South","Retinopathy","PR","model",NA
"PR",2034,"retina",2218.30802766044,18.1593209962845,13297.6212271864,70.5157688356036,4783.1540806817,TRUE,"South","Retinopathy","PR","model",NA
"PR",2035,"retina",2540.9632969876,15.2621613151725,19623.8905626488,66.9573732077473,5607.29799544204,TRUE,"South","Retinopathy","PR","model",NA
"PR",2036,"retina",2879.02729300759,15.3033285046583,21558.8004387822,60.9312251907201,5705.30205299464,TRUE,"South","Retinopathy","PR","model",NA
"PR",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",202.756350712535
"PR",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",209.552374886067
"PR",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",192.824001231931
"PR",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",231.319836426841
"PR",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",244.765131132789
"PR",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",258.223519197253
"PR",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",306.281640301635
"PR",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",336.633005844058
"PR",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",418.291710824092
"PR",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",416.154209486628
"PR",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",353.667255556386
"PR",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",422.369707065601
"PR",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",492.62024592348
"PR",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",571.837141889441
"PR",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",560.915734675536
