"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"RJ",2010,"retina",38.2214304047105,32.1998532177391,44.4363774334102,34.0521556397597,42.2153622936325,FALSE,"Southeast","Retinopathy","RJ","model",NA
"RJ",2011,"retina",39.6225422568891,33.2277284081091,46.541036636077,35.3960691991802,44.0754118383506,FALSE,"Southeast","Retinopathy","RJ","model",NA
"RJ",2012,"retina",57.9612406216879,49.1865131820528,68.1627266221132,52.2905487315794,64.1844844540187,FALSE,"Southeast","Retinopathy","RJ","model",NA
"RJ",2013,"retina",68.0187220591746,58.5862899679833,79.1786192714318,61.3849276667931,74.8192135519484,FALSE,"Southeast","Retinopathy","RJ","model",NA
"RJ",2014,"retina",81.3989935725594,70.0316165460766,93.5186364204762,73.2536291356674,89.8617013234754,FALSE,"Southeast","Retinopathy","RJ","model",NA
"RJ",2015,"retina",99.3494532643676,86.8268114008485,116.75277783997,90.3965470309467,108.835820713594,FALSE,"Southeast","Retinopathy","RJ","model",NA
"RJ",2016,"retina",84.6238568564417,72.398191862571,98.2604022811777,77.1017164198339,93.053747008841,FALSE,"Southeast","Retinopathy","RJ","model",NA
"RJ",2017,"retina",100.446316506682,85.466716215465,115.706532928748,91.376339289319,109.950040518609,FALSE,"Southeast","Retinopathy","RJ","model",NA
"RJ",2018,"retina",124.095454148579,108.665980762951,142.733745153517,112.993306912847,136.241378655541,FALSE,"Southeast","Retinopathy","RJ","model",NA
"RJ",2019,"retina",129.713543550937,113.692334252297,149.62916737758,117.647162092167,142.368974581627,FALSE,"Southeast","Retinopathy","RJ","model",NA
"RJ",2020,"retina",101.226961004427,87.3352586988762,118.256941848633,91.9656710419444,111.669149121565,FALSE,"Southeast","Retinopathy","RJ","model",NA
"RJ",2021,"retina",176.242706349255,154.512285150444,200.709514509033,161.589761500461,193.389570495823,FALSE,"Southeast","Retinopathy","RJ","model",NA
"RJ",2022,"retina",208.322631376539,181.529224493918,238.997213319683,190.031705114168,227.225231410676,FALSE,"Southeast","Retinopathy","RJ","model",NA
"RJ",2023,"retina",247.139637999119,216.811844690875,284.220060229648,225.885950603838,270.800300033128,FALSE,"Southeast","Retinopathy","RJ","model",NA
"RJ",2024,"retina",283.480899223656,244.851623400582,326.621438549312,257.090090309651,310.848858876119,FALSE,"Southeast","Retinopathy","RJ","model",NA
"RJ",2025,"retina",295.451226483197,95.3970188315692,724.916051016281,138.895809742159,466.460128940589,TRUE,"Southeast","Retinopathy","RJ","model",NA
"RJ",2026,"retina",345.090040586218,63.3862131896215,1087.88616507841,105.938516870697,704.93771822884,TRUE,"Southeast","Retinopathy","RJ","model",NA
"RJ",2027,"retina",376.813142724539,45.1000823342869,1580.66003041646,88.1097314582223,744.168261549253,TRUE,"Southeast","Retinopathy","RJ","model",NA
"RJ",2028,"retina",427.659423123948,38.8581661950246,1800.67381069884,76.7659172026345,875.973491643551,TRUE,"Southeast","Retinopathy","RJ","model",NA
"RJ",2029,"retina",475.572720031548,29.4991035985651,2065.60474352766,64.3543557770158,1084.08695492253,TRUE,"Southeast","Retinopathy","RJ","model",NA
"RJ",2030,"retina",538.317386209446,33.2676580392775,2739.21481228398,61.6406066596003,1214.3594967917,TRUE,"Southeast","Retinopathy","RJ","model",NA
"RJ",2031,"retina",575.955196686312,24.8123297905862,3197.47174081636,60.2283591481905,1350.91868487384,TRUE,"Southeast","Retinopathy","RJ","model",NA
"RJ",2032,"retina",679.792740137094,20.7773074617178,4348.41412967835,51.2335908589231,1534.11895965153,TRUE,"Southeast","Retinopathy","RJ","model",NA
"RJ",2033,"retina",785.604196543252,16.1703081833164,4183.59953501194,40.9012986905596,1831.44259183076,TRUE,"Southeast","Retinopathy","RJ","model",NA
"RJ",2034,"retina",1231.90042314803,15.0544797971719,5914.10161525748,39.5576914338463,1910.00706759924,TRUE,"Southeast","Retinopathy","RJ","model",NA
"RJ",2035,"retina",1193.34188205644,14.247820765652,7732.10566939728,42.615711387246,2247.96057168177,TRUE,"Southeast","Retinopathy","RJ","model",NA
"RJ",2036,"retina",1336.64180277808,11.530452259654,9747.39410590339,35.8138720144798,2580.38483476031,TRUE,"Southeast","Retinopathy","RJ","model",NA
"RJ",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",33.9460715299433
"RJ",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",38.2379932701132
"RJ",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",57.6260087309768
"RJ",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",71.1027099607267
"RJ",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",81.4328942004454
"RJ",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",100.580239133815
"RJ",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",85.9388863759378
"RJ",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",100.701605092546
"RJ",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",129.166670611892
"RJ",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",134.743508280913
"RJ",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",103.489336041768
"RJ",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",195.918677218316
"RJ",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",228.085927045152
"RJ",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",268.397980616103
"RJ",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",313.432819065517
