"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"RS",2010,"retina",168.038375519609,143.827513062535,193.904019668381,152.174969133607,184.149379557313,FALSE,"South","Retinopathy","RS","model",NA
"RS",2011,"retina",140.65701820761,121.716646075616,161.444455163017,126.966884781735,154.539937518486,FALSE,"South","Retinopathy","RS","model",NA
"RS",2012,"retina",103.602248063482,87.4184496405126,121.2889020331,92.6261871722413,115.201801071517,FALSE,"South","Retinopathy","RS","model",NA
"RS",2013,"retina",127.220363047837,109.504838244211,147.334074299003,114.827269613221,139.491912530901,FALSE,"South","Retinopathy","RS","model",NA
"RS",2014,"retina",119.780536432847,104.094655569243,140.99062295714,108.445484273429,130.421487516689,FALSE,"South","Retinopathy","RS","model",NA
"RS",2015,"retina",160.109498782745,136.966399309341,188.388370773388,144.292482731031,176.136371601609,FALSE,"South","Retinopathy","RS","model",NA
"RS",2016,"retina",170.303197801407,144.265890855716,199.450773980272,152.844273688221,188.882564350683,FALSE,"South","Retinopathy","RS","model",NA
"RS",2017,"retina",216.769954493482,187.969626317203,248.56549651879,196.1696752612,236.477749041574,FALSE,"South","Retinopathy","RS","model",NA
"RS",2018,"retina",251.789122223169,218.628526609333,292.830163476303,228.730858254544,277.767697958425,FALSE,"South","Retinopathy","RS","model",NA
"RS",2019,"retina",312.415934270741,267.435752117095,359.513020873247,283.372786121312,342.206122207178,FALSE,"South","Retinopathy","RS","model",NA
"RS",2020,"retina",217.83927042369,187.602608735436,252.607493256477,198.360454306981,239.540888072056,FALSE,"South","Retinopathy","RS","model",NA
"RS",2021,"retina",258.761463944851,225.657472510757,298.760350856908,234.657273748102,281.340897248559,FALSE,"South","Retinopathy","RS","model",NA
"RS",2022,"retina",266.474538820786,234.343628115589,306.156335940519,243.778895128647,291.227522365496,FALSE,"South","Retinopathy","RS","model",NA
"RS",2023,"retina",314.042476790257,275.399280101412,362.080834742387,286.649720565457,342.574113033541,FALSE,"South","Retinopathy","RS","model",NA
"RS",2024,"retina",370.925921446974,325.958195047771,423.444158397866,339.233562419075,407.266535306932,FALSE,"South","Retinopathy","RS","model",NA
"RS",2025,"retina",379.558196931625,132.191193516739,848.535810598695,177.317407623111,636.72493325095,TRUE,"South","Retinopathy","RS","model",NA
"RS",2026,"retina",431.723537638391,95.1839974582436,1486.32794641025,141.803898254768,805.894890962204,TRUE,"South","Retinopathy","RS","model",NA
"RS",2027,"retina",502.657858793329,64.1427885697821,1852.03323082075,121.652777339378,1041.53300809296,TRUE,"South","Retinopathy","RS","model",NA
"RS",2028,"retina",590.195576984284,49.6519211559071,2281.02885746968,92.2369181010365,1302.89145766047,TRUE,"South","Retinopathy","RS","model",NA
"RS",2029,"retina",690.539137166966,38.7358478904435,3302.01781976412,90.4211914297312,1589.19011537761,TRUE,"South","Retinopathy","RS","model",NA
"RS",2030,"retina",817.542428834397,37.3131715006389,4797.39413196196,82.842851149866,1720.41929954938,TRUE,"South","Retinopathy","RS","model",NA
"RS",2031,"retina",945.245174916168,36.2535784075684,5013.68327856252,73.9032347941302,2004.83465506377,TRUE,"South","Retinopathy","RS","model",NA
"RS",2032,"retina",1083.56751240708,27.3542467667803,6759.56249966396,68.2924020030225,2405.18476556571,TRUE,"South","Retinopathy","RS","model",NA
"RS",2033,"retina",1288.93166892396,23.6984390799176,7375.00455359315,57.5159148446671,3046.11140206096,TRUE,"South","Retinopathy","RS","model",NA
"RS",2034,"retina",1416.77736559217,21.6965661619131,8089.99378688007,53.0661191855723,3209.5498086457,TRUE,"South","Retinopathy","RS","model",NA
"RS",2035,"retina",1704.81295535799,18.0814336725789,9280.19022726624,49.010971285716,3172.85281186345,TRUE,"South","Retinopathy","RS","model",NA
"RS",2036,"retina",2169.25833088138,16.4494582137362,11741.3987420581,40.2903397694739,3424.46917214413,TRUE,"South","Retinopathy","RS","model",NA
"RS",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",145.836504280795
"RS",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",126.079038204388
"RS",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",98.6919010102473
"RS",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",121.9827296024
"RS",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",109.431630946472
"RS",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",153.427386445352
"RS",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",152.603396983131
"RS",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",201.948515360619
"RS",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",235.496993614993
"RS",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",306.835086603909
"RS",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",216.7354238436
"RS",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",256.246321802403
"RS",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",259.829946175624
"RS",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",307.256229235265
"RS",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",364.505257784329
