"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"SC",2010,"retina",77.2324297619054,64.8648117217668,92.8602343780408,68.6343031544258,86.4936253144932,FALSE,"South","Retinopathy","SC","model",NA
"SC",2011,"retina",100.104152282264,83.1495944702145,118.644309136252,89.1011427551215,111.295482440082,FALSE,"South","Retinopathy","SC","model",NA
"SC",2012,"retina",98.3541070397837,82.1166167382958,118.126874014128,87.6070168629212,110.063926310046,FALSE,"South","Retinopathy","SC","model",NA
"SC",2013,"retina",121.47687220593,103.6983774306,142.60726725069,108.750224576752,134.502636402419,FALSE,"South","Retinopathy","SC","model",NA
"SC",2014,"retina",139.252398127224,120.814269003809,162.898250386924,126.344715342357,153.322045615697,FALSE,"South","Retinopathy","SC","model",NA
"SC",2015,"retina",149.667848567083,127.754860193654,175.926359466716,134.484239035956,164.374812889744,FALSE,"South","Retinopathy","SC","model",NA
"SC",2016,"retina",187.082846459415,160.588977528644,218.480659186386,168.250950798599,206.542586178681,FALSE,"South","Retinopathy","SC","model",NA
"SC",2017,"retina",124.682983617994,107.100539592111,145.70061478189,111.453228508278,137.872288647214,FALSE,"South","Retinopathy","SC","model",NA
"SC",2018,"retina",151.209516470062,130.233259958975,175.665269871179,136.091723824847,165.880075993796,FALSE,"South","Retinopathy","SC","model",NA
"SC",2019,"retina",208.266715416917,179.642618370097,242.80045752917,188.622587758931,230.139944537376,FALSE,"South","Retinopathy","SC","model",NA
"SC",2020,"retina",177.266229292233,152.034759649829,205.772737945932,159.995174663827,194.819584254039,FALSE,"South","Retinopathy","SC","model",NA
"SC",2021,"retina",159.870065368051,136.790589539262,186.960500391403,144.530574323166,175.742007669555,FALSE,"South","Retinopathy","SC","model",NA
"SC",2022,"retina",229.711081459706,199.250269272583,263.795979090801,207.931425283192,251.517175801819,FALSE,"South","Retinopathy","SC","model",NA
"SC",2023,"retina",306.539516621017,269.423240517092,350.616020713614,279.253338790149,337.205893440018,FALSE,"South","Retinopathy","SC","model",NA
"SC",2024,"retina",507.125717640846,437.728771668769,589.745042251286,460.950961817377,554.495584153181,FALSE,"South","Retinopathy","SC","model",NA
"SC",2025,"retina",523.501058858988,173.101673558225,1229.04844557989,252.310910275254,873.227765514701,TRUE,"South","Retinopathy","SC","model",NA
"SC",2026,"retina",587.452649525447,109.497198896508,1656.13331781269,200.881833781633,1087.64296332923,TRUE,"South","Retinopathy","SC","model",NA
"SC",2027,"retina",661.167993549698,90.6782771099997,2558.19142274701,164.033062144825,1348.04759006869,TRUE,"South","Retinopathy","SC","model",NA
"SC",2028,"retina",770.677994459607,74.4923411158258,3395.82946295948,138.411014581517,1768.2417596561,TRUE,"South","Retinopathy","SC","model",NA
"SC",2029,"retina",918.538219375892,58.0526322597761,4788.48789552158,123.086734228084,1999.82123003913,TRUE,"South","Retinopathy","SC","model",NA
"SC",2030,"retina",1051.09343900435,45.9127826531092,5557.33507962528,104.420543834689,2343.69396250661,TRUE,"South","Retinopathy","SC","model",NA
"SC",2031,"retina",1141.22521386304,44.4241151842298,6991.27830531558,98.2541428589028,2391.97057555319,TRUE,"South","Retinopathy","SC","model",NA
"SC",2032,"retina",1405.40910505999,42.2691842031185,8706.73174944002,91.9648665639198,2812.36324148265,TRUE,"South","Retinopathy","SC","model",NA
"SC",2033,"retina",1625.12079944812,27.5204646209038,12328.8635937632,74.5471053721968,3316.79489774115,TRUE,"South","Retinopathy","SC","model",NA
"SC",2034,"retina",1982.471666857,23.6152101936831,15086.4112530155,71.9381588681563,3442.77755274989,TRUE,"South","Retinopathy","SC","model",NA
"SC",2035,"retina",2330.68034002359,18.7102543190677,15809.1610383412,67.0898017499159,5013.44243721761,TRUE,"South","Retinopathy","SC","model",NA
"SC",2036,"retina",2450.7142249131,17.8419360554378,17776.8440150788,72.5033816230377,5207.47638174757,TRUE,"South","Retinopathy","SC","model",NA
"SC",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",67.541077255167
"SC",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",93.0514341246925
"SC",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",89.6491289382396
"SC",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",113.815116685976
"SC",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",130.536227440669
"SC",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",139.466265655343
"SC",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",178.204208453026
"SC",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",111.361364300013
"SC",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",142.53836625675
"SC",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",200.838804020023
"SC",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",179.388352570537
"SC",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",162.436637364048
"SC",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",233.11032685965
"SC",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",290.302903474285
"SC",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",549.565728764604
