"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"SE",2010,"retina",83.0500891560576,66.4977645067953,105.525136615063,71.3502572172259,95.9318529923865,FALSE,"Northeast","Retinopathy","SE","model",NA
"SE",2011,"retina",332.04192553309,280.877701918846,391.453605463947,296.373076503429,366.024448437252,FALSE,"Northeast","Retinopathy","SE","model",NA
"SE",2012,"retina",318.596816511079,268.867985826108,377.614236207811,285.812428098933,353.591172403755,FALSE,"Northeast","Retinopathy","SE","model",NA
"SE",2013,"retina",220.960802799329,184.590677465798,264.266467487423,196.771726659987,249.731718378169,FALSE,"Northeast","Retinopathy","SE","model",NA
"SE",2014,"retina",198.39134557101,166.390616185116,237.132336272281,175.65359066196,222.02770942686,FALSE,"Northeast","Retinopathy","SE","model",NA
"SE",2015,"retina",154.062677563584,126.598609976439,186.093334473212,135.013370761815,173.08308682586,FALSE,"Northeast","Retinopathy","SE","model",NA
"SE",2016,"retina",159.855808721359,134.443041613599,191.295216540702,141.037699710515,178.363876998668,FALSE,"Northeast","Retinopathy","SE","model",NA
"SE",2017,"retina",139.973801852408,114.629377345992,173.401570649675,121.899197076018,160.437378059034,FALSE,"Northeast","Retinopathy","SE","model",NA
"SE",2018,"retina",205.353836462277,172.281999939071,244.948617584908,183.444573092456,229.663317956068,FALSE,"Northeast","Retinopathy","SE","model",NA
"SE",2019,"retina",162.421591123709,135.010943694341,195.422517819621,144.121685283755,183.405681373458,FALSE,"Northeast","Retinopathy","SE","model",NA
"SE",2020,"retina",119.447105141605,97.9056369387648,145.704847179157,105.000188042114,135.366998896176,FALSE,"Northeast","Retinopathy","SE","model",NA
"SE",2021,"retina",184.498196600844,154.738416855691,220.864981306621,162.862567704695,207.716996604733,FALSE,"Northeast","Retinopathy","SE","model",NA
"SE",2022,"retina",190.682185815337,159.384215885843,225.950589477898,167.830702514132,213.734280596701,FALSE,"Northeast","Retinopathy","SE","model",NA
"SE",2023,"retina",223.72901935299,187.577868475039,264.927891924405,198.900744057717,250.507853614808,FALSE,"Northeast","Retinopathy","SE","model",NA
"SE",2024,"retina",265.00610601433,226.224599640036,306.640909767913,236.016235844858,293.095472243616,FALSE,"Northeast","Retinopathy","SE","model",NA
"SE",2025,"retina",273.608760031726,94.5791778079135,606.479765830565,130.362636052012,443.063156402324,TRUE,"Northeast","Retinopathy","SE","model",NA
"SE",2026,"retina",316.760427897077,62.0114997151667,991.829962954364,101.610274595988,653.342498453182,TRUE,"Northeast","Retinopathy","SE","model",NA
"SE",2027,"retina",353.525257046098,48.7120219394794,1343.21794850475,81.7542855395278,822.121677170499,TRUE,"Northeast","Retinopathy","SE","model",NA
"SE",2028,"retina",404.761031106046,38.3796863294623,1712.96918865605,68.9765031512351,840.22687319362,TRUE,"Northeast","Retinopathy","SE","model",NA
"SE",2029,"retina",498.064892544238,27.7072742470106,2489.84211867328,65.4384334700579,1129.68239864925,TRUE,"Northeast","Retinopathy","SE","model",NA
"SE",2030,"retina",597.448791792026,22.3007556421233,3099.29424212199,57.1680067466554,1154.54109883857,TRUE,"Northeast","Retinopathy","SE","model",NA
"SE",2031,"retina",700.801950478241,23.3485282424112,4688.34120485216,46.4789163514199,1566.68478783602,TRUE,"Northeast","Retinopathy","SE","model",NA
"SE",2032,"retina",751.746299937581,15.3081044105155,5291.75712151082,45.2635274476612,1723.42211420123,TRUE,"Northeast","Retinopathy","SE","model",NA
"SE",2033,"retina",868.908090426008,15.4042824454771,6679.00145038489,38.8544775150227,1727.21733680119,TRUE,"Northeast","Retinopathy","SE","model",NA
"SE",2034,"retina",1031.11063418514,13.6735449567793,8529.74955233026,37.3006774548429,1993.34520393281,TRUE,"Northeast","Retinopathy","SE","model",NA
"SE",2035,"retina",1104.18197992543,15.0101455211046,8449.96874573328,34.1850051105071,1880.10476618213,TRUE,"Northeast","Retinopathy","SE","model",NA
"SE",2036,"retina",1249.80700403976,12.49408969842,10432.8303163751,33.6316415489708,2349.16737940174,TRUE,"Northeast","Retinopathy","SE","model",NA
"SE",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",73.0886746461416
"SE",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",345.977622846031
"SE",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",315.830174429319
"SE",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",221.024377146929
"SE",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",204.882453033302
"SE",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",149.803757078228
"SE",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",162.913643750593
"SE",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",139.460243027479
"SE",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",206.197884448247
"SE",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",167.80958028679
"SE",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",120.97892423059
"SE",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",192.379922864812
"SE",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",199.966632074045
"SE",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",221.104679395243
"SE",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",257.0525114852
