"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"SP",2010,"retina",181.593190828686,156.93304707474,209.091195688481,164.774701316541,197.860497795979,FALSE,"Southeast","Retinopathy","SP","model",NA
"SP",2011,"retina",183.009798649859,160.342693821186,210.017567515091,165.988912394009,200.304225838861,FALSE,"Southeast","Retinopathy","SP","model",NA
"SP",2012,"retina",172.87722186458,152.458578554241,196.416291051976,158.712289005943,188.49454643816,FALSE,"Southeast","Retinopathy","SP","model",NA
"SP",2013,"retina",183.606485742238,159.832759922151,209.371610504867,167.809754846124,199.829680750481,FALSE,"Southeast","Retinopathy","SP","model",NA
"SP",2014,"retina",192.053188915621,167.761936235897,220.433957916862,174.668618888199,208.364558722066,FALSE,"Southeast","Retinopathy","SP","model",NA
"SP",2015,"retina",198.072008979924,174.355601945597,225.204191411844,181.481103099167,214.666829287772,FALSE,"Southeast","Retinopathy","SP","model",NA
"SP",2016,"retina",200.952115381598,175.047090717204,230.418696807539,182.933781204213,217.929451480149,FALSE,"Southeast","Retinopathy","SP","model",NA
"SP",2017,"retina",211.540092058968,185.658210756652,242.19382803458,193.532499091666,230.089540518254,FALSE,"Southeast","Retinopathy","SP","model",NA
"SP",2018,"retina",218.552043844029,191.148905479414,248.788038777891,200.586222977421,237.572214850688,FALSE,"Southeast","Retinopathy","SP","model",NA
"SP",2019,"retina",229.682995724167,200.404466975919,262.080153093447,210.779340313378,249.103090323504,FALSE,"Southeast","Retinopathy","SP","model",NA
"SP",2020,"retina",182.16406096718,157.123910499188,208.843841259797,166.351234610408,197.822655034095,FALSE,"Southeast","Retinopathy","SP","model",NA
"SP",2021,"retina",178.779489818956,155.981643826671,204.44540192939,163.627315434744,195.194455649469,FALSE,"Southeast","Retinopathy","SP","model",NA
"SP",2022,"retina",218.070220151017,191.143993060543,247.273358386366,199.870291866045,237.508017221255,FALSE,"Southeast","Retinopathy","SP","model",NA
"SP",2023,"retina",224.228086965292,195.523844772533,256.132937069987,204.689781638653,243.086695298859,FALSE,"Southeast","Retinopathy","SP","model",NA
"SP",2024,"retina",264.728536503296,231.590358653797,304.714666050218,241.362280425194,289.60493631542,FALSE,"Southeast","Retinopathy","SP","model",NA
"SP",2025,"retina",267.50812058353,89.6316647095433,596.055353473881,121.988254442161,439.92921890736,TRUE,"Southeast","Retinopathy","SP","model",NA
"SP",2026,"retina",302.080240723151,60.2388285325993,926.239240074745,93.5601873067556,556.493010673855,TRUE,"Southeast","Retinopathy","SP","model",NA
"SP",2027,"retina",341.080038781324,41.0989945437763,1279.05131105173,73.9576233347714,707.324690371145,TRUE,"Southeast","Retinopathy","SP","model",NA
"SP",2028,"retina",390.325008090275,35.6567690143497,1636.71756831081,61.5975329776498,901.533645316323,TRUE,"Southeast","Retinopathy","SP","model",NA
"SP",2029,"retina",457.483740179221,23.3535152293463,2164.03650970078,58.99277891106,1069.41188278742,TRUE,"Southeast","Retinopathy","SP","model",NA
"SP",2030,"retina",526.779933190309,21.3011258296381,2740.64831748807,49.2104586247357,1185.33178379532,TRUE,"Southeast","Retinopathy","SP","model",NA
"SP",2031,"retina",598.050672979352,15.9731319470553,2989.66316578934,47.2787105693073,1506.97189338258,TRUE,"Southeast","Retinopathy","SP","model",NA
"SP",2032,"retina",685.867657570587,14.1204579279181,3587.65600702695,37.2641651664459,1558.24757509876,TRUE,"Southeast","Retinopathy","SP","model",NA
"SP",2033,"retina",760.982371922231,12.852533541155,4675.14354537965,43.3018478345679,1748.01166441873,TRUE,"Southeast","Retinopathy","SP","model",NA
"SP",2034,"retina",908.519136976941,11.9045243102882,5398.28360826591,40.1616051822349,1722.67429101571,TRUE,"Southeast","Retinopathy","SP","model",NA
"SP",2035,"retina",1055.66983489365,10.5348400113277,5366.50240325537,36.8078848567848,2083.38651654812,TRUE,"Southeast","Retinopathy","SP","model",NA
"SP",2036,"retina",1194.10510181814,10.1671674640194,9440.72830797877,31.9295855126419,2480.38846872407,TRUE,"Southeast","Retinopathy","SP","model",NA
"SP",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",166.418147317332
"SP",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",166.613457745163
"SP",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",162.95094309992
"SP",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",171.539032680239
"SP",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",182.376015374642
"SP",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",186.123874857942
"SP",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",192.816828901816
"SP",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",207.422409606
"SP",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",217.614967626653
"SP",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",227.921262819124
"SP",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",179.579964572812
"SP",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",173.748389925315
"SP",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",219.222356431617
"SP",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",224.620166787912
"SP",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",265.3182279907
