"state","year","disease","mean_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f","layer","obs_rate"
"TO",2010,"retina",4.40853085185416,1.74289339473619,8.30074747320913,2.410682288169,6.61324428670129,FALSE,"North","Retinopathy","TO","model",NA
"TO",2011,"retina",3.23716458612883,1.26298993581357,6.01495630651999,1.84530901786717,4.90234883785604,FALSE,"North","Retinopathy","TO","model",NA
"TO",2012,"retina",2.80203274019604,1.14911965533671,5.62841510661887,1.55212558084558,4.25629639951858,FALSE,"North","Retinopathy","TO","model",NA
"TO",2013,"retina",2.25083554905613,0.87255525431002,4.32615774566202,1.21458131821157,3.40376038907667,FALSE,"North","Retinopathy","TO","model",NA
"TO",2014,"retina",1.48344076385345,0.551332444771921,2.91949846933362,0.76878798486351,2.33898644638381,FALSE,"North","Retinopathy","TO","model",NA
"TO",2015,"retina",1.36732740046472,0.485129755711358,2.88546273360982,0.657582065252604,2.19239923445897,FALSE,"North","Retinopathy","TO","model",NA
"TO",2016,"retina",1.37576946977068,0.478000377911467,2.91692621128962,0.689373668177286,2.15659935617529,FALSE,"North","Retinopathy","TO","model",NA
"TO",2017,"retina",1.93330921630917,0.744210626637655,3.65239621148038,1.04702870302576,2.85122901078067,FALSE,"North","Retinopathy","TO","model",NA
"TO",2018,"retina",1.6892582104188,0.650468786541431,3.63612073944752,0.869057862002511,2.59289652478206,FALSE,"North","Retinopathy","TO","model",NA
"TO",2019,"retina",1.73588916384115,0.664038884996545,3.68482175003773,0.941820852996644,2.65176274955269,FALSE,"North","Retinopathy","TO","model",NA
"TO",2020,"retina",2.09722561238878,0.890553078066888,4.05058911909824,1.17170617535996,3.19674916999761,FALSE,"North","Retinopathy","TO","model",NA
"TO",2021,"retina",2.70968269212387,1.22065766400402,4.96800944316612,1.62558362312403,4.04169056825798,FALSE,"North","Retinopathy","TO","model",NA
"TO",2022,"retina",4.34354819904893,2.16111949182497,7.43876836355231,2.75752941224874,6.07642622494267,FALSE,"North","Retinopathy","TO","model",NA
"TO",2023,"retina",8.43150112679769,5.09346580395211,13.1281625656652,5.87773878705527,11.1680852631922,FALSE,"North","Retinopathy","TO","model",NA
"TO",2024,"retina",22.0673091293943,14.1264881390086,31.5693234209751,16.9666692183054,27.5723866628818,FALSE,"North","Retinopathy","TO","model",NA
"TO",2025,"retina",24.151442849986,7.95588388482246,57.5437434050902,10.8654621624616,41.377641637476,TRUE,"North","Retinopathy","TO","model",NA
"TO",2026,"retina",28.023219369232,5.32331605065813,82.3553349636763,8.8494189286727,54.222880290286,TRUE,"North","Retinopathy","TO","model",NA
"TO",2027,"retina",31.021929420969,4.08984964693575,130.77964723746,6.85634710739998,62.0754744956752,TRUE,"North","Retinopathy","TO","model",NA
"TO",2028,"retina",35.7351723803809,3.32965020735598,150.453110787791,6.40145670235792,77.4859191325838,TRUE,"North","Retinopathy","TO","model",NA
"TO",2029,"retina",42.8384830319533,2.7060005519947,171.814536481361,5.76204161737235,93.3933739721824,TRUE,"North","Retinopathy","TO","model",NA
"TO",2030,"retina",49.6924921795342,2.031356580754,218.171125381043,5.37123923609704,103.842530607317,TRUE,"North","Retinopathy","TO","model",NA
"TO",2031,"retina",58.6505271216293,1.96969675929003,315.358093033424,4.42393769856152,109.378182582963,TRUE,"North","Retinopathy","TO","model",NA
"TO",2032,"retina",62.3005353166565,1.48915293692931,375.239861809005,4.01810834532803,129.643189171353,TRUE,"North","Retinopathy","TO","model",NA
"TO",2033,"retina",70.9893958624515,1.35601389977304,424.946072599934,4.21471802798936,156.439956517445,TRUE,"North","Retinopathy","TO","model",NA
"TO",2034,"retina",75.762903593685,1.10089714055091,428.55675930813,3.59747500668083,171.473332370351,TRUE,"North","Retinopathy","TO","model",NA
"TO",2035,"retina",81.8750304340973,0.910176885987608,541.788731235028,2.86387016011255,199.570951878575,TRUE,"North","Retinopathy","TO","model",NA
"TO",2036,"retina",107.504091127738,0.88842205790491,719.655497735578,2.71824337703991,214.210746506858,TRUE,"North","Retinopathy","TO","model",NA
"TO",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",2.33319411941754
"TO",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",2.27765788439747
"TO",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",3.33658464970866
"TO",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",3.25984200632409
"TO",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",0
"TO",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",1.0382814365662
"TO",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",0
"TO",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",3.97382836637903
"TO",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",0.972466554444026
"TO",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",0.952755702957449
"TO",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",1.8688584638731
"TO",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",1.83560336282536
"TO",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",3.60880222951802
"TO",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",7.09667174965781
"TO",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"observed",26.1865793780687
