"scope","year","mean_rate","lo_80","hi_80","lo_95","hi_95","is_forecast","disease","disease_label"
"Center-West",2010,485.529553263339,442.003246542981,530.186995522915,416.926149589686,553.74831044764,FALSE,"eye","Eye & Appendage Diseases"
"Center-West",2011,516.998678171124,476.399444553986,563.228608983167,455.457574009557,588.064600171359,FALSE,"eye","Eye & Appendage Diseases"
"Center-West",2012,599.036881355493,555.807878386973,642.62066759839,541.06804897682,667.707404433446,FALSE,"eye","Eye & Appendage Diseases"
"Center-West",2013,659.414281784867,606.248255611311,710.495843297521,585.470546064172,740.500612908718,FALSE,"eye","Eye & Appendage Diseases"
"Center-West",2014,726.992100024946,662.944943650396,789.947433783032,634.244058905567,826.19665639235,FALSE,"eye","Eye & Appendage Diseases"
"Center-West",2015,751.86732904571,692.101928039759,811.695529641984,665.632937019702,862.554423327776,FALSE,"eye","Eye & Appendage Diseases"
"Center-West",2016,716.684016705828,664.716357966236,773.054990526443,636.857202727688,813.465350489687,FALSE,"eye","Eye & Appendage Diseases"
"Center-West",2017,758.21355094028,702.581333607679,816.060856599807,677.411506461371,852.156458632132,FALSE,"eye","Eye & Appendage Diseases"
"Center-West",2018,798.04872599817,730.970108316111,863.405001898018,696.1566845674,898.619148956077,FALSE,"eye","Eye & Appendage Diseases"
"Center-West",2019,803.157602461314,741.083153398639,866.274604687035,709.027518119167,911.165020886427,FALSE,"eye","Eye & Appendage Diseases"
"Center-West",2020,597.817687460858,540.212683591957,659.875539929395,514.71396152903,687.287674616553,FALSE,"eye","Eye & Appendage Diseases"
"Center-West",2021,680.339071596328,621.711240128973,743.595092504961,595.739818493229,778.392029384703,FALSE,"eye","Eye & Appendage Diseases"
"Center-West",2022,864.981091132095,790.038278084915,944.464242154628,755.822778513065,985.870703177962,FALSE,"eye","Eye & Appendage Diseases"
"Center-West",2023,1124.3974114207,1028.34100846294,1231.64977368704,969.143365102994,1295.88290001757,FALSE,"eye","Eye & Appendage Diseases"
"Center-West",2024,1071.7339872145,981.990161428045,1168.20529418836,941.463830365789,1231.88267006152,FALSE,"eye","Eye & Appendage Diseases"
"Center-West",2025,998.750721210649,741.834621226862,1281.50717312846,665.804110547009,1475.47955829445,TRUE,"eye","Eye & Appendage Diseases"
"Center-West",2026,1081.32425757054,710.295347854867,1515.05679963246,583.850092094981,1888.84491551346,TRUE,"eye","Eye & Appendage Diseases"
"Center-West",2027,1148.6529797088,686.044970326302,1688.22298668119,494.98596963436,2192.7296280785,TRUE,"eye","Eye & Appendage Diseases"
"Center-West",2028,1232.83389949413,652.192854256763,1959.47813548812,504.150483233388,2726.52189709298,TRUE,"eye","Eye & Appendage Diseases"
"Center-West",2029,1343.3905138051,646.737611343646,2237.56908257912,458.256089568593,3236.48922407832,TRUE,"eye","Eye & Appendage Diseases"
"Center-West",2030,1460.10800582911,602.897542219512,2510.68457850195,457.161877417317,3670.26019765805,TRUE,"eye","Eye & Appendage Diseases"
"Center-West",2031,1567.95787087156,625.796245490193,2756.14210905538,442.707665861735,4394.9070882024,TRUE,"eye","Eye & Appendage Diseases"
"Center-West",2032,1727.39923949328,581.522161366839,3213.0285521325,442.458342192577,5333.3253069439,TRUE,"eye","Eye & Appendage Diseases"
"Center-West",2033,1849.99461633365,617.731251955679,3438.28990802176,402.15721465469,6035.2013232996,TRUE,"eye","Eye & Appendage Diseases"
"Center-West",2034,2016.64908596415,603.793861200891,4137.99321613906,374.258651021992,6677.15070949836,TRUE,"eye","Eye & Appendage Diseases"
"Center-West",2035,2197.36899249666,591.825776218818,4464.29929748713,387.345944478241,7376.682200488,TRUE,"eye","Eye & Appendage Diseases"
"Center-West",2036,2401.12752847968,597.829354680895,5222.75537624239,397.753880637238,8422.15392308328,TRUE,"eye","Eye & Appendage Diseases"
