"scope","year","mean_rate","lo_80","hi_80","lo_95","hi_95","is_forecast","disease","disease_label"
"Center-West",2010,25.5351650684621,22.5648644846907,28.4795460664034,21.2169706152002,30.5734073951154,FALSE,"glaucoma","Glaucoma"
"Center-West",2011,29.0410677872,26.0803982198282,32.2913664897003,24.4139234724031,34.2033784564096,FALSE,"glaucoma","Glaucoma"
"Center-West",2012,25.7335890828216,22.818525323756,28.6440907708068,21.3592792918402,30.3877985517735,FALSE,"glaucoma","Glaucoma"
"Center-West",2013,20.4573176529964,17.7764677252827,23.2594686204875,16.6670116584272,24.4681357035791,FALSE,"glaucoma","Glaucoma"
"Center-West",2014,19.1541388932001,16.6377399102574,21.7587734270763,15.3209838420782,23.1468064043526,FALSE,"glaucoma","Glaucoma"
"Center-West",2015,28.3564693480062,24.7117423389136,32.1376901077479,23.2890017392574,34.1214015357709,FALSE,"glaucoma","Glaucoma"
"Center-West",2016,30.9200584241956,27.6629342927634,34.4643641207043,26.3236654412611,36.7575278227459,FALSE,"glaucoma","Glaucoma"
"Center-West",2017,34.9237288916964,31.0467621455883,38.7198620407606,29.0443252840875,41.1153109540237,FALSE,"glaucoma","Glaucoma"
"Center-West",2018,44.4728793591299,40.0547476996041,48.8949706462501,38.3320442548231,52.4780176044157,FALSE,"glaucoma","Glaucoma"
"Center-West",2019,52.1809591569012,46.9121820175937,57.1418240327835,44.3238549442266,61.9029698017063,FALSE,"glaucoma","Glaucoma"
"Center-West",2020,37.936501117366,34.150430150171,41.8740155089206,32.5475408623428,44.4683405394141,FALSE,"glaucoma","Glaucoma"
"Center-West",2021,54.5972568969119,49.4847621103159,59.7065807130295,46.6921926174782,63.8425518821042,FALSE,"glaucoma","Glaucoma"
"Center-West",2022,54.0824360803568,48.8503027129727,59.7692154491087,46.4283342219002,63.047891028262,FALSE,"glaucoma","Glaucoma"
"Center-West",2023,67.7442167232978,61.3731490004049,74.4874041308162,58.7811603862574,78.6173784598514,FALSE,"glaucoma","Glaucoma"
"Center-West",2024,53.4119032957182,48.533464563444,58.6960928917738,46.3620508803014,63.6094008969546,FALSE,"glaucoma","Glaucoma"
"Center-West",2025,52.178558554243,33.3733834464624,73.4933076540064,27.1504561015445,99.757494923248,TRUE,"glaucoma","Glaucoma"
"Center-West",2026,58.9111977988312,31.5971343507133,92.5072491819865,22.7861632775963,125.104243416132,TRUE,"glaucoma","Glaucoma"
"Center-West",2027,67.7962727496975,30.2032710530678,115.183869580394,20.7617861890084,154.220844953086,TRUE,"glaucoma","Glaucoma"
"Center-West",2028,76.5732401018206,29.3105601217795,136.620975538547,19.9663585583379,201.204142430404,TRUE,"glaucoma","Glaucoma"
"Center-West",2029,88.5894407123952,29.1137593773168,163.386954594391,18.3737499455663,292.672484865447,TRUE,"glaucoma","Glaucoma"
"Center-West",2030,110.604298853936,30.0373411201207,210.801774980998,18.0541204714824,394.858529161917,TRUE,"glaucoma","Glaucoma"
"Center-West",2031,126.365504034955,28.4751554761682,232.79866049222,16.2238705122604,450.31038036036,TRUE,"glaucoma","Glaucoma"
"Center-West",2032,137.869501289094,26.424106088524,306.744411397898,14.3345326553852,607.752222751734,TRUE,"glaucoma","Glaucoma"
"Center-West",2033,152.648179950276,26.0307584016141,324.361024734374,13.1226966618587,742.237146406851,TRUE,"glaucoma","Glaucoma"
"Center-West",2034,169.172692775406,26.9244632627283,379.702640634925,14.3957892562044,774.981005775068,TRUE,"glaucoma","Glaucoma"
"Center-West",2035,193.022967363008,27.0118425037996,412.013921249824,13.5725617746165,844.075155664215,TRUE,"glaucoma","Glaucoma"
"Center-West",2036,207.385625619589,27.3731044179811,489.067398710025,14.6893315051124,1066.27715099381,TRUE,"glaucoma","Glaucoma"
