"scope","year","mean_rate","lo_80","hi_80","lo_95","hi_95","is_forecast","disease","disease_label"
"North",2010,2.90519224542263,2.29062450448536,3.55740165773624,2.08474843824521,3.8571579807616,FALSE,"glaucoma","Glaucoma"
"North",2011,2.89775222138958,2.35281866569143,3.49654449683264,2.14943520720463,3.94526827431768,FALSE,"glaucoma","Glaucoma"
"North",2012,4.32712354007402,3.55759096754103,5.08009971469169,3.21752250394701,5.6842896356783,FALSE,"glaucoma","Glaucoma"
"North",2013,1.96516132796301,1.59638781115038,2.40670125586764,1.4167453231279,2.61468642987566,FALSE,"glaucoma","Glaucoma"
"North",2014,1.43882551523313,1.1461841345364,1.75110830505229,1.01857456469654,1.93774129378587,FALSE,"glaucoma","Glaucoma"
"North",2015,1.55144676028951,1.25995734937348,1.88161671124676,1.11543813341382,2.08525371537145,FALSE,"glaucoma","Glaucoma"
"North",2016,2.76831484843184,2.25060993372189,3.32031438451164,2.03161157940462,3.6235973815393,FALSE,"glaucoma","Glaucoma"
"North",2017,3.26610489326278,2.70939878179862,3.87616466843661,2.48404768703087,4.30629222351956,FALSE,"glaucoma","Glaucoma"
"North",2018,3.8379838254609,3.19500251392467,4.50852017397147,2.94073649582054,4.98914707918896,FALSE,"glaucoma","Glaucoma"
"North",2019,7.78816868910086,6.80258307325522,8.88097175496899,6.28817663958997,9.70163221736432,FALSE,"glaucoma","Glaucoma"
"North",2020,15.5417039094937,13.5039476962117,17.6012662905876,12.8106201797079,18.6242869377489,FALSE,"glaucoma","Glaucoma"
"North",2021,16.1902401153334,14.0085359717876,18.605910188656,13.305384286269,19.8081184597759,FALSE,"glaucoma","Glaucoma"
"North",2022,10.5899993888738,9.1024008050449,12.1707996997963,8.31078578383528,13.4612617246924,FALSE,"glaucoma","Glaucoma"
"North",2023,25.5839738326978,22.4517971641404,28.8192223967575,20.5650498596778,30.9936339690968,FALSE,"glaucoma","Glaucoma"
"North",2024,23.5723652177996,20.7762343015252,26.5150289458082,19.3321429548013,28.9555511140604,FALSE,"glaucoma","Glaucoma"
"North",2025,23.9583621909592,11.8036317688925,38.2401794283882,9.07234839401196,54.03455778807,TRUE,"glaucoma","Glaucoma"
"North",2026,28.6126279994816,9.91251511818621,54.3362978628809,6.75527357487734,88.1614996614622,TRUE,"glaucoma","Glaucoma"
"North",2027,32.4183850093143,8.69564843496074,67.1578646435692,6.31441182688809,115.886045514147,TRUE,"glaucoma","Glaucoma"
"North",2028,35.9012466272826,7.96224672142344,72.8577045230598,5.50320798149454,146.419710934585,TRUE,"glaucoma","Glaucoma"
"North",2029,42.1649181704175,8.34177263644394,92.1091354890805,5.54185845576884,188.072568083174,TRUE,"glaucoma","Glaucoma"
"North",2030,51.1799489659781,7.81773126120487,109.230064601636,4.99854030116653,269.796981591662,TRUE,"glaucoma","Glaucoma"
"North",2031,55.4262233488853,7.96998584138511,134.492426352889,4.55669466018417,297.691504363188,TRUE,"glaucoma","Glaucoma"
"North",2032,63.6855857858798,7.32804652670671,139.336536915042,4.20967690680641,393.574189881145,TRUE,"glaucoma","Glaucoma"
"North",2033,73.9912651640063,7.4336832040717,161.315559764956,3.58950446634394,450.678322503588,TRUE,"glaucoma","Glaucoma"
"North",2034,77.6273935243246,6.64135698315056,182.268260633974,3.41769074798039,440.498171640137,TRUE,"glaucoma","Glaucoma"
"North",2035,87.8288390972308,7.0117320825257,218.527115313145,3.60956885501897,557.556266120831,TRUE,"glaucoma","Glaucoma"
"North",2036,99.0185045563352,6.53382147773172,243.412298166744,3.05663366398519,625.444330165156,TRUE,"glaucoma","Glaucoma"
