"scope","year","mean_rate","lo_80","hi_80","lo_95","hi_95","is_forecast","disease","disease_label"
"South",2010,164.018396808692,153.899249449119,174.572904432384,150.108173745959,179.349182711478,FALSE,"retina","Retinopathy"
"South",2011,159.017928592648,149.368295169101,168.274927969049,145.310620976645,174.873695832452,FALSE,"retina","Retinopathy"
"South",2012,138.478161553824,130.440689662726,147.167934050416,127.467789376044,151.986561709064,FALSE,"retina","Retinopathy"
"South",2013,171.171538595325,160.035382973713,181.566474806136,156.00041090487,188.023648171025,FALSE,"retina","Retinopathy"
"South",2014,178.900249567236,167.698316247598,190.294246974023,161.248579153203,195.910461487504,FALSE,"retina","Retinopathy"
"South",2015,200.732530563488,188.774519146288,212.206585429122,184.166107118426,218.237923823302,FALSE,"retina","Retinopathy"
"South",2016,229.117185302284,216.500032122121,242.291076217848,210.536793684782,251.794384483353,FALSE,"retina","Retinopathy"
"South",2017,243.592093583929,228.882571912605,258.626860365251,222.69652524408,268.553979432225,FALSE,"retina","Retinopathy"
"South",2018,298.581194616424,280.91161278544,317.030456774295,271.1129793877,330.638255708728,FALSE,"retina","Retinopathy"
"South",2019,322.950511436548,305.426389836366,341.266621421702,296.564832726309,351.89477172174,FALSE,"retina","Retinopathy"
"South",2020,255.175354408908,241.600688890111,268.88745412882,231.339645462422,279.412988466156,FALSE,"retina","Retinopathy"
"South",2021,288.410291443264,271.7484247487,304.190897385119,264.123433289796,315.368104202557,FALSE,"retina","Retinopathy"
"South",2022,338.866608530581,320.663519410372,357.96175135054,311.645642779978,369.003117201656,FALSE,"retina","Retinopathy"
"South",2023,404.125917786342,382.451087703365,426.130151544942,373.892359629788,437.31152658326,FALSE,"retina","Retinopathy"
"South",2024,464.721470505272,438.884893135427,490.493685737226,428.144956891397,503.629946786877,FALSE,"retina","Retinopathy"
"South",2025,474.971348774647,315.833882937615,675.40912143099,254.164398439852,816.32897686516,TRUE,"retina","Retinopathy"
"South",2026,557.113410897087,283.87503981686,893.074052787276,220.653815143476,1255.00526001675,TRUE,"retina","Retinopathy"
"South",2027,645.414782242016,276.482535031392,1111.11482266862,215.745193836,1573.18939520971,TRUE,"retina","Retinopathy"
"South",2028,750.45971819492,265.637342375478,1399.60777359718,195.776958324708,2191.11747338155,TRUE,"retina","Retinopathy"
"South",2029,858.616035609699,257.035707152246,1627.01108915125,173.4929621377,2574.19338231773,TRUE,"retina","Retinopathy"
"South",2030,978.966321225429,264.473450554725,1941.5874974825,184.317654818119,3064.09025008233,TRUE,"retina","Retinopathy"
"South",2031,1113.71879188778,267.173549730709,2315.88846065137,168.150008593807,3882.14107486694,TRUE,"retina","Retinopathy"
"South",2032,1308.14109128552,284.471406290641,2895.81147845033,158.505359229316,5070.13185540413,TRUE,"retina","Retinopathy"
"South",2033,1475.80267219572,261.722291000696,3103.4067146246,150.640021079657,6961.9236574394,TRUE,"retina","Retinopathy"
"South",2034,1744.91670773285,267.625170538884,3412.03762473095,132.134066054241,9708.58922291187,TRUE,"retina","Retinopathy"
"South",2035,1927.07388467593,270.179885767222,3893.60315014701,123.885305167962,9943.70267438309,TRUE,"retina","Retinopathy"
"South",2036,2231.11190861232,279.775974112448,4915.84190814379,129.235724803301,10399.4010514411,TRUE,"retina","Retinopathy"
