"scope","year","mean_rate","lo_80","hi_80","lo_95","hi_95","is_forecast","disease","disease_label"
"North",2010,2.90519224542263,2.29062450448536,3.55740165773624,2.08474843824521,3.8571579807616,FALSE,"glaucoma","Glaucoma"
"Northeast",2010,24.1962569002369,22.0881731890075,26.3886811708439,21.0628342224511,27.859791087529,FALSE,"glaucoma","Glaucoma"
"Center-West",2010,25.4619197681467,22.344795140164,28.6704537769474,21.2682412304232,30.6598535650024,FALSE,"glaucoma","Glaucoma"
"Southeast",2010,35.4249065944876,32.353275547551,38.4412716208063,30.7815475466287,40.7888554815434,FALSE,"glaucoma","Glaucoma"
"South",2010,17.6582144654265,15.8163985366487,19.6048716136321,15.1466362907203,20.7059580531437,FALSE,"glaucoma","Glaucoma"
"National",2010,26.7181261064484,25.377259375557,28.2169310119122,24.4272248298491,29.1948791269017,FALSE,"glaucoma","Glaucoma"
"North",2011,2.89775222138958,2.35281866569143,3.49654449683264,2.14943520720463,3.94526827431768,FALSE,"glaucoma","Glaucoma"
"Northeast",2011,22.0130205422257,20.2610807276743,23.9068386735745,19.4514015874582,24.8136775733135,FALSE,"glaucoma","Glaucoma"
"Center-West",2011,28.981593263242,26.0260385944982,32.0983940198782,24.6469206748631,33.959915562906,FALSE,"glaucoma","Glaucoma"
"Southeast",2011,32.9225613138334,29.9171781616892,36.2138368602753,28.5896414104092,38.4925173605696,FALSE,"glaucoma","Glaucoma"
"South",2011,16.6872146264884,15.0338614849641,18.3963940439693,14.2503330501775,19.4633845830586,FALSE,"glaucoma","Glaucoma"
"National",2011,25.1346124096694,23.5633459582666,26.7456809240796,23.0697262680048,27.8328844699172,FALSE,"glaucoma","Glaucoma"
"North",2012,4.32712354007402,3.55759096754103,5.08009971469169,3.21752250394701,5.6842896356783,FALSE,"glaucoma","Glaucoma"
"Northeast",2012,21.96725528581,20.2617268224897,23.7512646674343,19.4936664000885,24.6767611566735,FALSE,"glaucoma","Glaucoma"
"Center-West",2012,25.6934352124115,22.6593414966327,28.9534631353043,20.9817906159686,30.9088098719111,FALSE,"glaucoma","Glaucoma"
"Southeast",2012,27.5253586479153,25.198648712405,30.0276010371725,24.1103773150123,31.2731985530401,FALSE,"glaucoma","Glaucoma"
"South",2012,16.6356997009021,14.9517801607006,18.429383899107,14.0890743190366,19.5278701378447,FALSE,"glaucoma","Glaucoma"
"National",2012,22.5898661003449,21.4256118645831,23.7516459383781,20.9066297450211,24.3885082487905,FALSE,"glaucoma","Glaucoma"
"North",2013,1.96516132796301,1.59638781115038,2.40670125586764,1.4167453231279,2.61468642987566,FALSE,"glaucoma","Glaucoma"
"Northeast",2013,23.5898593252591,21.9359951673983,25.2537197658381,21.1630896069333,26.1721591859637,FALSE,"glaucoma","Glaucoma"
"Center-West",2013,20.5298934981641,18.0769259384973,23.0541484813448,16.843176973007,24.6625088035049,FALSE,"glaucoma","Glaucoma"
"Southeast",2013,25.7440812933616,23.4860409814334,28.2514997871241,22.3516379808153,29.5361933629714,FALSE,"glaucoma","Glaucoma"
"South",2013,19.4809802280776,17.4677323703112,21.5899076625307,16.827868081658,22.8393697641594,FALSE,"glaucoma","Glaucoma"
"National",2013,22.0861820100882,20.918356533596,23.3155842952249,20.2601972372768,24.0757507526099,FALSE,"glaucoma","Glaucoma"
"North",2014,1.43882551523313,1.1461841345364,1.75110830505229,1.01857456469654,1.93774129378587,FALSE,"glaucoma","Glaucoma"
"Northeast",2014,25.7444004257569,23.917253623678,27.7709991907025,23.1125240945988,28.6592006032103,FALSE,"glaucoma","Glaucoma"
"Center-West",2014,19.2071473380621,16.7791618533992,21.877679113618,15.8866764946138,23.5872921172207,FALSE,"glaucoma","Glaucoma"
"Southeast",2014,22.6794863060645,20.4400644303123,25.0442821331297,19.7463572432783,26.1395387939091,FALSE,"glaucoma","Glaucoma"
"South",2014,25.1673683781855,22.5813348848647,27.7308666974673,21.3058313772214,29.279631488579,FALSE,"glaucoma","Glaucoma"
"National",2014,22.0025706952595,20.8665375769173,23.2160423589396,20.2953744824695,23.7615136236117,FALSE,"glaucoma","Glaucoma"
"North",2015,1.55144676028951,1.25995734937348,1.88161671124676,1.11543813341382,2.08525371537145,FALSE,"glaucoma","Glaucoma"
"Northeast",2015,22.6954983560518,20.8933086914072,24.4680928753696,20.1766754011268,25.3852165895724,FALSE,"glaucoma","Glaucoma"
"Center-West",2015,28.4305134132955,25.1402142253134,31.9410195948397,23.5432224213197,34.6289067636628,FALSE,"glaucoma","Glaucoma"
"Southeast",2015,24.9313643273044,22.8380109583586,27.2410538772351,21.9525770262156,28.5636189544121,FALSE,"glaucoma","Glaucoma"
"South",2015,26.5377627498832,23.9045601685417,29.2762628445399,22.5369859460998,31.0222618530225,FALSE,"glaucoma","Glaucoma"
"National",2015,23.0735646666936,21.9503944343393,24.3044801142891,21.4329930513428,25.0393928278232,FALSE,"glaucoma","Glaucoma"
"North",2016,2.76831484843184,2.25060993372189,3.32031438451164,2.03161157940462,3.6235973815393,FALSE,"glaucoma","Glaucoma"
"Northeast",2016,23.5488740870277,21.5545678463904,25.5570544409768,20.6972568083126,26.691358550057,FALSE,"glaucoma","Glaucoma"
"Center-West",2016,31.0655252668665,27.5093309036056,34.5739806626905,26.1755001258932,36.5282442586476,FALSE,"glaucoma","Glaucoma"
"Southeast",2016,24.4658717957366,22.2658082462579,26.8390609217724,21.1477779397271,28.1248068985122,FALSE,"glaucoma","Glaucoma"
"South",2016,35.6053988835384,32.0733105174168,38.9221126636978,30.4654784189882,41.8379904224869,FALSE,"glaucoma","Glaucoma"
"National",2016,24.7179513227712,23.5121431645318,26.0265989828646,22.9585720873261,26.6349340641316,FALSE,"glaucoma","Glaucoma"
"North",2017,3.26610489326278,2.70939878179862,3.87616466843661,2.48404768703087,4.30629222351956,FALSE,"glaucoma","Glaucoma"
"Northeast",2017,27.0205280753607,24.7332002631138,29.3734469352912,23.5955400686221,30.8733748602061,FALSE,"glaucoma","Glaucoma"
"Center-West",2017,34.5407717723031,30.580681010857,38.3825958858815,28.7304413489048,41.2447653379703,FALSE,"glaucoma","Glaucoma"
"Southeast",2017,32.2317751394337,29.3672591280021,35.2324850380159,27.8237110554292,37.4491580959749,FALSE,"glaucoma","Glaucoma"
