"disease","state","region","year","mean","lo_95","hi_95"
"Glaucoma","AC","North",2010,-12.1725115685936,-13.2440065939566,-11.2263022467038
"Glaucoma","AC","North",2011,-12.4335838178547,-13.4034344087405,-11.5652687203697
"Glaucoma","AC","North",2012,-12.5826564599554,-13.536525299176,-11.7241687976069
"Glaucoma","AC","North",2013,-12.6648971911113,-13.5891222654767,-11.8209845200667
"Glaucoma","AC","North",2014,-12.689296275155,-13.5721220511796,-11.8341129149516
"Glaucoma","AC","North",2015,-12.4391937622711,-13.2864769736093,-11.6540920342329
"Glaucoma","AC","North",2016,-11.8126645798332,-12.5585561467173,-11.125332870642
"Glaucoma","AC","North",2017,-11.3782415276689,-12.0377008269996,-10.782570176606
"Glaucoma","AC","North",2018,-11.1353714330023,-11.7164531893518,-10.593231050535
"Glaucoma","AC","North",2019,-11.2126165278053,-11.7967142474621,-10.661939555533
"Glaucoma","AC","North",2020,-10.7982170671075,-11.3321605676403,-10.3035909993995
"Glaucoma","AC","North",2021,-11.860844415025,-12.5565526705256,-11.2120237102939
"Glaucoma","AC","North",2022,-12.362438937209,-13.2020895961549,-11.6351934784333
"Glaucoma","AC","North",2023,-12.5879534160792,-13.4710845499344,-11.7722638901542
"Glaucoma","AC","North",2024,-12.60136627747,-13.6541705544074,-11.678094488285
"Glaucoma","AL","Northeast",2010,-10.672504589372,-11.0158021717288,-10.3335521287081
"Glaucoma","AL","Northeast",2011,-11.9571470321634,-12.4557480268216,-11.4943691908197
"Glaucoma","AL","Northeast",2012,-12.0877596406804,-12.5876318239318,-11.6276026686268
"Glaucoma","AL","Northeast",2013,-11.4641606962673,-11.8708077658467,-11.0835716149055
"Glaucoma","AL","Northeast",2014,-11.0261609456773,-11.3862946368113,-10.6834064942757
"Glaucoma","AL","Northeast",2015,-10.9654056057085,-11.3118493211686,-10.6351127081641
"Glaucoma","AL","Northeast",2016,-10.6987696372154,-11.0174773748627,-10.3833582508576
"Glaucoma","AL","Northeast",2017,-10.9028569196224,-11.2417351201196,-10.5691985973842
"Glaucoma","AL","Northeast",2018,-10.6662504241417,-10.9757445067092,-10.3627165049644
"Glaucoma","AL","Northeast",2019,-10.9889379403218,-11.3201172616079,-10.6614731937457
"Glaucoma","AL","Northeast",2020,-12.5134774896389,-13.060583353794,-12.0124649075678
"Glaucoma","AL","Northeast",2021,-13.0815563748532,-13.705378648022,-12.4982911000434
"Glaucoma","AL","Northeast",2022,-13.6374203325003,-14.3722317984954,-12.9739462704724
"Glaucoma","AL","Northeast",2023,-13.5210328878034,-14.2503464793239,-12.8539557171461
"Glaucoma","AL","Northeast",2024,-13.4970064205441,-14.3372481080975,-12.7330099930141
"Glaucoma","AM","North",2010,-13.7070023872669,-14.832059625112,-12.7191212585681
"Glaucoma","AM","North",2011,-14.075780882464,-15.1081836045087,-13.159400759156
"Glaucoma","AM","North",2012,-14.1557905182033,-15.1413723524761,-13.2875457594425
