"Disease","Group","Subgroup","N","MAE","RMSE","Bias","Cov_80","Cov_95"
"Glaucoma","Age","25-34",345,2.39,3.65,1.58,92.2,98
"Glaucoma","Age","35-44",390,3.19,4.88,2.45,97.9,99.7
"Glaucoma","Age","45-54",390,3.65,5.51,1.36,98.7,100
"Glaucoma","Age","55-64",375,8.93,14.44,-6.39,95.5,98.9
"Glaucoma","Age","65-74",405,28.17,47.81,-24.83,84.4,98.8
"Glaucoma","Age","75-89",375,33.18,58.65,-21.88,94.9,99.5
"Glaucoma","Age","90+",345,136.38,192.36,134.55,77.1,95.4
"Glaucoma","Region","North",570,12.49,30.75,3.33,95.8,98.8
"Glaucoma","Region","Northeast",900,28.99,79.71,10.64,90.7,98.7
"Glaucoma","Region","Center-West",420,41.27,92.15,13.06,91,98.8
"Glaucoma","Region","Southeast",420,31.18,67.05,7.66,91,99.3
"Glaucoma","Region","South",315,44.78,103.47,24.16,89.2,97.5
"Glaucoma","Overall","All",2625,29.62,75.81,10.59,91.7,98.7
"Retinopathy","Age","25-34",405,14.65,19.89,13.83,93.3,99.8
"Retinopathy","Age","35-44",405,20.82,28.52,20.25,98.3,99.8
"Retinopathy","Age","45-54",405,14.44,20.45,6.51,100,100
"Retinopathy","Age","55-64",405,87.35,119.49,-84.57,87.7,98.3
"Retinopathy","Age","65-74",405,174.24,238.45,-170.35,81.5,99.5
"Retinopathy","Age","75-89",405,86.15,140.69,-35.25,99,99.5
"Retinopathy","Age","90+",390,659.58,818.19,655.95,42.3,88.7
"Retinopathy","Region","North",720,60.77,167.85,9.48,88.6,98.1
"Retinopathy","Region","Northeast",945,156,317.85,62.68,83.2,97.6
"Retinopathy","Region","Center-West",420,197.68,425.07,73.91,87.4,98.1
"Retinopathy","Region","Southeast",420,176.57,344.32,72.98,86,98.3
"Retinopathy","Region","South",315,222,425.86,85.67,88.9,98.4
"Retinopathy","Overall","All",2820,148.33,325.38,54.87,86.2,98
"Eye & Appendage Diseases","Age","25-34",405,35.59,52.84,17.14,90.4,99
"Eye & Appendage Diseases","Age","35-44",405,69.72,103.1,63.43,91.1,99
"Eye & Appendage Diseases","Age","45-54",405,95.51,141.96,85.57,98,100
"Eye & Appendage Diseases","Age","55-64",405,103.22,144.43,-50.06,98.5,100
"Eye & Appendage Diseases","Age","65-74",405,619.69,942.16,-597.09,73.8,96.3
"Eye & Appendage Diseases","Age","75-89",405,930.55,1613.11,-800.54,81.7,96.3
"Eye & Appendage Diseases","Age","90+",405,2073.55,2532.44,2067.34,52.1,89.1
"Eye & Appendage Diseases","Region","North",735,325.47,796.61,-7.73,81.9,95.9
"Eye & Appendage Diseases","Region","Northeast",945,523.11,1037.68,129.46,81.6,97
"Eye & Appendage Diseases","Region","Center-West",420,912.65,1870.76,161.13,84.3,97.1
"Eye & Appendage Diseases","Region","Southeast",420,724.17,1294.73,101.43,85.2,99.3
"Eye & Appendage Diseases","Region","South",315,538.85,1090.86,289.9,91.1,97.1
"Eye & Appendage Diseases","Overall","All",2835,561.12,1192.68,112.26,83.7,97.1
