"mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","parameter"
-7.58696762590849,0.00173389839914133,0.193219324676098,-7.95327131019891,-7.72015594634184,-7.5903418150812,-7.45955169361861,-7.19011512739384,12418.0621328666,0.999914736095367,"alpha_st[1,1]"
-7.70324952804195,0.00152165151535215,0.163976472644335,-8.02310014728657,-7.81137992737699,-7.70580563960005,-7.59504705988258,-7.37607594411875,11612.685759892,0.999833322026507,"alpha_st[1,2]"
-8.28087434157649,0.00164476015759689,0.178506594392886,-8.62905744825352,-8.40166187893026,-8.28231742933882,-8.16060131351065,-7.92813143197325,11778.8631099931,0.999954166956967,"alpha_st[1,3]"
-8.84644859572582,0.00195623722798589,0.204482972527463,-9.24428261769139,-8.98614226159521,-8.84606123788178,-8.71075882147125,-8.44768344376707,10926.2532054252,0.999836738639478,"alpha_st[1,4]"
-8.80167804513905,0.00178770595919115,0.190129873492754,-9.17421432011302,-8.93091656574635,-8.80229132979461,-8.6748303810393,-8.42773704152575,11311.1963880289,0.999647299229626,"alpha_st[1,5]"
-8.83633233766452,0.00197029098424193,0.1983017229149,-9.22696776994292,-8.96948881770015,-8.83598232131437,-8.70197951887605,-8.44175792514689,10129.5985705108,0.9996687320541,"alpha_st[1,6]"
-8.2452600572792,0.00157750703315357,0.168844999394921,-8.57327973426819,-8.35969038097977,-8.24751735803314,-8.1323506999034,-7.91325032594746,11456.0209023338,0.999767346000871,"alpha_st[1,7]"
-8.02808580335257,0.00156216565610551,0.169732129271609,-8.35504698177303,-8.14359796096506,-8.03442305762486,-7.91559573317057,-7.68881335766847,11805.2162636221,0.999780300271843,"alpha_st[1,8]"
-7.80845824640352,0.00147282811772446,0.162692295821473,-8.11964987508307,-7.92007783436535,-7.80926782772118,-7.70150628702252,-7.48326537895082,12201.966886361,1.00002256174089,"alpha_st[1,9]"
-8.04011596595652,0.00149330444272817,0.169677117816819,-8.37374073227498,-8.15545238183632,-8.04115444839633,-7.92838584720322,-7.70635869995642,12910.7015746754,0.999905865928042,"alpha_st[1,10]"
-8.35602508813527,0.00159149272281149,0.173674946231428,-8.68546619335398,-8.47554517505766,-8.35676455527922,-8.23876580959163,-8.01731174709117,11908.7185676154,0.999716101657582,"alpha_st[1,11]"
-8.85267915680486,0.00185799200368423,0.201456059509013,-9.25243758439948,-8.98833274969808,-8.8517265917826,-8.71739802640935,-8.45684428172271,11756.3630361582,0.999620478550528,"alpha_st[1,12]"
-8.756826637816,0.00175445019626772,0.186864856351527,-9.12439408245713,-8.88405053310138,-8.75756445812679,-8.63214876156045,-8.38650961347991,11344.1816991347,0.9998859766505,"alpha_st[1,13]"
-8.86462001001805,0.00197802126231098,0.214749829794532,-9.28065167844526,-9.01017954923368,-8.86646136555491,-8.71884311698724,-8.44357025596499,11787.0125327514,0.999809762714661,"alpha_st[1,14]"
-6.89779223182291,0.00157181393678191,0.178096609277447,-7.23619947343956,-7.01849166405631,-6.9036935706978,-6.77862571396172,-6.53986078732168,12838.3446970971,0.999801287292416,"alpha_st[2,1]"
-7.03250905140395,0.00144729474617546,0.164882090385976,-7.34480897196381,-7.14493849834141,-7.0338949013473,-6.92467803542898,-6.69972034430435,12978.7539287035,0.999745967622884,"alpha_st[2,2]"
-6.97962320263967,0.0013903994463293,0.158436032887414,-7.28079446586489,-7.08861025092313,-6.98246237050926,-6.87384525994604,-6.65707406225346,12984.6051189811,0.999804236653459,"alpha_st[2,3]"
-6.96031886196865,0.00141652485380076,0.161455213578417,-7.26785953704958,-7.06885273305385,-6.96392941596424,-6.85373029115483,-6.63584630904189,12991.3938500595,1.00009795347865,"alpha_st[2,4]"
-6.9415031996838,0.00136902853009348,0.161327838123176,-7.24799054458103,-7.05426047874154,-6.94700240222557,-6.83323681918694,-6.61120098898587,13886.5266061295,1.00004624932982,"alpha_st[2,5]"
-7.06933261826531,0.00138075789154126,0.166599903682438,-7.39838238351026,-7.1824458143184,-7.06956825344413,-6.95804065470905,-6.74345705212437,14558.4260190854,0.999995420037935,"alpha_st[2,6]"
-6.85687867810706,0.0013828649695211,0.155685598367096,-7.15099121529833,-6.96532088853783,-6.8576129883148,-6.75353666672469,-6.55002588220567,12674.6895246277,1.0001010059677,"alpha_st[2,7]"
-6.77687605882178,0.00136814128789168,0.155405594215219,-7.07395682350715,-6.88277642913528,-6.78041595318354,-6.67218214493065,-6.46515844082547,12902.4266261488,0.999832229177035,"alpha_st[2,8]"
-6.80066427856721,0.00132975429574824,0.15605517331626,-7.09633233339436,-6.90772910783681,-6.80339987286118,-6.69834281566403,-6.48079546417445,13772.5239648274,1.00005073353484,"alpha_st[2,9]"
-7.0110218322,0.00139281334695712,0.156255039927783,-7.30844641259216,-7.11635331008061,-7.01412983499386,-6.90715431509737,-6.69746659610987,12585.840645657,0.999995395590195,"alpha_st[2,10]"
-7.53873131365815,0.00147931388656473,0.165106758643606,-7.85385284022466,-7.65276916581471,-7.54035402384754,-7.42932948091532,-7.206696210192,12456.8729438704,0.999819968348935,"alpha_st[2,11]"
-7.76244506506208,0.00146170898231828,0.166659906431182,-8.08726341070999,-7.87420228407751,-7.76460961160228,-7.65312373463748,-7.42674227460921,12999.9126997018,1.00001245814048,"alpha_st[2,12]"
-7.80501366984092,0.00152020276136024,0.16754862186006,-8.12634192626115,-7.9205643138172,-7.80458167814159,-7.69312065805078,-7.47344091217651,12147.2700298397,0.999968471647109,"alpha_st[2,13]"
-7.64619866411946,0.00155759675130577,0.177656000561115,-7.98154402301438,-7.76958433425932,-7.64897440772011,-7.53140688674877,-7.28405234629695,13009.1732201775,0.999785928296352,"alpha_st[2,14]"
-8.50807700775828,0.00161805792416019,0.187937542107623,-8.87009110381784,-8.63590505498117,-8.51245226431426,-8.38386151231147,-8.13512576556677,13490.8388977329,0.999599739617855,"alpha_st[3,1]"
-8.75681059970806,0.00158387081049752,0.167790565740027,-9.0789223291568,-8.8678730952202,-8.76156434256725,-8.64594624532147,-8.42088472878301,11222.6538131805,0.999910334034668,"alpha_st[3,2]"
-9.19645728295586,0.00179778586134596,0.189621236946449,-9.5600023753035,-9.32711823279495,-9.19747407187192,-9.06983832565714,-8.81960783814143,11124.9490150429,1.0003100191398,"alpha_st[3,3]"
-8.81518954413068,0.00146917367908627,0.163311425140516,-9.12841902018447,-8.92556334925651,-8.81941404148989,-8.70501474325643,-8.49236022724062,12356.2549058817,0.999796137621324,"alpha_st[3,4]"
-8.58921860894903,0.00152236051560635,0.165784905884205,-8.9101096031937,-8.69974975527061,-8.59163810585673,-8.48257248723414,-8.25523423222577,11859.1879296874,0.999869889549763,"alpha_st[3,5]"
-8.10720403900656,0.0014615628925673,0.160137251825957,-8.40660794134638,-8.2167123167165,-8.10957878391194,-8.00137347495481,-7.79013894957136,12004.6561712899,0.999751094345849,"alpha_st[3,6]"
-7.80800056313941,0.00140165233612011,0.157696515214814,-8.11349790217467,-7.91424521525835,-7.811391340025,-7.70478487357718,-7.48812884779297,12657.9560192522,0.99978533134579,"alpha_st[3,7]"
-7.7253153699995,0.00137834780995418,0.155320377008785,-8.02097466088057,-7.8324963116434,-7.72811506507362,-7.62332776966491,-7.40983009053864,12698.1142712571,0.99973779024837,"alpha_st[3,8]"
-7.74979996176448,0.0014373044516289,0.161809223262271,-8.05795630157722,-7.86022136216049,-7.75149980408167,-7.64103598771362,-7.42842472136905,12673.8629026525,0.999879337708219,"alpha_st[3,9]"
-7.74400924823748,0.00148450490708361,0.158688844574323,-8.0428387352018,-7.85306824256828,-7.74568918490226,-7.63832538212738,-7.42883177598861,11426.9287914641,0.999729831303984,"alpha_st[3,10]"
-7.93928648882988,0.00151793328584604,0.166688203019117,-8.25790175900624,-8.05239397163503,-7.94113619807861,-7.82906611859993,-7.61146093832583,12058.8074477521,0.999549163368727,"alpha_st[3,11]"
-7.95087676079728,0.00152049973548418,0.161471409670212,-8.27131123615059,-8.05808317648757,-7.95292947280908,-7.84508558092136,-7.62723353543991,11277.6490506288,0.99983499892507,"alpha_st[3,12]"
-7.90090802508902,0.00142569392162955,0.160058967895206,-8.20521715685964,-8.00977439525752,-7.90515250886306,-7.7938814669371,-7.57850729042892,12603.971956201,0.999907804934558,"alpha_st[3,13]"
