"mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","parameter"
-11.7340618426721,0.00584010418407512,0.503888858102497,-12.779756028155,-12.0548138588231,-11.7118595355748,-11.3954025993873,-10.7999907189682,7444.37636050363,1.00036284424368,"alpha_st[1,1]"
-11.9637491801147,0.0058618013697424,0.457959942621535,-12.9151540382088,-12.2645639752032,-11.9467965346957,-11.6475919933252,-11.1148520917372,6103.69450184909,1.00057199506118,"alpha_st[1,2]"
-12.1007406735451,0.00587959085543771,0.444676233631329,-13.0084908675066,-12.3921771208197,-12.0813685173227,-11.7961165279503,-11.2746583110387,5719.96834813712,1.0003673488074,"alpha_st[1,3]"
-12.1711931282846,0.00582318411269758,0.442774804798354,-13.0752657181526,-12.4599475405119,-12.1547867079935,-11.8664272023167,-11.3381588191363,5781.55627921242,1.00032751294214,"alpha_st[1,4]"
-12.1722728332526,0.00560689614247941,0.431754575895587,-13.0547394494115,-12.4582785275992,-12.1595837989282,-11.8779544690008,-11.3529437054621,5929.6474757895,1.00029841532363,"alpha_st[1,5]"
-11.941230211588,0.00527447230991204,0.406979044463474,-12.7542959532123,-12.2162326673335,-11.932562015901,-11.6555747098733,-11.1749047265718,5953.6878661822,1.00021573240153,"alpha_st[1,6]"
-11.4028542308983,0.00395080009844318,0.357449043150437,-12.1253295990184,-11.6430457788094,-11.3900321256306,-11.15328042674,-10.7336147329226,8185.74413971939,0.999756198211915,"alpha_st[1,7]"
-10.9968135714717,0.00341516838226669,0.322332646936975,-11.6285820025782,-11.2141822859932,-10.9978928509618,-10.7741370387604,-10.387827472229,8908.08488757095,0.999756586239696,"alpha_st[1,8]"
-10.7471462567565,0.00321746000720561,0.304584417993615,-11.3565188362591,-10.9556225290391,-10.7416375731525,-10.5399408008897,-10.1677363110113,8961.67209012345,0.99975986304053,"alpha_st[1,9]"
-10.7932241341944,0.0031671716140404,0.312155145639233,-11.4151669703233,-11.002990185111,-10.7900752553635,-10.5816483949381,-10.1901168218226,9713.99339711254,0.999899329816086,"alpha_st[1,10]"
-10.5175777964877,0.00284224881534203,0.281968971126398,-11.0781960186199,-10.7037084909077,-10.5130470246435,-10.3258743125035,-9.97352121305689,9841.88873643421,0.999624266315255,"alpha_st[1,11]"
-11.3920779199485,0.00378924160399639,0.355521006154534,-12.0865341988561,-11.6325181091997,-11.3815179350824,-11.1510851730816,-10.7010486156546,8802.90345318897,0.999726276517542,"alpha_st[1,12]"
-11.8346804105241,0.00455907848873516,0.40190688346056,-12.6578814799867,-12.0941630095891,-11.8169257741693,-11.5604706611813,-11.0806706168818,7771.35504489726,0.999701833533316,"alpha_st[1,13]"
-12.0327753476312,0.00493149427861251,0.476711728819215,-13.0233105665277,-12.3447762353802,-12.0127400037277,-11.7033749067111,-11.1491773268957,9344.46856342428,0.999804726453177,"alpha_st[1,14]"
-10.3722457800923,0.00208082043540371,0.239202834308622,-10.8248782670236,-10.5346018585125,-10.3742506893953,-10.2130174886775,-9.88945686927419,13214.8863928057,0.999678552451529,"alpha_st[2,1]"
-11.3509205386052,0.00257651926054791,0.274748030212091,-11.89514912989,-11.533760956688,-11.3506962828928,-11.1671797029467,-10.815015891123,11371.0976280713,0.999648095565041,"alpha_st[2,2]"
-11.49988514545,0.00262472993793473,0.274378056838167,-12.0426455316542,-11.6855707683014,-11.4954814055472,-11.314122397692,-10.9715336181348,10927.7185856296,0.999658986761895,"alpha_st[2,3]"
-11.033403193974,0.00218001976981599,0.241014302114685,-11.5129838971488,-11.1973084320211,-11.0329452477036,-10.876389780598,-10.5591547866899,12222.6328322807,0.999886012003985,"alpha_st[2,4]"
-10.6686235997391,0.00192888642183604,0.22064670989018,-11.0954038478365,-10.8176003079922,-10.6707713171767,-10.521561211518,-10.2267770848488,13085.2372133033,0.999923377603581,"alpha_st[2,5]"
-10.547202850373,0.00203314099240507,0.226171018595493,-10.9829391953589,-10.7019879908157,-10.5499421983405,-10.3937752694453,-10.0913228504784,12374.8206800598,1.00008081533468,"alpha_st[2,6]"
-10.3326916555392,0.0020158360219405,0.214436419988043,-10.7471452326849,-10.4796124003205,-10.3328556723846,-10.1895134339198,-9.90455669744103,11315.8372619076,1.00026204791669,"alpha_st[2,7]"
-10.4352241160833,0.00207107122576642,0.22367494276537,-10.870988723232,-10.5857662782793,-10.4369719853126,-10.2828790444256,-9.98935138477876,11663.921819643,0.999957645909603,"alpha_st[2,8]"
-10.3440987096911,0.0017943434989931,0.207086700840199,-10.741976619035,-10.4858775164468,-10.3476084656718,-10.2074680890158,-9.93072398078292,13319.6633238556,1.00003102357252,"alpha_st[2,9]"
-10.7363739780071,0.00189191660664799,0.209250668288171,-11.1420265966922,-10.8779139982754,-10.7337626254462,-10.5979537257557,-10.3229673761139,12232.908540026,0.999855263630507,"alpha_st[2,10]"
-11.9668357487683,0.00293695916155853,0.29105272809314,-12.5476136695343,-12.1598769084327,-11.9642603700289,-11.7671384855286,-11.4169101651402,9820.81507368689,0.999844724369575,"alpha_st[2,11]"
-12.5296557088187,0.00363715942491268,0.326289644690784,-13.1806489501377,-12.7469224149292,-12.5229481642196,-12.3018253493037,-11.894323731447,8047.88768537548,0.999885485119952,"alpha_st[2,12]"
-13.0526418963756,0.00432073437212959,0.370830205573927,-13.8102313193285,-13.2961880335751,-13.0358581424037,-12.8049875763241,-12.3467385337093,7366.05688149627,0.999901312485525,"alpha_st[2,13]"
-13.0303510765092,0.00440906708308384,0.419572721691974,-13.8848767869592,-13.3013836155167,-13.0207191533385,-12.7427584996323,-12.2449034948702,9055.68019530005,0.999969002638542,"alpha_st[2,14]"
-13.2498382278131,0.00637693492644661,0.530032110413896,-14.3510019272953,-13.595228609946,-13.2327592010211,-12.8792458604991,-12.2638896081253,6908.44638034028,1.00057358430432,"alpha_st[3,1]"
