"mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","parameter"
-10.057154090357,0.00338430257838528,0.335958123513646,-10.73373512095,-10.2786404187678,-10.0490596171172,-9.8332640096533,-9.41200343997645,9854.43942096015,0.999885860845068,"alpha_st[1,1]"
-9.42290771964776,0.00255163313537771,0.231136638586681,-9.87333909622201,-9.58089922252449,-9.42409401926907,-9.2667429192683,-8.96620887232332,8205.42574390439,0.99972471983117,"alpha_st[1,2]"
-10.1501046016407,0.00321942269439715,0.272172388719376,-10.6801729342143,-10.3337871158951,-10.1456389473665,-9.96562668985556,-9.61804778010984,7147.13733749136,0.999976502252539,"alpha_st[1,3]"
-11.0184547637957,0.00433728351819001,0.327514199084845,-11.675238280337,-11.2324015514484,-11.0158410288267,-10.7974986060529,-10.3900698879596,5701.966252322,0.999976155330065,"alpha_st[1,4]"
-11.4719983517828,0.00491162715408552,0.358464658283441,-12.1936624907739,-11.7065663964771,-11.4689315632926,-11.2304290015057,-10.779445696518,5326.49967624956,0.999970436354344,"alpha_st[1,5]"
-11.5387390555199,0.00482041586799034,0.357138913907067,-12.255499433205,-11.7776233519875,-11.5318445620822,-11.2945885042719,-10.8540091118607,5489.15295199832,0.999971750214049,"alpha_st[1,6]"
-11.2187181520289,0.00424498094976884,0.336547162080892,-11.8895665963032,-11.4462474142788,-11.2065597036068,-10.9891126684867,-10.5836716998005,6285.50786684419,1.00000433860778,"alpha_st[1,7]"
-10.926545937544,0.00380308155461824,0.312230321101733,-11.5576590455676,-11.1305777388449,-10.9217906640622,-10.7178253811546,-10.3162419455445,6740.29452618306,1.00004572007972,"alpha_st[1,8]"
-10.7389372847383,0.00356930338332068,0.295079805479211,-11.325165744016,-10.9341215990407,-10.7386785157765,-10.5390096645596,-10.1687562888181,6834.5834357739,0.999745133987696,"alpha_st[1,9]"
-10.7773190083626,0.00364482619412097,0.296357181241906,-11.3669407963715,-10.9754083559552,-10.7755701377747,-10.5775435307499,-10.2048021271872,6611.1538479285,0.999706646758808,"alpha_st[1,10]"
-10.5332796633534,0.00343469356035768,0.271297731874368,-11.0682653255153,-10.7171994920048,-10.5320986495287,-10.3451464063526,-10.0152684878301,6239.01937369484,0.999913319986682,"alpha_st[1,11]"
-11.2805716076757,0.00437100989489193,0.330205628231825,-11.9337687606613,-11.4966493895652,-11.2764634472751,-11.0526358722605,-10.6472419443417,5706.96702906914,1.00003953119098,"alpha_st[1,12]"
-11.6006197370896,0.0050788421679083,0.370357853828096,-12.3465411567558,-11.8452939452296,-11.5912297174305,-11.341663617319,-10.9089159003199,5317.57573545642,1.00011740533962,"alpha_st[1,13]"
-11.6180834930768,0.00524204706184646,0.432750684312429,-12.5139362769966,-11.9013498819585,-11.6048351536716,-11.3200627426907,-10.8028598461839,6815.12295186396,0.999799991451296,"alpha_st[1,14]"
